flag	nick_name	flavor_name	flavor_text
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	疯狂骑士	好战的武装亡者|这些堕落骑士都是又恶毒又强壮的。<N><N>它们阴沉的呼喊通过地下墓穴，穿过荒野。
$EN_RAPID_ATTACKER	迅速攻击	 	
$EN_APC	分裂体	怪物	小怪的宿主|这些发胀的尸体艰难地移动，看起来像要随时爆开一样。<N><N>牙齿不断在几张嘴巴中不断长出来， 它们太大了，要狼吞虎咽也难。
$EN_APC_W	<RE>$EN_APC_NICK_NAME	发臭的尸体	游泳的小怪宿主|这些亡者带着死鱼，污水与死亡气息混合恶臭。<N><N>它们浮在水上，看起来随时要爆开一样。
$EN_ARMORED APC	铁甲分裂体	铁甲巨兽	武装的小怪宿主|一团巨大的腐肉被一个巨甲保护着，<N><N>有人怀疑它一根骨头也没有。
$EN_DOUBLE APC	双分裂	憎恶	分裂小怪的宿主| 这个怪物颜色恶心，体型浮肿。<N><N>这代表什么呢？
$EN_RANGED ATTACKER_BASIC			随着日子过去，一些古怪的过程开始腐蚀和扭曲亡者的身体。<N><N>目击者回报受到没有眼睛的<LQ>蛇人<RQ>喷吐胆汁的攻击。
$EN_RANGED ATTACKER	远程	毒蛇食尸鬼	喷射型的亡者|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_ARMORED RANGED ATTACKER	<RE>$EN_RANGED ATTACKER_NICK_NAME	毒蛇食尸鬼	武装的喷射型的亡者|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_RANGED ATTACKER_W	<RE>$EN_RANGED ATTACKER_NICK_NAME	河社食尸鬼	游泳的喷射型的亡者|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_DARK	暗	影之虫	敏捷的暗黑小怪|这些虫子笼罩在厚厚的黑雾中，几乎不可能击中它们。
$EN_BRUTE	粗暴	死亡之虫	强壮的亡者小怪|这些苍白又像虫的怪物移动缓慢，具有坚韧，皮革的皮肤，而不是脆弱的外膜。<N><N>虽然很容易跑赢它，但是它们会用无情与无止休的追赶去捕获猎物。
$EN_ERROR	错误	错误	我是错误。|如果你读到这段文字，代表敌人的资料有问题。如果找不到目标敌人，这个就是你的敌人。
$EN_SHEEP	羊	羊	美味的哺乳类动物|龙可以多年不进食，但_们进食时，吃的量是_们自己体重的好几倍。这是牧羊人和他们的羊群最大的不安。
$EN_SPEEDY SHEEP	敏捷羊	敏捷羊	敏捷又美味的哺乳类动物| 部分羊适应了残酷的环境，发展了结实的腿部肌肉。虽然没有办法跑得比龙快，但最少跑赢其他羊。
$EN_SUPER SHEEP	超级羊	超级羊	传说中美味的哺乳类动物|龙族传说中，一提到这种罕见的羊，阿舍麻维特羊那瑟萨，都带着谦逊和虔诚的语气。为迎接这种羊的降临，神圣的龙族经文中详述了一个复杂的仪式。这经文被传统学者归类为宗教文本，但新的研究重新把它归类为食谱。
$EN_OZIMAL	奥斯蒙	奥斯蒙卡兹	亡者奴隶 l 它曾经是坑中的军阀，但现在不过是舍理米尔的无意识的手下。<N>不过他的长袍依然漂亮。
$EN_TWIN	双生子	双生子	亡者的兄弟| 巴啊啊呀呀嘎嘎恤哈
$EN_RIGHT_INDEX_FINGER	食指	食指	怪物手指|虽然被人从手中砍了下来，不过手指也是有意识活动的。
$EN_RIGHT_THUMB	拇指	拇指	怪物手指|虽然被人从手中砍了下来，不过手指也是有意识活动的。
$EN_RIGHT_MIDDLE_FINGER	中指	中指	怪物手指| 这只被砍下来的手指看起来就在比不文手势。下流！
$EN_RIGHT_RING_FINGER	无名指	无名指	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT
$EN_RIGHT_PINKY_FINGER	尾指	尾指	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT
$EN_RIGHT_EYE	艾斯理之眼	艾斯理之眼	怪物眼睛|这邪恶的眼睛闪耀着黑暗的力量，并快速地移动。
$EN_RIGHT_HAND	艾斯理之手	艾斯理之手	怪物手|邪教领袖称呼这个怪物为 <LQ>艾斯理-特诺奇的右手<RQ>鉴于对艾斯理-特诺奇的了解甚少，实在无法断定是否那恐怖巫师的手，或是仅仅是他黑魔法的一个产物。仔细一看，好像是一只左手。骗子！
$EN_ZELEMIR	舍理米尔	舍理米尔	死灵巫师| 舍理米尔的眼闪耀着坚定的决心。
$EN_EZTLI	艾斯理-特诺奇	艾斯理-特诺奇	上古传奇巫师|一股古老的力量，长年沉睡后，如今终于觉醒了。艾斯理-特诺奇曾统治这个世界，自称神王。他的力量与邪恶比起他坚定不移的耐心，有过则无不及。
$EN_ZELEMIR-CITADEL	<RE>$EN_ZELEMIR_NICK_NAME	<RE>$EN_ZELEMIR_FLAVOR_NAME	<RE>$EN_ZELEMIR_FLAVOR_TEXT
$EN_NORMAL_NOMONEY	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP_PSI	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_CULTIST_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
$EN_ARMORED CULTIST_LOWXP	<RE>$EN_ARMORED CULTIST_NICK_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_TEXT
$EN_NORMAL_W_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_W_FLAVOR_NAME	<RE>$EN_NORMAL_W_FLAVOR_TEXT
$EN_ARMORED_LOWXP	<RE>$EN_ARMORED_NICK_NAME	<RE>$EN_ARMORED_FLAVOR_NAME	<RE>$EN_ARMORED_FLAVOR_TEXT
$EN_SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_FLAVOR_NAME	<RE>$EN_SPEEDY_FLAVOR_TEXT
$EN_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_W_FLAVOR_NAME	<RE>$EN_SPEEDY_W_FLAVOR_TEXT
$EN_ARMORED SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT
$EN_ARMORED_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_TEXT
$EN_ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_FLAVOR_NAME	<RE>$EN_ATTACKER_FLAVOR_TEXT
$EN_DARK ATTACKER_LOWXP	<RE>$EN_DARK ATTACKER_NICK_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_TEXT
$EN_ATTACKER_W_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_W_FLAVOR_NAME	<RE>$EN_ATTACKER_W_FLAVOR_TEXT
$EN_ARMORED ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT
$EN_RAPID_ATTACKER_LOWXP	<RE>$EN_RAPID_ATTACKER_NICK_NAME	<RE>$EN_RAPID_ATTACKER_FLAVOR_NAME	<RE>$EN_RAPID_ATTACKER_FLAVOR_TEXT
$EN_APC_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_APC_W_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_W_FLAVOR_NAME	<RE>$EN_APC_W_FLAVOR_TEXT
$EN_ARMORED APC_LOWXP	<RE>$EN_ARMORED APC_NICK_NAME	<RE>$EN_ARMORED APC_FLAVOR_NAME	<RE>$EN_ARMORED APC_FLAVOR_TEXT
$EN_DOUBLE APC_LOWXP	<RE>$EN_DOUBLE APC_NICK_NAME	<RE>$EN_DOUBLE APC_FLAVOR_NAME	<RE>$EN_DOUBLE APC_FLAVOR_TEXT
$EN_ARMORED RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_TEXT
$EN_RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT
$EN_RANGED ATTACKER_W_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT
$EN_DARK_LOWXP	<RE>$EN_DARK_NICK_NAME	<RE>$EN_DARK_FLAVOR_NAME	<RE>$EN_DARK_FLAVOR_TEXT
$EN_BRUTE_LOWXP	<RE>$EN_BRUTE_NICK_NAME	<RE>$EN_BRUTE_FLAVOR_NAME	<RE>$EN_BRUTE_FLAVOR_TEXT
$EN_APC_NOATTACK_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_CULTIST_NOATTACK_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
$EN_PSI SHEEP	<RE>$EN_SHEEP_NICK_NAME	<RE>$EN_SHEEP_FLAVOR_NAME	<RE>$EN_SHEEP_FLAVOR_TEXT
$EN_3_11_BOSS	BOSS		
$EN_FINGER	艾斯理之指		
$EN_HEALIE	回复	回复	秘密Boss|说明
$EN_MEANIE	狂暴	狂暴	秘密Boss|说明
$EN_STEALY	潜行	潜行	秘密Boss|说明
$EN_CRAZY	疯狂	疯狂	秘密Boss|说明
