flag	nick_name	flavor_name	flavor_text
$EN_APC_W	<RE>$EN_APC_NICK_NAME	Stinkende Leiche	Schwimmender Brutwirt|Diese Wiedergänger riechen wie ein Sack verfaulter Fische, eingewickelt in Abwässern und Tod.<N><N>Sie treiben problemlos und drohen, jeden Moment aufzuplatzen.	
$EN_ARMORED APC	GEPANZERTER TEILER	Schalen-Bestie	Gepanzerter Brutwirt|Ein gigantischer Panzer schützt diesen monströsen Flatschen aus verdautem Fleisch.<N><N>Man vermutet, dass er keinerlei Knochen mehr besitzt.	
$EN_DOUBLE APC	DOPPEL-TEILER	Scheußlichkeit	Teilender Brutwirt|Dieses seltsame Monster ist verfärbt und aufgebläht.<N><N>Was könnte das bedeuten?	
$EN_ARMORED RANGED ATTACKER	<RE>$EN_RANGED ATTACKER_NICK_NAME	Schlangenghul	Schießender gepanzerter Wiedergänger|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]	
$EN_RANGED ATTACKER	FERNKÄMPFER	Schlangenghul	Schießender Wiedergänger|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]	
$EN_RANGED ATTACKER_W	<RE>$EN_RANGED ATTACKER_NICK_NAME	Fluss-Schlangenghul	Schwimmender, schießender Wiedergänger|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]	
$EN_DARK	DUNKEL	Shattenwurm	Schnelle, dunkle Brut|Diese Würmer sind ummantelt von dichtem schwarzen Nebel, der es fast unmöglich macht, sie zu treffen.
$EN_BRUTE	ZÄH	Todeswurm	Starke Wiedergängerbrut|Diese aschfahlen und wurmartigen Kreaturen bewegen sich langsam und besitzen widerstandsfähige, ledrige Haut statt einer anfälligen äußeren Membran.<N><N>Obwohl man ihnen einfach entkommt, bezwingen sie ihre Beute üblicherweise durch unerbittliche und endlose Verfolgung.	
$EN_NORMAL_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_CULTIST_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT	
$EN_ARMORED CULTIST_LOWXP	<RE>$EN_ARMORED CULTIST_NICK_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_TEXT	
$EN_NORMAL_W_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_W_FLAVOR_NAME	<RE>$EN_NORMAL_W_FLAVOR_TEXT	
$EN_ARMORED_LOWXP	<RE>$EN_ARMORED_NICK_NAME	<RE>$EN_ARMORED_FLAVOR_NAME	<RE>$EN_ARMORED_FLAVOR_TEXT	
$EN_SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_FLAVOR_NAME	<RE>$EN_SPEEDY_FLAVOR_TEXT	
$EN_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_W_FLAVOR_NAME	<RE>$EN_SPEEDY_W_FLAVOR_TEXT	
$EN_ARMORED SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT	
$EN_ARMORED_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_TEXT	
$EN_ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_FLAVOR_NAME	<RE>$EN_ATTACKER_FLAVOR_TEXT	
$EN_DARK ATTACKER_LOWXP	<RE>$EN_DARK ATTACKER_NICK_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_TEXT	
$EN_ATTACKER_W_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_W_FLAVOR_NAME	<RE>$EN_ATTACKER_W_FLAVOR_TEXT	
$EN_ARMORED ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT	
$EN_RAPID_ATTACKER_LOWXP	<RE>$EN_RAPID_ATTACKER_NICK_NAME		
$EN_APC_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT			
$EN_APC_W_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_W_FLAVOR_NAME	<RE>$EN_APC_W_FLAVOR_TEXT	
$EN_ARMORED APC_LOWXP	<RE>$EN_ARMORED APC_NICK_NAME	<RE>$EN_ARMORED APC_FLAVOR_NAME	<RE>$EN_ARMORED APC_FLAVOR_TEXT	
$EN_DOUBLE APC_LOWXP	<RE>$EN_DOUBLE APC_NICK_NAME	<RE>$EN_DOUBLE APC_FLAVOR_NAME	<RE>$EN_DOUBLE APC_FLAVOR_TEXT	
$EN_ARMORED RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_TEXT	
$EN_RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT	
$EN_RANGED ATTACKER_W_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT	
$EN_DARK_LOWXP	<RE>$EN_DARK_NICK_NAME	<RE>$EN_DARK_FLAVOR_NAME	<RE>$EN_DARK_FLAVOR_TEXT	
$EN_BRUTE_LOWXP	<RE>$EN_BRUTE_NICK_NAME	<RE>$EN_BRUTE_FLAVOR_NAME	<RE>$EN_BRUTE_FLAVOR_TEXT	
$EN_APC_NOATTACK_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT			
$EN_CULTIST_NOATTACK_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT	
$EN_ERROR	FEHLER	Fehler	Ich bin ein Fehler|Wenn du dies liest bedeutet das wahrscheinlich, dass jemand sich bei den Gegner-Daten verschrieben hat. Diesen Gegner zeigen wir an, wenn der vorgesehene nicht gefunden werden konnte.
$EN_SHEEP	SCHAF	Schaf	Köstliches Säugetier|Drachen können jahrelang ohne Futter leben, aber wenn sie fressen, können sie innerhalb eines Tages ein Vielfaches ihres eigenen Körpergewichts verzehren. Diese Tatsache bereitet den nomadischen Hirten und ihren Herden großes Unbehagen.
$EN_PSI SHEEP	<RE>$EN_SHEEP_NICK_NAME	<RE>$EN_SHEEP_FLAVOR_NAME	<RE>$EN_SHEEP_FLAVOR_TEXT	
$EN_SPEEDY SHEEP	SCHNELLES SCHAF	Schnelles Schaf	Schnelles, köstliches Säugetier|Einige Schafe haben sich an die lebensfeindlichen Umstände in der Grube mit stark ausgeprägten schnellen Muskeln angepasst. Damit können sie zwar nicht vor Drachen weglaufen, aber sie können sich immerhin von den anderen Schafen absetzen.
$EN_SUPER SHEEP	SUPERSCHAF	Superschaf	Mythisches, köstliches Säugetier|Legenden der Drachen erzählen voller Erfurcht von diesem seltenen Schaf, dem Axxima Vatta Muttanaxxor. Die heiligen Drachenschriften beschreiben ein kompliziertes Ritual bei seiner Ankunft. Traditionelle Wissenschaften stufen die Drachenschriften so ein wie andere religiöse Schriften, aber moderne Forschung legt nahe, sie als Kochbuch zu klassifizieren.
$EN_OZIMAL	OZIMAL	Ozimal Kaz	Wiedergänger-Sklave|Einst war er der große Schreckensherrscher der Grube, jetzt ist er Zelemirs willenlose Kreatur.<N>Seine Robe ist aber immer noch ziemlich schick.
$EN_TWIN	ZWILLING	Zwilling	Wiedergänger-Bruder|BLARGH YAAAARGH GAR GAR HUR.
$EN_3_11_BOSS	BOSS
$EN_RIGHT_INDEX_FINGER	ZEIGEFINGER	Zeigefinger	Mönströser Finger|Obwohl er von seiner Hand abgetrennt wurde, bewegt sich dieser Finger aus eigenem Antrieb.
$EN_RIGHT_THUMB	DAUMEN	Daumen	Mönströser Daumen|Obwohl er von seiner Hand abgetrennt wurde, bewegt sich dieser Daumen aus eigenem Antrieb.
$EN_RIGHT_MIDDLE_FINGER	MITTELFINGER	Mittelfinger	Monströser Finger|Dieser abgetrennte Finger scheint eine obszöne Geste zu machen. Wie ungezogen!
$EN_RIGHT_RING_FINGER	RINGFINGER	Ringfinger	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT	
$EN_RIGHT_PINKY_FINGER	KLEINER FINGER	Kleiner Finger	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT	
$EN_RIGHT_EYE	EZTLIS AUGE	Eztlis Auge	Monströses Auge|Dieses böswillige Auge strahlt durch dunkle Energie und bewegt sich mit unnatürlicher Schnelligkeit.
$EN_RIGHT_HAND	EZTLIS HAND	Eztlis Hand	Monströse Hand|Der Kult-Anführer nannte dieses Monster <LQ>die Rechte Hand Eztli-Tenochs.<RQ> Da wenig über Eztli-Tenoch bekannt ist, ist nicht klar, ob dies wirklich die Hand des gefürchteten Zauberers oder vielmehr eine Kreation seiner dunklen Magie ist. Genauer betrachtet, scheint es auch eine LINKE Hand zu sein. Wie link.	
$EN_FINGER	EZTLIS FINGER
$EN_ZELEMIR-CITADEL	<RE>$EN_ZELEMIR_NICK_NAME	<RE>$EN_ZELEMIR_FLAVOR_NAME	<RE>$EN_ZELEMIR_FLAVOR_TEXT	
$EN_ZELEMIR	ZELEMIR	Zelemir	<RE>$EN_ZELEMIR-CITADEL_FLAV_TEXT
$EN_HEALIE	HEALIE	Healie	Geheimer Boss|Beschreibung
$EN_MEANIE	MEANIE	Meanie	<RE>$EN_HEALIE_FLAV_TEXT
$EN_STEALY	STEALY	Stealy	<RE>$EN_HEALIE_FLAV_TEXT
$EN_CRAZY	CRAZY	Crazy	<RE>$EN_HEALIE_FLAV_TEXT
$EN_EZTLI	EZTLI-TENOCH	Eztli-Tenoch	Uralter legendärer Zauberer|Eine uralte Macht, nach langem Schlaf wieder erwacht. Eztli-Tenoch herrschte einst über die bekannte Welt als selbsternannter Gottkönig. Seine Macht und Böswilligkeit sind nur durch seine unbeirrbare Geduld übertroffen.	
$EN_CULTIST_ACCOUNT			Diese Überlieferungen sind von Überlebenden des Massakers am Geka-Stamm. Viele berichten von Kultisten, die sich willkürlich in Wiedergänger verwandelt haben.
$EN_CULTIST_BASIC			<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Man weiß wenig über ihren Glauben bis auf den Namen ihrer Gottheit, <LQ>Eztli-Tenoch,<RQ> und ihre ständige Jagd nach neuen Opfern.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_CULTIST_SECT			Der <LQ>Kult der Blutirren<RQ> begann mit einer nomadischen Sekte, die für ihr zeremonielles Blutvergießen bekannt war.
$EN_RANGED ATTACKER_BASIC			Nach einigen Wochen beginnt ein merkwürdiger Prozess, der den Körper des Wiedergängers verdaut und verformt.<N><N>Zeugen berichteten von Angriffen durch augenlose <LQ>Schlangenmenschen<RQ>, die widerliche Galle spuckten.
