flag	content	comment
$FLAV_DESC_CHILL	Feind ist um <PERCENT>%<EXTRA> für <TIME><EXTRA_TIME> s verlangsamt. Durch Brennen aufgehoben.
$FLAV_DESC_CHILL_SHORT	Feind ist für einige Sekunden verlangsamt. Durch Brennen aufgehoben.
$FLAV_DESC_CONFUSED	Feinde laufen für <TIME><EXTRA_TIME> s rückwärts.
$FLAV_DESC_CONFUSED_SHORT	Feinde laufen für ein paar Momente rückwärts.
$FLAV_DESC_CRITICAL	Schaden = <AMT_1DIG>x<EXTRA> normal.
$FLAV_DESC_CRITICAL_SHORT	Schaden ist größer als normal.
$FLAV_DESC_DISEASE	Regeneration des Feinds ist um <PERCENT>%<EXTRA> reduziert.
$FLAV_DESC_DISEASE_SHORT	Regeneration des Feinds ist reduziert.
$FLAV_DESC_FREEZE	Feind kann sich für <TIME><EXTRA_TIME> s nicht bewegen. Durch Brennen aufgehoben.
$FLAV_DESC_FREEZE_SHORT	Feind kann sich zeitweise nicht bewegen. Durch Brennen aufgehoben.
$FLAV_DESC_INSPIRE	Freunde fügen <M_MULT_PERCENT>%<EXTRA> mehr Schaden für <TIME><EXTRA_TIME> s zu.
$FLAV_DESC_INSPIRE_SHORT	Feinde fügen für eine kurze Zeit mehr Schaden zu.
$FLAV_DESC_KNOCK_BACK	Feind wird <AMT_1DIG><EXTRA> Felder zurück geworfen.
$FLAV_DESC_KNOCK_BACK_SHORT	Feind wird einige Felder zurück geworfen.
$FLAV_DESC_LIGHT	FINSTERE Feinde erleiden +<AMT_2DIG>x<EXTRA> Schaden & sind für <TIME> s leichter zu treffen.
$FLAV_DESC_LIGHT_SHORT	FINSTERE Feinde erleiden zusätzlichen Schaden & sind leichter zu treffen.
$FLAV_DESC_POISON	Feind erleidet <PERCENT>%<EXTRA> des Angriffsschadens für <TIME><EXTRA_TIME> s.
$FLAV_DESC_POISON_DIRECT	Feind erleidet <AMTDMG>%<EXTRA> des Angriffsschadens für <TIME><EXTRA_TIME> s.
$FLAV_DESC_POISON_SHORT	Feind erleidet für eine kurze Zeit Schaden.
$FLAV_DESC_SINGLE_STUN	Feind kann sich für <TIME><EXTRA_TIME> s nicht bewegen. Kann nur ein Mal gewirkt werden.
$FLAV_DESC_SINGLE_STUN_SHORT	Feind kann sich für einige Sekunden nicht bewegen. Kann nur ein Mal gewirkt werden.
$FLAV_DESC_SLOW	Feind ist für <TIME><EXTRA_TIME> s um <PERCENT>%<EXTRA> verlangsamt.
$FLAV_DESC_SLOW_SHORT	Feind ist permanent verlangsamt.
$FLAV_DESC_STRIKE_THROUGH	Angriff kann bis zu <INTI><EXTRA> zusätzliche Feinde treffen.
$FLAV_DESC_STRIKE_THROUGH_SHORT	Angriff kann mehrere Feinde treffen.
$FLAV_DESC_STUN	Feind kann sich für <TIME><EXTRA_TIME> s nicht bewegen.
$FLAV_DESC_STUN_SHORT	Feind kann sich zeitweise nicht bewegen.
$GETSCRAP1	Ein Haufen aus Müll, Fetzen, kaputtem Werkzeug, und scharfen Stücken schartigen, verrosteten Metalls.<N><N>Wer könnte auch nur ansatzweise etwas davon wollen?
$GETSCRAP2	Anscheinend nutzen die Bewohner der Grube diesen Müll als Währung.
$HERO_BLURB_BAKAL	Ein leise sprechender alter Mönch, nach Vergebung für seine Sünden suchend...
$HERO_BLURB_KETTA	Eine Nomaden-Jägerin, zynisch und lebensüberdrüssig...
$HERO_BLURB_MARKOS	Ein schlachterprobter Ritter, müde vom ewigen Kampf...
$HERO_BLURB_NIRU	Gewalttätig und mysteriös. Dieser Drache teilt keine Geheimnisse...
$HERO_BLURB_SLAK	Ein seltsamer junger Mann, sowohl tapfer als auch labil...
$HERO_BLURB_WRENNA	Die letzte Prinzession Quaids, begierig, ihr gefallenes Königreich zu rächen...
$HIRE_NUMS	font:18,x_off:4,y_off:-6
$LQ	“
$MAP_TEXT_HERMIT	Eremit
$MAP_TEXT_LAIR	Bau
$MAP_TEXT_PRISON	Gefängnis
$MAP_TEXT_SHRINE	Schrein
$MAP_TEXT_TREASURE	Höhle
$MAP_TEXT_UNKNOWN	???
$MCGUFFIN_LEARN_SPELL	<MCG> hat einen neuen Zauber gelernt!
$MISC_1_FOE	1 Feind
$MISC_1_FRIEND	1 Freund
$MISC_ABSORB_X	absorbiere <X>
$MISC_ABSORB_X_RESIST_Y	absorbiere <X>, widerstehe <Y>%
$MISC_ACCEPT	OK
$MISC_ACCEPT_AND_CLOSE	Akzeptieren & schließen
$MISC_ACHIEVEMENT!	Errungenschaft!
$MISC_ADJUST_REWARDS	100% ist die normale Menge. Justiere nach oben oder unten, um die Belohnungen zu ändern.
$MISC_ADVANCED	fortgeschritten
$MISC_ADVANCED_SHORT	Schwer
$MISC_ALL_FOES	Alle Feinde in Reichweite
$MISC_ALL_FOES_IN	Alle Feinde innerhalb von <TILES> Feldern.
$MISC_ALL_FRIENDS	Alle Freunde in Reichweite
$MISC_ALL_FRIENDS_IN	Alle Freunde innerhalb von <TILES> Feldern.
$MISC_ALL_TARGETS	Ziele in Reichweite
$MISC_ALL_TARGETS_IN	Ziele innerhalb von <TILES> Feldern.
$MISC_AMOUNT	Anzahl
$MISC_AMOUNT_SHORT	anz
$MISC_ANONYMOUS	Anonym
$MISC_ARE_YOU_SURE	Bist du sicher?
$MISC_ARMOR	Rüstung
$MISC_ARMOR	Rüstung
$MISC_ARMOR_SHORT	RÜS
$MISC_ASSIGN_POINTS	Punkte<N>zuweisen ???
$MISC_ATTACK	Angriff
$MISC_ATTACK_SHORT	ANG
$MISC_BACK	zurück
$MISC_BASE_ATTACK	Grundangriff
$MISC_BATTLE	Kampf
$MISC_BEGIN	Starten
$MISC_BONUS	Bonus
$MISC_BONUS_DEFENSE	Grundverteidigung
$MISC_BOOST	Verstärken
$MISC_BOOST_X	stärke <X>
$MISC_BREAK_HERO_MODE_TEXT	Du spielst im <LQ>Heldenmodus<RQ>, in dem du keine generischen Charaktere rekrutieren kannst<N>Diesen Modus verlassen und einen Charakter rekrutieren?
$MISC_BREAK_HERO_MODE_TITLE	Heldenmodus verlassen?
$MISC_BUY	kaufen
$MISC_CANCEL	abbrechen
$MISC_IGNORE	Ignorieren
$MISC_CANT_AFFORD	Zu<N>teuer
$MISC_CANT_EQUIP_NUMS	font:12,x_off:0,y_off:-4
$MISC_CANT_EQUIP!	Kann nicht ausrüsten
$MISC_CASUAL	locker
$MISC_CASUAL_SHORT	Locker
$MISC_CHANCE	Wahrscheinlichkeit
$MISC_CHANGE	Wechseln
$MISC_CLICK_HERE	Hier klicken
$MISC_CLOSE	schließen
$MISC_COMPLETE	abgeschlossen
$MISC_COMPLETE!	Vollst-<N>ändig!
$MISC_CONFIG_DIR	Konfig-Ordner
$MISC_CONFIRM	bestätigen
$MISC_CONFIRM_CHANGE	Bestätige Änderung
$MISC_CONFIRM_RECRUIT	Bestätige Rekrutierung
$MISC_CONTINUE	Fortfahren
$MISC_COST	Kosten
$MISC_COST:	Kosten:
$MISC_COUNTER	Konter
$MISC_COUNTER	Konter
$MISC_CREDITS	Abspann
$MISC_CURRENT_SAVE	Derzeitiger Spielstand:
$MISC_CUSTOM_SETTINGS	Ändern...
$MISC_DAMAGE	Schaden
$MISC_DAMAGE_RESIST	Widerstand
$MISC_DAMAGE_SHORT	SCH
$MISC_DARK	finster
$MISC_DARK_DESC	(weicht 75% der Angriffe aus)
$MISC_DEATH_SPLASH	Todesschwall
$MISC_DEF_SHORT	VER
$MISC_DEFAULT	Standard
$MISC_DEFAULT_SETTINGS	Standard (empfohlen für neue Spieler)
$MISC_DEFEAT	Niederlage
$MISC_DEFEND	verteidigen
$MISC_DEFENDER	Verteidiger
$MISC_DEFENDERS	Verteidiger
$MISC_DEFENSE	Verteidigung
$MISC_DEFENSE_ABS	Verteidigung
$MISC_DEFENSE_SHORT	VER
$MISC_DELETE_ACHIEVEMENT	Achievement löschen?
$MISC_DELETE_BOTH_GOG_ACHIEVEMENT	Lokale & GOG-Achievements löschen
$MISC_DELETE_BOTH_STEAM_ACHIEVEMENT	Lokale & Steam-Achievements löschen
$MISC_DELETE_LOCAL_ACHIEVEMENT	Nur lokale Achievements löschen
$MISC_DEMO_VERSION	Demo-Version
$MISC_DEMO_VERSION_DESC	Dies ist die Demoversion von Defender's Quest: Valley of the Forgotten, Deluxe Edition.<N><N>Sie enthält etwa 20% des ganzen Spiels und erlaubt dir, deinen Spielstand in die Vollversion zu importieren, damit du deinen Fortschritt nicht verlierst.
$MISC_DESCRIPTION	Beschreibung
$MISC_DISABLED	deaktiviert
$MISC_DOWNLOAD	Download
$MISC_DQ_NEWS	Hol dir NEUIGKEITEN!
$MISC_DQ_SITE	DefendersQuest.com
$MISC_EASIER	einfacher
$MISC_EASY	einfach
$MISC_EASY_SHORT	Einfach
$MISC_EMPTY	Leer
$MISC_ENABLED	aktiviert
$MISC_ENEMY_LEVELS	Feind-Level:
$MISC_ENTER	betreten
$MISC_ENTER_TEXT	Text eingeben:
$MISC_EQUIP	ausrüsten
$MISC_ERROR	Fehler
$MISC_ERROR_INVALID_MOD_NAME	Ungültiger Mod-Name!
$MISC_ERROR_MOD_BAD	Diese Mod ist nicht kompatibel mit der aktuellen Spielversion. Sorry!
$MISC_ERROR_MOD_EXISTS	Eine Mod mit diesem Namen existiert bereits!
$MISC_ERROR_UNKNOWN	Unbekannter Fehler. Sorry!
$MISC_ERROR_UNZIP	Konnte die Mod nicht entpacken. Ändere den Mod-Pfad in den Optionen oder überprüfe deinen freien Speicher.
$MISC_ERROR!	Fehler!
$MISC_ERROR!	Fehler!
$MISC_EVADE	Ausweichen
$MISC_EVADE_SHORT	AUS
$MISC_EVASION	Ausweichen
$MISC_EXIT	Raus
$MISC_EXPERIENCE	Erfahrung
$MISC_EXTREME	extrem
$MISC_EXTREME_SHORT	Extr.
$MISC_FAIL_TT_TEXT	Wieviel Erfahrung und Kram nach einem verlorenen Kampf abgezogen werden.<N>-50% ist die normale Menge. Justiere nach oben oder unten, um die Strafe zu ändern.
$MISC_FAIL_TT_TITLE	<RE>$UI_ACCESS_FAILURE_PENALTY
$MISC_FAST	schnell
$MISC_FOE_PLURAL	Feinde
$MISC_FOE_SINGULAR	Feind
$MISC_FRIEND_PLURAL	Freunde
$MISC_FRIEND_SINGULAR	Freund
$MISC_GAIN	Zuwachs
$MISC_GAME_DATA	Spieldaten
$MISC_GOLD	Kram
$MISC_GOLD_TT_TEXT	Kram (Geld), den du nach einem Kampf bekommst.<N><RE>[$MISC_ADJUST_REWARDS]
$MISC_GOLD_TT_TITLE	Kram
$MISC_GOLD:	Kram:
$MISC_HARD	<RE>$MISC_EXTREME
$MISC_HARD_SHORT	<RE>$MISC_EXTREME_SHORT
$MISC_HARDER	schwerer
$MISC_HEAL	heilen
$MISC_HERO_MODE	Heldenmodus
$MISC_HERO_MODE_TEXT	Generische Charaktere zu rekrutieren ist verboten.<N>Überhaupt NICHT empfohlen, wenn du das Spiel zum ersten Mal durchspielst!<N><N>ANMERKUNGEN:<N>Du kannst dich später noch umentscheiden, indem du einen generischen Charakter rekrutierst und die Warnung ignorierst.<N><N>Wir empfehlen dir, Erfahrungs- und Kramgewinn auf 300% zu stellen, wenn du im Heldenmodus spielst.<N><N>Diese Einstellung wird nicht für die "Heldenmodus" Achievements benötigt. Die Abwesenheit generischer Charaktere ist genug.
$MISC_HERO_MODE_TITLE	<RE>$MISC_HERO_MODE
$MISC_HIRE	ANHE-<N>UERN!
$MISC_HIRE_Q	Heuere <NAME> aus der Klasse <CLASS> für <SCRAP> Kram an?
$MISC_HP	Trefferpunkte
$MISC_HP_SHORT	TP
$MISC_IMMUNE_TO	<SOMETHING> gegenüber immun
$MISC_INFO	Info
$MISC_JOURNAL	Tagebuch
$MISC_LANGUAGES	Sprachen
$MISC_LEADER	Anführer
$MISC_LEAVE	verlassen
$MISC_LEVEL	Level
$MISC_LEVEL_SHORT	LVL
$MISC_LEVEL_SHORT_X	LVL <X>
$MISC_LEVEL_PARTY_GEM	Level	Appears on character blocks in the party screen
$MISC_LEVEL_WAVE_BLOCK	Level	Appears on enemy wave blocks in battle
$MISC_LEVEL_SUPER_SHORT	L
$MISC_LEVEL_UP!	LEVEL UP!
$MISC_LEVEL_UPX	LEVEL Upx
$MISC_LEVEL_X	Level <X>
$MISC_LOADING	Laden …
$MISC_LOADING_PERCENT	Laden … <PERCENT>%
$MISC_LOCKED	Versch-<N>lossen
$MISC_LVLUP	LVLUP
$MISC_MAKE_CHANGE	Diese Änderungen durchführen?
$MISC_MAX	MAX
$MISC_MEDIUM	<RE>$MISC_ADVANCED
$MISC_MEDIUM_SHORT	<RE>$MISC_ADVANCED_SHORT
$MISC_MENU	Menü
$MISC_MISS	Verfehlt
$MISC_MODS	Mods
$MISC_MORE	Mehr …
$MISC_MOVIES	Szenen
$MISC_NEED_PSI	KEIN<N>PSI
$MISC_NEW_GAME_SETTINGS	Neues Spiel Einstellungen
$MISC_NEXT	weiter
$MISC_NO	nein
$MISC_NO_AFFORD	ZU TEUER
$MISC_NO_CHANGE	keine Änderung
$MISC_NO_HARDWARE	Dein System unterstützt keine Hardwarebeschleunigung. Das Spiel ist trotzdem spielbar, aber wenn es dir zu langsam erscheint, solltest du die Grafikeinstellungen herabsetzen.
$MISC_NOBODY	Niemand
$MISC_NOM!	HAPPS!
$MISC_NONE	kein
$MISC_NONE_DEFAULT	Kein *
$MISC_NORMAL	normal
$MISC_NORMAL_SHORT	Normal
$MISC_NOTHING	nichts
$MISC_NOTHING_TO_EQUIP	Nichts auszurüsten!
$MISC_NOTHING!	nichts!
$MISC_OF_DAMAGE	des Schadens
$MISC_OK	ok
$MISC_OKAY	okay
$MISC_OPTIONS	Optionen
$MISC_OTHER	Andere
$MISC_PARTY	Gruppe
$MISC_PASS	überstanden
$MISC_PERFECT	perfekt
$MISC_PERFECT_BONUS	Perfekt-Bonus:
$MISC_PERFECT!	perfekt!
$MISC_PHASES	instabil
$MISC_PLEASE_ENTER_A_NAME!	Bitte gib einen Namen ein!
$MISC_PLEASE_WAIT	Bitte warten …
$MISC_PLUS_X_STAT	<PLUS><X> <STAT>
$MISC_PLUS_X_TO_ARMOR_ABS	<PLUS_OR_MINUS><X> zu RÜSTUNG
$MISC_PLUS_X_TO_ATTACK	<PLUS_OR_MINUS><X> zu ANGRIFF
$MISC_PLUS_X_TO_ATTACK_SPEED	<PLUS_OR_MINUS><X> zu SCHNELLE
$MISC_PLUS_X_TO_DEFENSE_ABS	<PLUS_OR_MINUS><X> zu VERTEIDIGUNG
$MISC_PLUS_X_TO_HP	<PLUS_OR_MINUS><X> zu TP
$MISC_PLUS_X_TO_RANGE	<PLUS_OR_MINUS><X> zu REICHWEITE
$MISC_PLUS_X_TO_REGEN_ABS	<PLUS_OR_MINUS><X> zu REGENERATION
$MISC_PLUS_X%_TO_ARMOR_MULT	<PLUS_OR_MINUS><X> zu RÜSTUNGS_MULT
$MISC_PLUS_X%_TO_DEFENSE_MULT	<PLUS_OR_MINUS><X>% zu VERTEIDIGUNG
$MISC_PLUS_X%_TO_DODGE	<PLUS_OR_MINUS><X> zu AUSWEICHEN
$MISC_PLUS_X%_TO_EVADE	<RE>$MISC_PLUS_X%_TO_DODGE
$MISC_PLUS_X%_TO_REGEN_MULT	<PLUS_OR_MINUS><X>% zu REGENERATION
$MISC_PORCUPINE	Dornen
$MISC_PREV	letzt.
$MISC_PREVIOUS	zurück
$MISC_PROBLEM?	Problem?
$MISC_PROBLEM?	Problem?
$MISC_PSI	Psi
$MISC_PSI_SHORT	Psi
$MISC_CHANGE_USER	Benutzer ändern
$MISC_WRONG_USER	Mit dem angemeldeten Benutzer ist ein Problem aufgetreten.
$MISC_SIGN_IN	Anmelden
$MISC_QUIT	beenden
$MISC_QUIT	beenden
$MISC_QUIT_BATTLE	Schlacht beenden
$MISC_RANDOM	zufällig
$MISC_RANGE	Reichweite
$MISC_RANGE_SHORT	REW
$MISC_RECRUIT	Rekrutieren
$MISC_REFUSE	ablehnen
$MISC_REGEN	Regenerat.
$MISC_REGEN_LONG	Regeneration
$MISC_REGEN_SHORT	REG
$MISC_RESET	Zurücksetzen
$MISC_RESIST	<SOMETHING> widerstehen
$MISC_RESIST_X	widerstehe <X>%
$MISC_RESTART	neu starten
$MISC_RESTART?	Neustart?
$MISC_RESTORE_DEFAULTS	Standardeinstellungen wiederherstellen
$MISC_REWARD	Belohnung:
$MISC_SAVE_DATA	Spielstände
$MISC_SAVE_ERROR_TEXT	Automatisches Speichern fehlgeschlagen, prüf deine Dateizugriffserlaubnisse?<N>Wir versuchen es später nochmal.
$MISC_SAVE_ERROR_TITLE	Fehler beim Autospeichern!
$MISC_SAVE_FIXED_TEXT	Autospeichern erfolgreich. Sieht so aus, als hättest du das Problem gelöst.<N>Wir halten auch jetzt den Mund.
$MISC_SAVE_FIXED_TITLE	Autospeichern funktioniert!
$MISC_SAVED	gespeichert
$MISC_SAVED!	Gerettet!
$MISC_SCRAP	Kram
$MISC_SECOND	Sekunde
$MISC_SECOND_SHORT	Sek.
$MISC_SECONDS	Sekunden
$MISC_SECONDS_SHORT	Sek.
$MISC_SELECT	Auswählen
$MISC_SELECT_CHALLENGE	Wähle Herausforderung:
$MISC_SELL	verkaufen
$MISC_SEND_NEXT	NÄCHSTE
$MISC_SKILL	Talent
$MISC_SKILLS	Talente
$MISC_SKILLTREE_SKILL_NUMS	font:13,x_off:-2,y_off:0
$MISC_SKIP	über-<N>springen
$MISC_SLOW	langsam
$MISC_SPAWNS	brütet
$MISC_SPECIAL	spezial
$MISC_SPEED	Schnelle
$MISC_SPEED_SHORT	SCH
$MISC_SPELL	Zauber
$MISC_SPLASH_DAMAGE	Umgebungseffekt
$MISC_SPLASH_LINE	<AMT> Schaden, <TILES> Felder
$MISC_SPLASH_TILES	Felder
$MISC_STATS	Statistiken
$MISC_STATUS	Status
$MISC_STRANGER	Fremder
$MISC_STRENGTHS	Stärken
$MISC_SWIMS	schwimmt
$MISC_TALK	Sprechen
$MISC_THORNS	Dornen
$MISC_THRESHOLD	Grenzwert
$MISC_TIPS	Tipps
$MISC_TO	zu
$MISC_TOWN	Stadt
$MISC_TRY_AGAIN	Erneut versuchen
$MISC_TYPES	Typen
$MISC_UNDO	Rückgängig
$MISC_UNDO_ALL	Alles rückgängig
$MISC_UNDO_NUMS	y_off:-6,leading:-4
$MISC_UNEQUIP	Ablegen
$MISC_UNIQUE	einzigartig
$MISC_UNKNOWN	unbekannt
$MISC_UNSAVED	ungespeichert
$MISC_UP_TO_X_FOES	Bis zu <NUM> <FOE>
$MISC_UP_TO_X_FRIENDS	Bis zu <NUM> <FRIEND>
$MISC_UPGRADE	verbessern
$MISC_VERSUS	gegen
$MISC_VICTORY	Sieg
$MISC_VS	vs
$MISC_WAIT	WARTE
$MISC_WALKS_ON	läuft über
$MISC_WARNING	Warnung!
$MISC_WAVE_X	Welle <X>
$MISC_WAVES	Wellen
$MISC_WEAKNESSES	Schwächen
$MISC_WEAPON	<RE>$MISC_WEAPONS
$MISC_WEAPONS	Waffen
$MISC_X_FOES	<NUM> Feinde
$MISC_X_FRIENDS	<NUM> Freunde
$MISC_X_HITS_FOE	<NUM> pro Feind
$MISC_X_HITS_FRIEND	<NUM> pro Freund
$MISC_X_HITS_TARGET	<NUM> pro Ziel
$MISC_X_HITS_TOTAL	<NUM> total
$MISC_X_MORE	<X> mehr …
$MISC_X_PSI	<X> PSI
$MISC_XP	EP
$MISC_YES	ja
$MISC_YOU_SURE	Bist du sicher?
$OVERWORLD_BTN_FONT_NUMS	options:14
$PARTY_1_NEW_ACHIEVE	1 neuer Erfolg!
$PARTY_ACHIEVE_PLURAL	Erfolge
$PARTY_ACHIEVE_SINGULAR	Erfolg
$PARTY_ATTACK	Angriff:<T>
$PARTY_CANT_ARMOR	Kann<N>keine<N>RÜSTUNG<N>nutzen
$PARTY_CANT_WEAPON	Kann<N>keine<N>WAFFEN<N>nutzen
$PARTY_CHANGE_NAME	Namen<N?>ändern
$PARTY_CHANGE_NAME_NUMS	font:12,off_x:0,off_y:-6,leading:-4
$PARTY_CHARACTER	Charakter
$PARTY_CHARACTERS	Charaktere
$PARTY_CONFIRM_CHANGES	Änderungen bestätigen
$PARTY_CONFIRM_POINTS_1_1	Permanent 1 Talentpunkt an 1 Charakter verteilen?
$PARTY_CONFIRM_POINTS_1_X	Permanent 1 Talentpunkt an <CHARS> Charaktere verteilen?
$PARTY_CONFIRM_POINTS_TITLE	Talentpunkte bestätigen
$PARTY_CONFIRM_POINTS_X_1	Permanent <POINTS> Talentpunkte an 1 Charakter verteilen?
$PARTY_CONFIRM_POINTS_X_X	Permanent <POINTS> Talentpunkte an <CHARS> verteilen?
$PARTY_CONTINUE_NUMS	fontmap:20,fonttown:16,fontcontinue:20
$PARTY_DEFEATED_WAVE_X	Welle <X> besiegt
$PARTY_DEFEND	Verteidigen:<T>
$PARTY_EVADE	Ausweichen:<T>
$PARTY_FAIL_PENALTY	Strafe
$PARTY_FAILED	Level nicht geschafft!
$PARTY_FAILED_DESC	<MCG> wurde getötet.
$PARTY_FROM_BATTLE	Vom Kampf
$PARTY_GO_TO_MAP	Zur Karte
$PARTY_HP	TP
$PARTY_NO_AFFORD	Das kannst du dir nicht leisten!<N>Kosten: <COST><N>Kram: <SCRAP>
