     	name	comment	
$1_1_WHERE_AM_I_130_TEXT	你的舊角色擁有所有來自最好一盤遊戲的力量，技能和所有裝備。		
$1_1_WHERE_AM_I_140_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_140_TEXT	我大喊了出來?? 我感覺到你在我的心中??		
$1_1_WHERE_AM_I_150_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_150_TEXT	別溜走了！我必須集中！		
$1_1_WHERE_AM_I_160_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_160_TEXT	如果我能集中精神-或許我可以帶你去那裡呢！		
$1_1_WHERE_AM_I_170_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_170_TEXT	呃…...可以		
$1_1_WHERE_AM_I_180_TITLE	TALK_$BER_LOOKBACK		
$1_1_WHERE_AM_I_180_TEXT	我不應該吃掉那碗燉蜥蜴??		
$1_1_WHERE_AM_I_190_TITLE			
$1_1_WHERE_AM_I_190_TEXT	點擊這裡放置你的守護者。<N><N>這是個好位置啊！		
$1_1_WHERE_AM_I_191_TITLE			
$1_1_WHERE_AM_I_191_TEXT	用<TILE_MOVE> 來移動, 然後 按<SELECT>去放置.<N><N>真是個好位置啊！		
$1_1_WHERE_AM_I_200_TITLE	TALK_$BER_SMILE		
$1_1_WHERE_AM_I_200_TEXT	嘿！<N>這就像樣了！		
$1_1_WHERE_AM_I_210_TITLE			
$1_1_WHERE_AM_I_210_TEXT	$MCG 用能量去召喚守護者。<N>殺敵可以補充你的能量能量。		
$1_1_WHERE_AM_I_220_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_220_TEXT	太好了！<N>現在就做些事吧！		
$1_1_WHERE_AM_I_230_TITLE	TALK_$BER_SMILE		
$1_1_WHERE_AM_I_230_TEXT	那是什麼？你說呢～<N>用充滿男性魅力的暴力來誘惑你？		
$1_1_WHERE_AM_I_240_TITLE	TALK_$BER_DERANGED		
$1_1_WHERE_AM_I_240_TEXT	我這樣做的話，別介意啊！		
$1_1_WHERE_AM_I_250_TITLE			
$1_1_WHERE_AM_I_250_TEXT	守護者不能移動<N>但會自動攻擊敵人。		
$1_1_WHERE_AM_I_260_TITLE			
$1_1_WHERE_AM_I_260_TEXT	遊戲現在暫停。		
$1_1_WHERE_AM_I_270_TITLE			
$1_1_WHERE_AM_I_270_TEXT	點擊這裡開始。		
$1_1_WHERE_AM_I_271_TITLE			
$1_1_WHERE_AM_I_271_TEXT	按<暫停> 來開始		
$1_1_WHERE_AM_I_280_TITLE	TALK_$BER_DERANGED		
$1_1_WHERE_AM_I_280_TEXT	來吧！毛也未長齊的小鬼！<N>掏膛的在等著呢！		
$1_1_WHERE_AM_I_290_TITLE	TALK_$BER_LOOKBACK		
$1_1_WHERE_AM_I_290_TEXT	這真棒！但我總覺得我可以幹得更好！		
$1_1_WHERE_AM_I_300_TITLE	TALK_$BER_LOOKBACK		
$1_1_WHERE_AM_I_300_TEXT	你確定你把我的身體全滅了嘛？沒有任何......遺漏？		
$1_1_WHERE_AM_I_310_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_310_TEXT	我覺得我可以把更多的能量傳給你......		
$1_1_WHERE_AM_I_320_TITLE			
$1_1_WHERE_AM_I_320_TEXT	這是 $BER的能量棒。它會讓你更強更快。		
$1_1_WHERE_AM_I_330_TITLE			
$1_1_WHERE_AM_I_330_TEXT	在補充第二階，$BER可以用第二個技能，雙打擊。		
$1_1_WHERE_AM_I_340_TITLE			
$1_1_WHERE_AM_I_340_TEXT	現在就點擊補充！<N>你不會後悔的！		
$1_1_WHERE_AM_I_341_TITLE			
$1_1_WHERE_AM_I_341_TEXT	按補充和 <選擇>!<N>你不會後悔的！		
$1_1_WHERE_AM_I_350_TITLE	TALK_$BER_DERANGED		
$1_1_WHERE_AM_I_350_TEXT	這就像樣了！		
$1_2_THE_SHADOW_WORLD_00_TITLE	TALK_$MCG_POWER		
$1_2_THE_SHADOW_WORLD_00_TEXT	$BER! 這有效啊！		
$1_2_THE_SHADOW_WORLD_10_TITLE	TALK_$MCG_POWER		
$1_2_THE_SHADOW_WORLD_10_TEXT	我回到一個奇怪的地方?? 這是一個中途的地方??		
$1_2_THE_SHADOW_WORLD_20_TITLE	TALK_$BER_SURPRISE		
$1_2_THE_SHADOW_WORLD_20_TEXT	帶我進來，我在太空中漂浮著呢！		
$1_2_THE_SHADOW_WORLD_30_TITLE			
$1_2_THE_SHADOW_WORLD_30_TEXT	記住，<N>點擊這裡選擇狂戰士功能表。		
$1_2_THE_SHADOW_WORLD_31_TITLE			
$1_2_THE_SHADOW_WORLD_31_TEXT	記住，<N>按 <守護者> 或是 <上> 去選擇狂戰士功能表。		
$1_2_THE_SHADOW_WORLD_40_TITLE	TALK_$BER_SMILE		
$1_2_THE_SHADOW_WORLD_40_TEXT	噢耶！一起起舞吧！		
$1_2_THE_SHADOW_WORLD_50_TITLE			
$1_2_THE_SHADOW_WORLD_50_TEXT	點擊$BER 來選擇他。		
$1_2_THE_SHADOW_WORLD_51_TITLE			
$1_2_THE_SHADOW_WORLD_51_TEXT	用<TILE_MOVE> 與 <SELECT> 來選擇 $BER.		
$1_2_THE_SHADOW_WORLD_60_TITLE			
$1_2_THE_SHADOW_WORLD_60_TEXT	這些按鈕都是指示$BER要攻擊那一個敵人。		
$1_2_THE_SHADOW_WORLD_70_TITLE			
$1_2_THE_SHADOW_WORLD_70_TEXT	記住，用這些按鈕<N>來將時間加速或是減慢。		
$1_2_THE_SHADOW_WORLD_80_TITLE	提示		
$1_2_THE_SHADOW_WORLD_80_TEXT	在時間暫停的時候，你們都可以操作。<N>用 <PAUSE> 來快速暫停。		
$1_2_THE_SHADOW_WORLD_90_TITLE			
$1_2_THE_SHADOW_WORLD_90_TEXT	別忘了補充 $BER.<N>這是重要的策略啊！		
$1_2_THE_SHADOW_WORLD_91_TITLE			
$1_2_THE_SHADOW_WORLD_91_TEXT	別忘了用<SELECT>去補充 $BER。<N>這是重要的策略啊！		
$1_2_THE_SHADOW_WORLD_100_TITLE	TALK_$BER_DERANGED		
$1_2_THE_SHADOW_WORLD_100_TEXT	噢耶！<N>感受我的力量吧！		
$1_2_THE_SHADOW_WORLD_110_TITLE			
$1_2_THE_SHADOW_WORLD_110_TEXT	OH NO!啊！不要！<N>$BER 不能達到下一波的敵人！		
$1_2_THE_SHADOW_WORLD_120_TITLE			
$1_2_THE_SHADOW_WORLD_120_TEXT	用$MCG的閃電咒去攻擊他們！		
$1_2_THE_SHADOW_WORLD_121_TITLE			
$1_2_THE_SHADOW_WORLD_121_TEXT	用$MCG的閃電咒去攻擊他們！<N>按 <咒語>, 然後 <選擇>.		
$1_2_THE_SHADOW_WORLD_130_TITLE			
$1_2_THE_SHADOW_WORLD_130_TEXT	太好了！<N>用閃電把滑過的敵人擊落吧！		
$1_2_THE_SHADOW_WORLD_140_TITLE			
$1_2_THE_SHADOW_WORLD_140_TEXT	但使用時要謹慎，<N>它的使用是需要能量的。		
$1_3_COLISEUM_1_00_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_00_TEXT	沒有搞錯吧！ 你在幹嘛呢？		
$1_3_COLISEUM_1_10_TITLE	TALK_$BER_SMILE		
$1_3_COLISEUM_1_10_TEXT	感覺很奇怪，是嗎？		
$1_3_COLISEUM_1_20_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_20_TEXT	我覺得??我好像得了瘟疫??		
$1_3_COLISEUM_1_30_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_30_TEXT	當我覺得我快要死啦??		
$1_3_COLISEUM_1_40_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_40_TEXT	我的一隻腳都要踏進去了??		
$1_3_COLISEUM_1_50_TITLE	TALK_$BER_DERANGED		
$1_3_COLISEUM_1_50_TEXT	哼！與其等死，倒不如殺出去！		
$1_3_COLISEUM_1_60_TITLE	TALK_$BER_SMILE		
$1_3_COLISEUM_1_60_TEXT	整體來看，還是比等死好！		
$1_3_COLISEUM_1_70_TITLE	遊俠		
$1_3_COLISEUM_1_70_TEXT	$MCG 可以在狂戰士和遊俠兩個職業之間選擇。		
$1_3_COLISEUM_1_80_TITLE			
$1_3_COLISEUM_1_80_TEXT	把滑鼠移動到敵人群上獲取更多訊息。		
$1_3_COLISEUM_1_81_TITLE			
$1_3_COLISEUM_1_81_TEXT	<RE>$1_3_COLISEUM_1_80_TEXT		
$1_3_COLISEUM_1_90_TITLE			
$1_3_COLISEUM_1_90_TEXT	舉例說，這些紅色的敵人會反擊的！		
$1_3_COLISEUM_1_100_TITLE			
$1_3_COLISEUM_1_100_TEXT	另外，留意這個圖案。這一波的怪可會復活的。		
$1_4_COLISEUM_2_00_TITLE			
$1_4_COLISEUM_2_00_TEXT	如果你雇用更多的狂戰士，<N>$MCG 可以在狂戰士功能表中召喚他們至中途世界。		
$1_4_COLISEUM_2_10_TITLE	提時		
$1_4_COLISEUM_2_10_TEXT	$BER 依然是你最好的戰士- <N>使用他的“按兩下“來提升他的數值。		
$2_2_UNDEAD_RANGERS_00_TITLE			
$2_2_UNDEAD_RANGERS_00_TEXT	這些不死的遊俠有更長的攻擊距離，要小心計畫啊！		
$2_4_MONASTERY_00_TITLE	召回中		
$2_4_MONASTERY_00_TEXT	你可以把守護者從戰場上召回，<N>再賺一些能量，然後把他們放在其他位置。		
$2_4_MONASTERY_10_TITLE	召回中		
$2_4_MONASTERY_10_TEXT	這樣做的話，選擇一個守護者，點擊k <LQ>召回,<RQ> 或是按 <召回>.		
$2_4_MONASTERY_20_TITLE	全額退款		
$2_4_MONASTERY_20_TEXT	在第一波敵人到達之前，<N>召回他們可以退回100%的能量。		
$3_1_TO_THE_PASS_00_TITLE	TALK_$HEA_NORMAL		
$3_1_TO_THE_PASS_00_TEXT	那家醫院在河的對面??		
$3_1_TO_THE_PASS_10_TITLE	TALK_$MCG_POWER		
$3_1_TO_THE_PASS_10_TEXT	我感覺到它們??它們知道我在這裡。		
$3_1_TO_THE_PASS_20_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_20_TEXT	冷靜, $MCG!我們可以在河的遠處躲起來！		
$3_1_TO_THE_PASS_30_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_30_TEXT	我說的<LQ>躲起來<RQ> 我指的是 <LQ>殺過去<RQ> ，至於 <LQ>河的遠處<RQ> ，我指的是??		
$3_1_TO_THE_PASS_40_TITLE	TALK_$BER_DERANGED		
$3_1_TO_THE_PASS_40_TEXT	<LQ>任何會動的東西！！！<RQ>		
$3_1_TO_THE_PASS_50_TITLE	TALK_$MCG_POWER		
$3_1_TO_THE_PASS_50_TEXT	等等??只有我嗎？還是真的是有東西在游泳？		
$3_1_TO_THE_PASS_60_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_60_TEXT	更像狗在過河，你遊得太醜啦！		
$3_1_TO_THE_PASS_70_TITLE	TALK_$BER_DERANGED		
$3_1_TO_THE_PASS_70_TEXT	你聽到嘛？我說你是狗！		
$3_1_TO_THE_PASS_80_TITLE	TALK_$RAN_NORMAL		
$3_1_TO_THE_PASS_80_TEXT	你知道什麼叫狗嘴長不出象牙嗎？		
$3_1_TO_THE_PASS_90_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_90_TEXT	這可是我最厲害的武器！		
$3_2_HOSPITAL_ATTACK_00_TITLE			
$3_2_HOSPITAL_ATTACK_00_TEXT	冰霜法師可以減慢敵人的速度，這對短距離和敏捷的敵人非常有效。		
$3_2_HOSPITAL_ATTACK_10_TITLE	TALK_$MAG_FRIENDLY		
$3_2_HOSPITAL_ATTACK_10_TEXT	現在我的內心唱起了戰曲。		
$3_2_HOSPITAL_ATTACK_20_TITLE	TALK_$MAG_FROWN		
$3_2_HOSPITAL_ATTACK_20_TEXT	我們看看為火服務的冰??		
$3_2_HOSPITAL_ATTACK_30_TITLE	TALK_$MAG_PISSED		
$3_2_HOSPITAL_ATTACK_30_TEXT	讓我們的敵人淹死在它們自己的血中吧。		
$3_4_ARMORED_CREEPS_00_TITLE			
$3_4_ARMORED_CREEPS_00_TEXT	這些亡靈的盔甲可以它們擋住不少傷害。		
$3_4_ARMORED_CREEPS_10_TITLE	TALK_$BER_DERANGED		
$3_4_ARMORED_CREEPS_10_TEXT	嘿侏儒！真正的男人可以赤膊上陣啊！		
$3_4_ARMORED_CREEPS_20_TITLE	TALK_$RAN_NORMAL		
$3_4_ARMORED_CREEPS_20_TEXT	哎，如果它們想一起上，讓它們來吧！		
$3_4_ARMORED_CREEPS_30_TITLE	TALK_$RAN_NORMAL		
$3_4_ARMORED_CREEPS_30_TEXT	越少的僵屍化??越少的亂七八糟讓我看就越好。		
$3_4_ARMORED_CREEPS_40_TITLE	TALK_$BER_SURPRISE		
$3_4_ARMORED_CREEPS_40_TEXT	我知道我是十項全能，但我要如何來對付這些被盔甲保護的敵人呢？		
$3_4_ARMORED_CREEPS_50_TITLE	TALK_$HEA_NORMAL		
$3_4_ARMORED_CREEPS_50_TEXT	我有個好主意！		
$3_4_ARMORED_CREEPS_60_TITLE	TALK_$HEA_NORMAL		
$3_4_ARMORED_CREEPS_60_TEXT	$MCG, 當敵人經過那些晶石石，攻擊其中一顆吧！		
$3_5_MEET_THE_KNIGHT_00_TITLE			
$3_5_MEET_THE_KNIGHT_00_TEXT	這騎士有打破盔甲的技能，每攻擊一下就會減弱盔甲的防護。		
$3_5_MEET_THE_KNIGHT_10_TITLE	TALK_$KNI_NORMAL		
$3_5_MEET_THE_KNIGHT_10_TEXT	我可以打碎這些怪物的盔甲！		
$3_5_MEET_THE_KNIGHT_20_TITLE	TALK_$KNI_SQUINT		
$3_5_MEET_THE_KNIGHT_20_TEXT	...... 如果......我有一個身體......		
$3_5_MEET_THE_KNIGHT_30_TITLE	TALK_$KNI_SQUINT		
$3_5_MEET_THE_KNIGHT_30_TEXT	發生什麼事？		
$3_6_INTO_THE_CITY_00_TITLE	TALK_$MCG_POWER		
$3_6_INTO_THE_CITY_00_TEXT	$BER, 你在搞什麼啊?!		
$3_6_INTO_THE_CITY_10_TITLE	TALK_$BER_DERANGED		
$3_6_INTO_THE_CITY_10_TEXT	這是真男人的戰爭！		
$3_6_INTO_THE_CITY_20_TITLE	TALK_$MCG_POWER		
$3_6_INTO_THE_CITY_20_TEXT	現在給我穿上褲子！		
$3_6_INTO_THE_CITY_30_TITLE	TALK_$BER_DERANGED		
$3_6_INTO_THE_CITY_30_TEXT	永不！		
$3_6_INTO_THE_CITY_40_TITLE	TALK_$MCG_POWER		
$3_6_INTO_THE_CITY_40_TEXT	現在就做！否則我不會拉你入隊。		
$3_6_INTO_THE_CITY_50_TITLE	TALK_$BER_SMILE		
$3_6_INTO_THE_CITY_50_TEXT	......好吧		
$3_11_CITADEL_BOSS_00_TITLE	TALK_$BER_SMILE		
$3_11_CITADEL_BOSS_00_TEXT	我看不見的敵人我該如何打呢？！		
$3_11_CITADEL_BOSS_10_TITLE	TALK_$HEA_NORMAL		
$3_11_CITADEL_BOSS_10_TEXT	它們看起來會製造包圍自己的毒雲。		
$3_11_CITADEL_BOSS_20_TITLE	TALK_$MCG_POWER		
$3_11_CITADEL_BOSS_20_TEXT	我們該如何擺脫它們呢？		
$3_11_CITADEL_BOSS_30_TITLE	TALK_$HEA_NORMAL		
$3_11_CITADEL_BOSS_30_TEXT	我想我可以消除這種黑暗......不過只有一小會兒。		
$3_11_CITADEL_BOSS_40_TITLE	TALK_$BER_DERANGED		
$3_11_CITADEL_BOSS_40_TEXT	這就是我需要的。		
$3_13_DESTROY_CITY_00_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_00_TEXT	夠了！		
$3_13_DESTROY_CITY_10_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_10_TEXT	就在這裡終止吧。		
$3_13_DESTROY_CITY_20_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_20_TEXT	你覺得這些小傷口就可以打倒我？		
$3_13_DESTROY_CITY_30_TITLE	TALK_$HEA_NORMAL		
$3_13_DESTROY_CITY_30_TEXT	不，但這座倒塌的城會！		
$3_13_DESTROY_CITY_40_TITLE	TALK_$HEA_NORMAL		
$3_13_DESTROY_CITY_40_TEXT	這些礦物會與你的瘋狂一起被埋葬。		
$3_13_DESTROY_CITY_50_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_50_TEXT	兄弟......我所做的一切...... 你該明白......		
$3_13_DESTROY_CITY_60_TITLE	TALK_$HEA_NORMAL		
$3_13_DESTROY_CITY_60_TEXT	我知道你已經死了。		
$3_13_DESTROY_CITY_70_TITLE	TALK_$BER_DERANGED		
$3_13_DESTROY_CITY_70_TEXT	是啊！死亡可不是什麼好滋味啊！你這個穿長袍的臭小子！		
$4_1_EZTLIS_FORCES_00_TITLE			
$4_1_EZTLIS_FORCES_00_TEXT	這些古怪的邪教徒會變成令人畏懼的強大亡靈。移動緩慢但足以致命，只有眾多的守護者聯合起來才可以打敗它們。		
$4_2_WIZARDS_REALM_00_TITLE	TALK_$RAN_SQUINT		
$4_2_WIZARDS_REALM_00_TEXT	這東西到底是什麼玩意兒啊！		
$4_2_WIZARDS_REALM_10_TITLE	TALK_$RAN_SQUINT		
$4_2_WIZARDS_REALM_10_TEXT	它看起來快要爆開！		
$4_2_WIZARDS_REALM_20_TITLE	TALK_$BER_SMILE		
$4_2_WIZARDS_REALM_20_TEXT	是啊，看起來就像我那次大吃變壞了的燉牛肉一樣??		
$4_2_WIZARDS_REALM_30_TITLE	TALK_$BER_LOOKBACK		
$4_2_WIZARDS_REALM_30_TEXT	除了這些吐出來的是那些亡靈小怪吧?? 而不是??		
$4_2_WIZARDS_REALM_40_TITLE	TALK_$RAN_SERIOUSLY		
$4_2_WIZARDS_REALM_40_TEXT	好啦好啦??我們都知道啦。		
$4_5_RIGHT_HAND_00_TITLE	TALK_CULTIST_PRIEST		
$4_5_RIGHT_HAND_00_TEXT	死亡降臨！		
$4_5_RIGHT_HAND_10_TITLE	TALK_$BER_SURPRISE		
$4_5_RIGHT_HAND_10_TEXT	那......是......一隻大...... 手嗎？		
$4_5_RIGHT_HAND_20_TITLE	TALK_$BER_LOOKBACK		
$4_5_RIGHT_HAND_20_TEXT	那裡是否有些大得不尋常的身體部分從地下爬出來嗎？		
$4_5_RIGHT_HAND_30_TITLE	TALK_CULTIST_PRIEST		
$4_5_RIGHT_HAND_30_TEXT	死吧！		
$4_5_RIGHT_HAND_40_TITLE	TALK_$BER_SURPRISE		
$4_5_RIGHT_HAND_40_TEXT	韋飛! 你回來啦?!!		
$4_5_RIGHT_HAND_50_TITLE	TALK_$BER_DERANGED		
$4_5_RIGHT_HAND_50_TEXT	過來這裡讓我殺你！		
$4_5_RIGHT_HAND_60_TITLE	TALK_CULTIST_PRIEST		
$4_5_RIGHT_HAND_60_TEXT	這些愚蠢的人竟然相信戰爭完結了??		
$4_5_RIGHT_HAND_70_TITLE	TALK_CULTIST_PRIEST		
$4_5_RIGHT_HAND_70_TEXT	但這些爛肉一般的生物和墮落的靈魂不是他們生前所相信的吧。		
$4_5_RIGHT_HAND_80_TITLE	TALK_CULTIST_PRIEST		
$4_5_RIGHT_HAND_80_TEXT	充滿了主人的熱情......我是艾斯理-特諾奇的右手......		
$4_5_RIGHT_HAND_90_TITLE	TALK_CULTIST_PRIEST		
$4_5_RIGHT_HAND_90_TEXT	我就是死亡。		
$4_5_RIGHT_HAND_91_TITLE	TALKSYMBOLS_CULTIST_PRIEST		
$4_5_RIGHT_HAND_91_TEXT	讓我成為你的孩子。		
$4_5_RIGHT_HAND_100_TITLE	TALK_ZELEMIR_POWER		
$4_5_RIGHT_HAND_100_TEXT	夠了吧。		
$4_5_RIGHT_HAND_110_TITLE	TALK_$MCG_POWER		
$4_5_RIGHT_HAND_110_TEXT	舍理米爾?! 你在這裡幹嘛?		
$4_5_RIGHT_HAND_120_TITLE	TALK_ZELEMIR_POWER		
$4_5_RIGHT_HAND_120_TEXT	在救你啊！		
$12_4_FINAL_00_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_00_TEXT	舍理米爾?		
$12_4_FINAL_10_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_10_TEXT	要我看著一直對抗的怪物逃走，我無法坐視不理！		
$12_4_FINAL_20_TITLE	TALK_$MAG_PISSED		
$12_4_FINAL_20_TEXT	你這個兇手！你以為我們會......		
$12_4_FINAL_30_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_30_TEXT	這不是時候！非它死就死我們亡！		
$12_4_FINAL_40_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_40_TEXT	之後，你就可以盡情報復了。		
$12_4_FINAL_50_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_50_TEXT	沒用的！他們魔法會保護他！		
$12_4_FINAL_60_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_60_TEXT	那我們可以怎樣做？		
$12_4_FINAL_70_TITLE	TALK_NOMAD_MALE_1		
$12_4_FINAL_70_TEXT	女士，我們還陪著你呢??		
$12_4_FINAL_80_TITLE	TALK_ASH_FEMALE_1		
$12_4_FINAL_80_TEXT	直到今天，你一直都將你的力量借給我們。		
$12_4_FINAL_90_TITLE	TALK_QUAID_MALE_1		
$12_4_FINAL_90_TEXT	現在我就把我們的借給你吧！		
$12_4_FINAL_100_TITLE			
$12_4_FINAL_100_TEXT	第一次，<N>$MCG 的力量可以提高！		
$12_4_FINAL_110_TITLE			
$12_4_FINAL_110_TEXT	用這力量來打敗艾斯理-特諾奇！		
$12_4_FINAL_120_TITLE	TALK_NOMAD_FEMALE_1		
$12_4_FINAL_120_TEXT	女士，讓我們幫你吧??		
$12_4_FINAL_130_TITLE	TALK_NOMAD_FEMALE_2		
$12_4_FINAL_130_TEXT	女士，我們會為你祈禱??		
$12_4_FINAL_140_TITLE	TALK_QUAID_MALE_2		
$12_4_FINAL_140_TEXT	這是我們所有的力量??		
$12_4_FINAL_150_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_150_TEXT	合而為一吧！		
$12_4_FINAL_160_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_160_TEXT	我難道還要對牛彈琴嗎？		
$12_4_FINAL_170_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_170_TEXT	那些愚笨的人祈求我成為他們的神，現在又用空洞的威脅，又跺腳又對天揮拳，毫無意義。		
$12_4_FINAL_171_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_171_TEXT	我一直都希望??		
$12_4_FINAL_172_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_172_TEXT	不！		
$12_4_FINAL_180_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_180_TEXT	在哪個世界你可以面對我呢？		
$12_4_FINAL_190_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_190_TEXT	我是艾斯理-特諾奇！		
$12_4_FINAL_200_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_200_TEXT	你是一個偉大的存在，福澤萬人。		
$12_4_FINAL_210_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_210_TEXT	但眾人都聚合在我之內。		
$12_4_FINAL_220_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_220_TEXT	我就是他們的代表。		
$12_4_FINAL_230_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_230_TEXT	我們會一起打敗你。		
$12_4_FINAL_240_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_240_TEXT	愚蠢！		
$12_4_FINAL_250_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_250_TEXT	這可是我的空間。		
$12_4_FINAL_260_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_260_TEXT	你也許可以戰抖著步入中途世界吧??		
$12_4_FINAL_270_TITLE	TALK_EZTLI-TENOCH_NORMAL		
$12_4_FINAL_270_TEXT	??但只有我可以走靈魂之道。		
$12_4_FINAL_280_TITLE	TALK_$MCG_POWER		
$12_4_FINAL_280_TEXT	發生什麼事了？		
$12_4_FINAL_290_TITLE	TALK_$HEA_NORMAL		
$12_4_FINAL_290_TEXT	他直接走進??另外一頭??		
$12_4_FINAL_300_TITLE	TALK_$HEA_NORMAL		
$12_4_FINAL_300_TEXT	我不能從中途世界中找到他。		
$12_4_FINAL_310_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_310_TEXT	那邊好像有條路啊......		
$12_4_FINAL_320_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_320_TEXT	$MCG, 你就像我一樣......你可以把其他人帶入中途世界......		
$12_4_FINAL_330_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_330_TEXT	但這裡的所有人......都將他們的力量借給我們了......		
$12_4_FINAL_340_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_340_TEXT	我能感受到......		
$12_4_FINAL_350_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_350_TEXT	集中我們所有的力量，那我就可以完全進入另外一個世界......		
$12_4_FINAL_360_TITLE	TALK_ZELEMIR_WOUNDED		
$12_4_FINAL_360_TEXT	那裡我就可以消滅那卑鄙的巫師！		
