flag		comment
$ERROR_CONTEXT	內容	
$ERROR_MESSAGE	消息	
$ERROR_NUMBER	錯誤 #	
$ERROR_STACK	堆疊追蹤	
$ERROR_TITLE	發生了一個錯誤！	
$FB_HARD_SELL_NO	我說了絕不！	
$FB_HARD_SELL_TEXT	你確定嗎？<N>看！它在發光！	
$FB_HARD_SELL_YES	嗯……好吧。	
$FB_LIKE_US_NO	哈哈哈，不。	COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.
$FB_LIKE_US_TEXT	去Facebook上關注我們，你就可以<N>獲得這份免費的獎勵！	
$FB_LIKE_US_YES	好的！	
$FB_PERSISTENT_OK	勝利屬於我！	
$FB_PERSISTENT_TEXT	好吧，你贏了！<N>總之你可以擁有它 :)	
$FB_REBEL_TEXT	沒錯，挑戰權威！<N>重新選擇吧！	
$FB_SECOND_PITCH	你仍然可以獲得這個<N>只需要去Facebook上關注我們！	
$FB_SECOND_PITCH_NO	絕不！	
$FB_SECOND_PITCH_YES	好的！	
$FB_THANKS_OK	好的	
$FB_THANKS_SUCKS	Facebook太糟糕了	
$FB_THANKS_TEXT	感謝你在Facbook上關注了我們！<N>你獲得了這份獎勵！	
$FB_THIS_ITEM_WILL_NOW	這件物品會存在在任意玩家的庫存中。	
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	每點傷害可以破壞 <AMT_2DIG><EXTRA> 點護甲。	
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	每 <AMT_2DIG><EXTRA> 點傷害可以破壞1點護甲。	
$FLAV_DESC_ARMOR_BREAK_DIRECT	攻擊破壞了 <AMTDMG><EXTRA> 點護甲。	
$FLAV_DESC_ARMOR_BREAK_SHORT	攻擊破壞了若干點護甲。	COMMENT: There are 4 variants here to handle the various pluralizations
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	每點攻擊可以無視 <AMT_2DIG><EXTRA> 點護甲。	
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	每 <AMT_2DIG><EXTRA> 點傷害可以無視1點護甲。	
$FLAV_DESC_ARMOR_PIERCE_DIRECT	攻擊無視了 <AMTDMG><EXTRA> 點護甲。	
$FLAV_DESC_ARMOR_PIERCE_SHORT	攻擊無視了若干點護甲。	
$FLAV_DESC_AUTO_KILL	生命值低於 <PERCENT>%<EXTRA> 的敵人自動死亡。	
$FLAV_DESC_AUTO_KILL_SHORT	足夠虛弱的敵人自動死亡。	
$FLAV_DESC_BLEED	敵人會從之後的攻擊中受到 <PERCENT>%<EXTRA> 的額外傷害，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_BLEED_SHORT	敵人會從之後的攻擊中受到額外的傷害，持續一段時間。	
$FLAV_DESC_BLINDED	敵人的攻擊命中率降低 <PERCENT>% <EXTRA>，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_BLINDED_SHORT	敵人的攻擊命中率下降，持續一段時間。	
$FLAV_DESC_BURN	敵人每秒受到 <AMTDMG><EXTRA> 點傷害，持續 <TIME><EXTRA_TIME> 秒。冰凍會清除該狀態。	
$FLAV_DESC_BURN_SHORT	敵人受到持續傷害，持續一段時間。冰凍會清除該狀態。	
$FLAV_DESC_CHILL	敵人速度降低 <PERCENT>%<EXTRA>，持續 <TIME><EXTRA_TIME> 秒。燃燒會清除該狀態。	
$FLAV_DESC_CHILL_SHORT	敵人速度降低，持續一段時間。燃燒會清除該狀態。	
$FLAV_DESC_CONFUSED	敵人向後倒退，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_CONFUSED_SHORT	敵人向後倒退，持續一段時間。	
$FLAV_DESC_CRITICAL	傷害 = <AMT_1DIG>x<EXTRA> 正常。	
$FLAV_DESC_CRITICAL_SHORT	傷害大於正常。	
$FLAV_DESC_DISEASE	敵人的生命恢復減少了 <PERCENT>%<EXTRA>。	
$FLAV_DESC_DISEASE_SHORT	敵人的生命恢復減少了。	
$FLAV_DESC_FREEZE	敵人無法移動，持續 <TIME><EXTRA_TIME> 秒。燃燒會清除該狀態。	
$FLAV_DESC_FREEZE_SHORT	敵人無法移動，持續一段時間。燃燒會清除該狀態。	
$FLAV_DESC_INSPIRE	友方造成 <M_MULT_PERCENT>%<EXTRA> 的額外傷害，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_INSPIRE_SHORT	友方造成額外傷害，持續一段時間。	
$FLAV_DESC_KNOCK_BACK	敵人被擊退回 <AMT_1DIG><EXTRA> 個方格。	
$FLAV_DESC_KNOCK_BACK_SHORT	敵人被擊退回若干個方格。	
$FLAV_DESC_LIGHT	黑暗敵人受到額外 <AMT_2DIG>x<EXTRA> 傷害，並且更容易被命中，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_LIGHT_SHORT	黑暗敵人受到額外傷害，並且更容易被命中。	
$FLAV_DESC_POISON	敵人每秒受到攻擊的 <PERCENT>%<EXTRA> 的傷害，持續 <TIME><EXTRA_TIME> 秒。	COMMENT: Font size and x/y offsets for options menu button labels
$FLAV_DESC_POISON_DIRECT	敵人每秒受到 <AMTDMG><EXTRA> 的傷害，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_POISON_SHORT	敵人受到持續傷害，持續一小段時間。	
$FLAV_DESC_SINGLE_STUN	敵人無法移動，持續 <TIME><EXTRA_TIME> 秒。只能被施加一次。	
$FLAV_DESC_SINGLE_STUN_SHORT	敵人無法移動，持續 一段時間。只能被施加一次。	
$FLAV_DESC_SLOW	敵人速度降低 <PERCENT>%<EXTRA>，持續 <TIME><EXTRA_TIME> 秒。	COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text
$FLAV_DESC_SLOW_SHORT	敵人速度降低，持續一段時間。	
$FLAV_DESC_STRIKE_THROUGH	攻擊可以命中 <INTI><EXTRA> 個敵人。	
$FLAV_DESC_STRIKE_THROUGH_SHORT	攻擊可以命中多個敵人。	
$FLAV_DESC_STUN	敵人無法移動，持續 <TIME><EXTRA_TIME> 秒。	
$FLAV_DESC_STUN_SHORT	敵人無法移動，持續 一段時間。	
$GETSCRAP1	一堆垃圾，破布，損壞的工具和幾片鋒利生銹的金屬碎片。<N><N>根本沒有人會要這個吧？	
$GETSCRAP2	顯然，墓坑的居民使用這些垃圾作為貨幣。	
$HERO_BLURB_BAKAL	一位溫文爾雅的老僧人，為他的罪尋求寬恕……	
$HERO_BLURB_KETTA	一位遊牧的女獵手，非常的憤世嫉俗……	
$HERO_BLURB_MARKOS	一位久經沙場的其實，厭倦了無休止的鬥爭……	
$HERO_BLURB_NIRU	暴力並且神秘，這條龍從不會分享它的任何秘密……	
$HERO_BLURB_SLAK	一個勇敢的年輕人，勇敢但魯莽……	
$HERO_BLURB_WRENNA	奎德最後的公主，渴望報復她墮落的王國……	
$LQ	“	
$MAP_TEXT_HERMIT	隱士	
$MAP_TEXT_LAIR	巢穴	
$MAP_TEXT_PRISON	監牢	
$MAP_TEXT_SHRINE	聖地	
$MAP_TEXT_TREASURE	洞穴	
$MAP_TEXT_UNKNOWN	？？？	
$MCGUFFIN_LEARN_SPELL	<MCG> 學會了新法術！	
$MISC_1_FOE	1個敵人	
$MISC_1_FRIEND	1個友方	
$MISC_ABSORB_X	吸收 <X>	
$MISC_ABSORB_X_RESIST_Y	吸收 <X>，抵抗 <Y>%	
$MISC_ACCEPT	接受	
$MISC_ACCEPT_AND_CLOSE	接受並關閉	
$MISC_ACHIEVEMENT!	成就！	
$MISC_ADJUST_REWARDS	100%是默認數額，向上或向下調整來改變你的獎勵。	
$MISC_ADVANCED	高級	
$MISC_ADVANCED_SHORT	高級	
$MISC_ALL_FOES	範圍內所有的敵人	
$MISC_ALL_FOES_IN	<TILES> 方格內所有的敵人	
$MISC_ALL_FRIENDS	範圍內所有的友方	
$MISC_ALL_FRIENDS_IN	<TILES> 方格內所有的友方	
$MISC_ALL_TARGETS	範圍內的目標	
$MISC_ALL_TARGETS_IN	<TILES> 方格內的目標	
$MISC_AMOUNT	數量	
$MISC_AMOUNT_SHORT	數量	
$MISC_ANONYMOUS	無名	
$MISC_ARE_YOU_SURE	你確定嗎？	
$MISC_ARMOR	護甲	
$MISC_ARMOR_PLURAL	<RE>$MISC_ARMOR	
$MISC_ARMOR_SINGULAR	<RE>$MISC_ARMOR	
$MISC_ARMOR_SHORT	護甲	
$MISC_ASSIGN_POINTS	分配<N>點	
$MISC_ATTACK	攻擊	
$MISC_ATTACK_SHORT	攻擊	
$MISC_BACK	返回	
$MISC_BASE_ATTACK	基礎攻擊	
$MISC_BATTLE	戰鬥	
$MISC_BEGIN	開始	
$MISC_BONUS	額外獎勵	
$MISC_BONUS_DEFENSE	基礎防禦	
$MISC_BOOST	強化	
$MISC_BOOST_X	強化 <X>	
$MISC_BREAK_HERO_MODE_TEXT	你選擇了<LQ>英雄模式<RQ>，在此模式中禁止招募通用人物。<N>是否離開此模式去招募人物進行遊戲？	
$MISC_BREAK_HERO_MODE_TITLE	離開英雄模式？	
$MISC_BUY	購買	
$MISC_CANCEL	取消	
$MISC_IGNORE	忽略
$MISC_CANT_AFFORD	餘額不足	
$MISC_CANT_EQUIP!	無法裝備	
$MISC_CASUAL	容易	
$MISC_CASUAL_SHORT	容易	
$MISC_CHANCE	幾率	
$MISC_CHANGE	更改	
$MISC_CLICK_HERE	點擊這裡	
$MISC_CLOSE	關閉	
$MISC_COMPLETE	完成	
$MISC_COMPLETE!	完成！	
$MISC_CONFIG_DIR	配置.資料夾	
$MISC_CONFIRM	確認	
$MISC_CONFIRM_CHANGE	確認更改	
$MISC_CONFIRM_RECRUIT	確認雇傭	
$MISC_CONTINUE	繼續	
$MISC_COST	消耗	
$MISC_COST:	消耗：	
$MISC_COUNTER	計數器	
$MISC_CREDITS	鳴謝	
$MISC_CURRENT_SAVE	當前保存文檔：	
$MISC_CUSTOM_SETTINGS	自訂……	
$MISC_DAMAGE	傷害	
$MISC_DAMAGE_RESIST	傷害抵抗	
$MISC_DAMAGE_SHORT	傷害	
$MISC_DARK	黑暗	
$MISC_DARK_DESC	（回避 75% 的傷害）	
$MISC_DEATH_SPLASH	死亡濺射	
$MISC_DEF_SHORT	防禦	
$MISC_DEFAULT	默認	
$MISC_DEFAULT_SETTINGS	默認（推薦新手玩家選擇）	
$MISC_DEFEAT	戰勝	
$MISC_DEFEND	守護	
$MISC_DEFENDER	守護者	
$MISC_DEFENDERS	守護者	
$MISC_DEFENSE	防守	
$MISC_DEFENSE_ABS	防守	
$MISC_DEFENSE_SHORT	防禦	
$MISC_DELETE_ACHIEVEMENT	是否刪除成就？	
$MISC_DELETE_BOTH_GOG_ACHIEVEMENT	刪除本地以及GOG的成就	
$MISC_DELETE_BOTH_STEAM_ACHIEVEMENT	刪除本地以及Steam的成就	
$MISC_DELETE_LOCAL_ACHIEVEMENT	僅刪除本地成就	
$MISC_DEMO_VERSION	試玩版本	
$MISC_DEMO_VERSION_DESC	這是《守護者冒險：遺忘山谷 豪華版》的公開試玩版本。<N><N>它大約包含了完整遊戲20%的內容，如果您選擇購買完整版，則可以匯出您的存檔，這樣您就不會丟失您的遊戲進度。	
$MISC_DESCRIPTION	描述	
$MISC_DISABLED	關閉功能	
$MISC_DOWNLOAD	下載	
$MISC_DQ_NEWS	獲得資訊！	
$MISC_DQ_SITE	DefendersQuest.com	
$MISC_EASIER	更簡單	
$MISC_EASY	普通	
$MISC_EASY_SHORT	普通	
$MISC_EMPTY	空的	
$MISC_ENABLED	打開	
$MISC_ENEMY_LEVELS	敵人等級	
$MISC_ENTER	進入	
$MISC_ENTER_TEXT	輸入文本內容：	
$MISC_EQUIP	裝備	
$MISC_SLOT	槽位	
$MISC_ERROR	錯誤	
$MISC_ERROR_INVALID_MOD_NAME	mod名稱無效！	
$MISC_ERROR_MOD_BAD	非常抱歉，mod與遊戲版本不相容！	
$MISC_ERROR_MOD_EXISTS	已存在同名mod！	
$MISC_ERROR_UNKNOWN	非常抱歉，發生了未知錯誤！	
$MISC_ERROR_UNZIP	無法解壓縮該mod。在選項功能表中更改mod路徑，或檢查硬碟驅動器空間。	
$MISC_ERROR!	發生錯誤！	
$MISC_EVADE	閃避	
$MISC_EVADE_SHORT	閃避	
$MISC_EVASION	閃避	
$MISC_EXIT	離開	
$MISC_EXPERIENCE	經驗	
$MISC_EXTREME	極限	
$MISC_EXTREME_SHORT	極限	
$MISC_FAIL_TT_TEXT	如果你失敗了，你將從獎勵中扣除多少經驗和廢品作為懲罰。<N> -50％是默認額度，向上或向下調整以更改懲罰額度。	
$MISC_FAIL_TT_TITLE		
$MISC_FAST	快速	
$MISC_FOE_PLURAL	敵人	
$MISC_FOE_SINGULAR	敵人	
$MISC_FRIEND_PLURAL	友方	
$MISC_FRIEND_SINGULAR	友方	
$MISC_GAIN	獲得	
$MISC_GAME_DATA	遊戲數據	
$MISC_GOLD	廢品	
$MISC_GOLD_TT_TEXT	你在戰鬥中獲得的廢品（金錢）。<N><RE>[$MISC_ADJUST_REWARDS]	
$MISC_GOLD_TT_TITLE	廢品	
$MISC_GOLD:	廢品：	
$MISC_HARD	<RE>$MISC_EXTREME	
$MISC_HARD_SHORT	<RE>$MISC_EXTREME_SHORT	
$MISC_HARDER	更困難	
$MISC_HEAL	治療	
$MISC_HERO_MODE	英雄模式	
$MISC_HERO_MODE_TEXT	禁止招募通用人物。<N>強烈建議第一次遊戲不要選擇此模式！<N><N>注意：<N>如果你想改變你的主意，你可以嘗試去招募一個角色並且解除彈出的警告。<N><N>當你選擇英雄模式時，我們強烈建議把經驗和廢品獲得調整為300%。<N><N>最後，“英雄模式”成就不需要這項設置——沒有通用人物就已經可以達成成就。	
$MISC_HERO_MODE_TITLE	<RE>$MISC_HERO_MODE	
$MISC_HIRE	雇傭！	
$MISC_HIRE_Q	<NAME> ，職業為 <CLASS> ，消耗 <N><SCRAP> 廢品，是否確定雇傭？	
$MISC_HP	生命值	
$MISC_HP_SHORT	生命	
$MISC_IMMUNE_TO	免疫 <SOMETHING>	
$MISC_INFO	信息	
$MISC_JOURNAL	日誌	
$MISC_LANGUAGES	語言	
$MISC_LEADER	領導者	
$MISC_LEAVE	離開	
$MISC_LEVEL	等級	
$MISC_LEVEL_SHORT	等級	
$MISC_LEVEL_SHORT_X	等級 <X>	
$MISC_LEVEL_PARTY_GEM	等級	Appears on character blocks in the party screen
$MISC_LEVEL_WAVE_BLOCK	等級	Appears on enemy wave blocks in battle
$MISC_LEVEL_SUPER_SHORT	等級	
$MISC_LEVEL_UP!	升級！	
$MISC_LEVEL_UPX	升級x	
$MISC_LEVEL_X	等級 <X>	
$MISC_LOADING	載入中……	
$MISC_LOADING_PERCENT	載入中……<PERCENT>%	
$MISC_LOCKED	未解鎖	
$MISC_LVLUP	升級	
$MISC_MAKE_CHANGE	確定更改嗎？	
$MISC_MAX	最大	
$MISC_MEDIUM	<RE>$MISC_ADVANCED	
$MISC_MEDIUM_SHORT	<RE>$MISC_ADVANCED_SHORT	
$MISC_MENU	菜單	
$MISC_PAUSE	暫停	
$MISC_MISS	未命中	
$MISC_MODS	Mods	
$MISC_MORE	更多……	COMMENT: moves the 'cycle defenders' text and associated buttons
$MISC_MOVIES	影片	
$MISC_NEED_PSI	需要<N>能量	
$MISC_NEW_GAME_SETTINGS	新的遊戲設定	
$MISC_NEXT	繼續	
$MISC_NO	不	
$MISC_NO_AFFORD	餘額不足	
$MISC_NO_CHANGE	沒有變化	
$MISC_NO_HARDWARE	您的系統不支援硬體加速。遊戲仍然會運行，但如果看起來很慢，你可以關閉圖形設置。	
$MISC_NOBODY	沒有人	
$MISC_NOM!	吞下	
$MISC_NONE	沒有	
$MISC_NONE_DEFAULT	沒有 *	
$MISC_NORMAL	普通	
$MISC_NORMAL_SHORT	普通	
$MISC_NOTHING	沒有東西	
$MISC_NOTHING_TO_EQUIP	沒有裝備！	
$MISC_NOTHING!	沒有東西！	
$MISC_OF_DAMAGE	的傷害	
$MISC_OK	好的	
$MISC_OKAY	好的	
$MISC_OPTIONS	選項	
$MISC_OTHER	其他	
$MISC_PARTY	隊伍	
$MISC_PASS	跳過	
$MISC_PERFECT	完美	
$MISC_PERFECT_BONUS	完美額外獎勵：	
$MISC_PERFECT!	完美！	
$MISC_PHASES	階段	
$MISC_PLEASE_ENTER_A_NAME!	請輸入名字！	
$MISC_PLEASE_WAIT	請稍等……	
$MISC_PLUS_X_STAT	+<X> <STAT>	
$MISC_PLUS_X_TO_ARMOR_ABS	<PLUS_OR_MINUS><X> 護甲	
$MISC_PLUS_X_TO_ATTACK	<PLUS_OR_MINUS><X> 攻擊	
$MISC_PLUS_X_TO_ATTACK_SPEED	<PLUS_OR_MINUS><X> 速度	
$MISC_PLUS_X_TO_DEFENSE_ABS	<PLUS_OR_MINUS><X> 防禦	
$MISC_PLUS_X_TO_HP	<PLUS_OR_MINUS><X> 生命值	
$MISC_PLUS_X_TO_RANGE	<PLUS_OR_MINUS><X> 範圍	
$MISC_PLUS_X_TO_REGEN_ABS	<PLUS_OR_MINUS><X> 生命恢復	
$MISC_PLUS_X%_TO_ARMOR_MULT	<PLUS_OR_MINUS><X> 護甲2	
$MISC_PLUS_X%_TO_DEFENSE_MULT	<PLUS_OR_MINUS><X>% 防禦	
$MISC_PLUS_X%_TO_DODGE	<PLUS_OR_MINUS><X> 閃避	
$MISC_PLUS_X%_TO_EVADE	<PLUS_OR_MINUS><X>	
$MISC_PLUS_X%_TO_REGEN_MULT	<PLUS_OR_MINUS><X>% 生命恢復	
$MISC_PORCUPINE	荊棘傷害	
$MISC_PREV	返回	
$MISC_PREVIOUS	返回	
$MISC_PROBLEM?	有問題嗎？	
$MISC_PSI	能量	
$MISC_PSI_SHORT	能量	
$MISC_CHANGE_USER	變更使用者
$MISC_WRONG_USER	目前登入的使用者發生問題。
$MISC_SIGN_IN	登入
$MISC_QUIT	離開	
$MISC_QUIT	離開	
$MISC_QUIT_BATTLE	離開戰鬥	
$MISC_RANDOM	隨機	
$MISC_RANGE	範圍	
$MISC_RANGE_SHORT	範圍	
$MISC_RECRUIT	招募	
$MISC_REFUSE	拒絕	
$MISC_REGEN	回復	
$MISC_REGEN_LONG	生命恢復	
$MISC_REGEN_SHORT	回復	
$MISC_RESET	重新設定	
$MISC_RESIST	抵抗 <SOMETHING>	
$MISC_RESIST_X	抵抗 <X>%	
$MISC_RESTART	重新開始	
$MISC_RESTART	重新開始?	
$MISC_RESTORE_DEFAULTS	恢復默認設置	
$MISC_REWARD	獎勵：	
$MISC_SAVE_DATA	保存資料	
$MISC_SAVE_ERROR_TEXT	自動保存失敗,檢查您的檔許可權。<N>我們將稍後進行重試。	
$MISC_SAVE_ERROR_TITLE	自動保存發生錯誤！	
$MISC_SAVE_FIXED_TEXT	自動保存成功，看來您已經修復了錯誤。<N>我們現在就閉嘴。	
$MISC_SAVE_FIXED_TITLE	自動保存中！	
$MISC_SAVED	已保存	
$MISC_SAVED!	已保存！	
$MISC_SCRAP	廢品	
$MISC_SECOND	秒	
$MISC_SECOND_SHORT	秒	
$MISC_SECONDS	秒	
$MISC_SECONDS_SHORT	秒	
$MISC_SELECT	選擇	
$MISC_SELECT_CHALLENGE	選擇難度：	
$MISC_SELL	出售	
$MISC_SEND_NEXT	下次派遣	
$MISC_SKILL	技能	
$MISC_SKILLS	技能	
$MISC_INSPECT	檢查	
$MISC_SKIP	跳過	
$MISC_SLOW	緩慢	
$MISC_SPAWNS	怪物刷新	
$MISC_SPECIAL	特殊	
$MISC_SPEED	速度	
$MISC_SPEED_SHORT	速度	
$MISC_SPELL	法術	
$MISC_SPLASH_DAMAGE	濺射	
$MISC_SPLASH_LINE	<AMT> 傷害, <TILES> 方格	
$MISC_SPLASH_TILES 方格	
$MISC_STATS	數值	
$MISC_STATUS	狀態	
$MISC_STRANGER	陌生人	
$MISC_STRENGTHS	強項	
$MISC_SWIMS	游泳	
$MISC_TALK	交談	
$MISC_THORNS	荊棘傷害	
$MISC_THRESHOLD	臨界值	
$MISC_TIPS	提示	
$MISC_TO	到	
$MISC_TOWN	城鎮	
$MISC_TRY_AGAIN	再試一次	
$MISC_TYPES	類型	
$MISC_UNDO	撤銷	
$MISC_UNDO_ALL	撤銷所有	
$MISC_UNEQUIP	卸下	
$MISC_UNIQUE	特殊	
$MISC_UNKNOWN	未知	
$MISC_UNSAVED	未保存	
$MISC_UP_TO_X_FOES	最多 <NUM> 個 <FOE>	
$MISC_UP_TO_X_FRIENDS	最多 <NUM> 個 <FRIEND>	
$MISC_UPGRADE	升級	
$MISC_VERSUS	對陣	
$MISC_VICTORY	勝利	
$MISC_VS	對陣	
$MISC_WAIT	等待	
$MISC_WALKS_ON	行走	
$MISC_WARNING	警告！	
$MISC_WAVE_X	第 <X> 波	
$MISC_WAVES	波	
$MISC_WEAKNESSES	弱點	
$MISC_WEAPON_SINGULAR	武器	
$MISC_WEAPON	<RE>$MISC_WEAPONS	
$MISC_WEAPONS	武器	
$MISC_WEAPON_PLURAL	<RE>$MISC_WEAPONS	
$MISC_ACCESSORY_SINGULAR	<RE>$MISC_ACCESSORY	
$MISC_ACCESSORY	配件	
$MISC_ACCESSORIES	配件	
$MISC_ACCESSORY_PLURAL	<RE>$MISC_ACCESSORIES	
$MISC_X_FOES	<NUM> 個敵人	
$MISC_X_FRIENDS	<NUM> 個友方	
$MISC_X_HITS_FOE	每個敵人 <NUM> 次	
$MISC_X_HITS_FRIEND	每個友軍 <NUM> 次	
$MISC_X_HITS_TARGET	每個目標 <NUM> 次	
$MISC_X_HITS_TOTAL	總共 <NUM> 次	
$MISC_X_MORE	<X> 額外的…	
$MISC_X_PSI	<X> 能量	
$MISC_XP	經驗	
$MISC_XP_TT_TEXT	你在戰鬥中獲得的經驗。<N><RE>[$MISC_ADJUST_REWARDS]	
$MISC_XP_TT_TITLE	經驗	
$MISC_YES	是的	
$MISC_YOU_SURE	你確定嗎？	
$NEW_GAME_PLUS_NOTE	轉到保存介面，並在舊的保存位置上選擇“新遊戲+”。	
$PARTY_1_NEW_ACHIEVE	1個新的成就！	
$PARTY_ACHIEVE_PLURAL	成就	
$PARTY_ACHIEVE_SINGULAR	成就	
