"flag","nick_name","flavor_name","flavor_text",
"$EN_RIGHT_HAND_PLUS","EZTLIS HAND+","Eztlis Hand+","$EN_RIGHT_HAND_FLAV_TEXT",
"$EN_FINGER_PLUS","EZTLI'S FINGER+","",
"$EN_ZELEMIR-CITADEL_PLUS","ZELEMIR+","Zelemir+","$EN_ZELEMIR-CITADEL_FLAV_TEXT",
"$EN_ZELEMIR_PLUS","ZELEMIR+","Zelemir+","$EN_ZELEMIR_FLAV_TEXT",
"$EN_EZTLI_PLUS","EZTLI-TENOCH+","Eztli-Tenoch+","$EN_EZTLI_FLAV_TEXT",
"$EN_NORMAL_LOWXP_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_CULTIST_LOWXP_PLUS","KULTIST+","Kultist+","$EN_CULTIST_FLAV_TEXT",
"$EN_ARMORED CULTIST_LOWXP_PLUS","KULTISTEN-PRIESTER+","Cultist Priest+","$EN_ARMORED CULTIST_FLAV_TEXT",
"$EN_NORMAL_EXP_LOWXP_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_NORMAL_W_LOWXP_PLUS","NORMAL+","Wasser-Unhold+","$EN_NORMAL_W_FLAV_TEXT",
"$EN_ARMORED_LOWXP_PLUS","GEPANZERT+","Gefallener Ritter+","$EN_ARMORED_FLAV_TEXT",
"$EN_SPEEDY_LOWXP_PLUS","SCHNELL+","Wurm+","$EN_SPEEDY_FLAV_TEXT",
"$EN_SPEEDY_W_LOWXP_PLUS","SCHNELL+","Schlange+","$EN_SPEEDY_W_FLAV_TEXT",
"$EN_ARMORED SPEEDY_LOWXP_PLUS","SCHNELL+","Wurm+","$EN_ARMORED SPEEDY_FLAV_TEXT",
"$EN_ARMORED_SPEEDY_W_LOWXP_PLUS","SCHNELL+","Schalenschlange+","$EN_ARMORED_SPEEDY_W_FLAV_TEXT",
"$EN_ATTACKER_LOWXP_PLUS","KÄMPFER+","Wütender Ghul+","$EN_ATTACKER_FLAV_TEXT",
"$EN_DARK ATTACKER_LOWXP_PLUS","SCHATTEN-BOXER+","Dunkler Ghul+","$EN_DARK ATTACKER_FLAV_TEXT",
"$EN_ATTACKER_W_LOWXP_PLUS","KÄMPFER+","Flussghul+","$EN_ATTACKER_W_FLAV_TEXT",
"$EN_ARMORED ATTACKER_LOWXP_PLUS","KÄMPFER+","Wütender Ritter+","$EN_ARMORED ATTACKER_FLAV_TEXT",
"$EN_APC_LOWXP_PLUS","TEILER+","Monstrosität+","$EN_APC_FLAV_TEXT",
"$EN_APC_W_LOWXP_PLUS","TEILER+","Stinkende Leiche+","$EN_APC_W_FLAV_TEXT",
"$EN_ARMORED APC_LOWXP_PLUS","GEPANZERTER TEILER+","Schalen-Bestie+","$EN_ARMORED APC_FLAV_TEXT",
"$EN_DOUBLE APC_LOWXP_PLUS","DOPPEL-TEILER+","Scheußlichkeit+","$EN_DOUBLE APC_FLAV_TEXT",
"$EN_ARMORED RANGED ATTACKER_LOWXP_PLUS","FERNKÄMPFER+","Schlangenghul+","$EN_ARMORED RANGED ATTACKER_FLAV_TEXT",
"$EN_RANGED ATTACKER_LOWXP_PLUS","FERNKÄMPFER+","Schlangenghul+","$EN_RANGED ATTACKER_FLAV_TEXT",
"$EN_RANGED ATTACKER_W_LOWXP_PLUS","FERNKÄMPFER+","Fluss-Schlangenghul","$EN_RANGED ATTACKER_W_FLAV_TEXT",
"$EN_DARK_LOWXP_PLUS","DUNKEL+","Shattenwurm+","$EN_DARK_FLAV_TEXT",
"$EN_BRUTE_LOWXP_PLUS","ZÄH+","Todeswurm+","$EN_BRUTE_FLAV_TEXT",
"$EN_CULTIST_NOATTACK_LOWXP_PLUS","KULTIST+","Cultist+","$EN_CULTIST_FLAV_TEXT",
"$EN_APC_NOATTACK_LOWXP_PLUS","TEILER+","Monstrosität+","$EN_APC_FLAV_TEXT",
"$EN_SHEEP_LOWXP_PLUS","SCHAF+","Schaf+","$EN_SHEEP_FLAV_TEXT",
"$EN_PSI SHEEP_LOWXP_PLUS","SCHAF+","Schaf+","$EN_SHEEP_FLAV_TEXT",
"$EN_SPEEDY SHEEP_LOWXP_PLUS","SCHNELLES SCHAF+","Schnelles Schaf+","$EN_SPEEDY SHEEP_FLAV_TEXT",
"$EN_NORMAL_SQ7_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_SPEEDY_SQ7_PLUS","SCHNELL+","Wurm++","$EN_SPEEDY_FLAV_TEXT",
"$EN_ARMORED_SQ7_PLUS","GEPANZERT+","Gefallener Ritter++","$EN_ARMORED_FLAV_TEXT",
"$EN_ATTACKER_W_SQ7_PLUS","KÄMPFER+","Flussghul++","$EN_ATTACKER_W_FLAV_TEXT",
"$EN_APC_SQ7_PLUS","TEILER+","Monstrosität++","$EN_APC_FLAV_TEXT",
"$EN_ARMORED ATTACKER_SQ7_PLUS","KÄMPFER+","Wütender Ghul++","$EN_ARMORED ATTACKER_FLAV_TEXT",
"$EN_DARK_SQ7_PLUS","DUNKEL+","Shattenwurm++","$EN_DARK_FLAV_TEXT",
"$EN_ARMORED SPEEDY_SQ7_PLUS","SCHNELL+","Schalenwurm++","$EN_ARMORED SPEEDY_FLAV_TEXT",
"$EN_RANGED ATTACKER_W_SQ7_PLUS","FERNKÄMPFER+","Schlangenghul++","$EN_RANGED ATTACKER_W_FLAV_TEXT",
"$EN_BRUTE_SQ7_PLUS","ZÄH+","Todeswurm++","$EN_BRUTE_FLAV_TEXT",
"$EN_CULTIST_SQ7_PLUS","KULTISTEN-PRIESTER+","Kultist++","$EN_CULTIST_FLAV_TEXT",
"$EN_SHEEP_SQ7_PLUS","SCHAF+","Schaf++","$EN_SHEEP_FLAV_TEXT",
