flag	content	comment
$ACTIONS_BATTLE_BACK	<RE>$BATTLE_BACK
$FB_THANKS_OK	Хорошо
$FB_THANKS_SUCKS	Facebook – отстой!
$FB_THANKS_TEXT	Спасибо за лайк на Facebook!<N>Вы уже получили свой приз!
$FB_THIS_ITEM_WILL_NOW	Этот предмет теперь будет появляться в инвентаре каждого героя.
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	Уничтожает <AMT_2DIG><EXTRA> очков брони за каждое очко УРОНА в атаке.
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	Уничтожает 1 очко брони за каждые <INV_AMOUNT><EXTRA> очков УРОНА в атаке.
$FLAV_DESC_ARMOR_BREAK_DIRECT	Атака уничтожает <AMTDMG><EXTRA> очков брони.
$FLAV_DESC_ARMOR_BREAK_SHORT	Атака уничтожает несколько очков брони.
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	Игнорирует <AMT_1DIG><EXTRA> очков брони за каждое очко УРОНА в атаке.
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	Игнорирует 1 очко брони за каждые <INV_AMOUNT><EXTRA> очков УРОНА в атаке.
$FLAV_DESC_ARMOR_PIERCE_DIRECT	Атака игнорирует <AMTDMG><EXTRA> очков брони.
$FLAV_DESC_ARMOR_PIERCE_SHORT	Атака игнорирует несколько очков брони.
$FLAV_DESC_AUTO_KILL	Враги со здоровьем ниже <PERCENT>%<EXTRA> автоматически умирают.
$FLAV_DESC_AUTO_KILL_SHORT	Достаточно слабые враги автоматически умирают.
$FLAV_DESC_BLEED	Враг получает на <PERCENT>%<EXTRA> больше урона от последующих ударов в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_BLEED_SHORT	Враг временно получает больше урона от последующих ударов.
$FLAV_DESC_BLINDED	Враг промахивается в <PERCENT>% <EXTRA> случаев в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_BLINDED_SHORT	Атака противника теряет точность в течение нескольких секунд.
$FLAV_DESC_BURN	Враг получает <AMTDMG><EXTRA> урона/сек в течение <TIME><EXTRA_TIME> сек. Отменяется льдом.
$FLAV_DESC_BURN_SHORT	Враг некоторое время получает урон. Отменяется льдом.
$FLAV_DESC_CHILL	Враг замедляется на <PERCENT>%<EXTRA> в течение <TIME><EXTRA_TIME> сек. Отменяется огнем.
$FLAV_DESC_CHILL_SHORT	Враг замедляется в течение нескольких секунд. Отменяется огнем.
$FLAV_DESC_CONFUSED	Враг идет в обратном направлении в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_CONFUSED_SHORT	Враг идет в обратном направлении некоторое время.
$FLAV_DESC_CRITICAL	Урон = <AMT_1DIG>x<EXTRA> нормального.
$FLAV_DESC_CRITICAL_SHORT	Урон больше, чем нормальный.
$FLAV_DESC_DISEASE	Регенерация врага снижена на <PERCENT>%<EXTRA>.
$FLAV_DESC_DISEASE_SHORT	Регенерация врага снижена.
$FLAV_DESC_FREEZE	Враг не может двигаться  в течение <TIME><EXTRA_TIME> сек. Отменяется огнем.
$FLAV_DESC_FREEZE_SHORT	Враг временно обездвижен. Отменяется огнем.
$FLAV_DESC_INSPIRE	Друзья наносят <M_MULT_PERCENT>%<EXTRA> дополнительного урона в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_INSPIRE_SHORT	Союзники временно наносят больше урона.
$FLAV_DESC_KNOCK_BACK	Враг оттесняется назад на <AMT_1DIG><EXTRA> клетки.
$FLAV_DESC_KNOCK_BACK_SHORT	Враг оттесняется назад на несколько клеток.
$FLAV_DESC_LIGHT	ТЕМНЫЕ враги получают +<AMT_2DIG>x<EXTRA> УРОНА и по ним легче попасть в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_LIGHT_SHORT	Темные противники получают дополнительный урон и по ним легче попасть.
$FLAV_DESC_POISON	Враг получает <PERCENT>%<EXTRA> урона каждую секунду в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_POISON_DIRECT	Враг получает <AMTDMG><EXTRA> урона каждую секунду в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_POISON_SHORT	Враг получает урон некоторое время.
$FLAV_DESC_SINGLE_STUN	Враг не может двигаться в течение <TIME><EXTRA_TIME> сек. Можно нанести только один раз.
$FLAV_DESC_SINGLE_STUN_SHORT	Враг не может двигаться несколько секунд. Можно нанести только один раз.
$FLAV_DESC_SLOW	Враг замедляется на <PERCENT>%<EXTRA> в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_SLOW_SHORT	Враг временно замедляется.
$FLAV_DESC_STRIKE_THROUGH	Атака может поразить до <INTI><EXTRA> врагов.
$FLAV_DESC_STRIKE_THROUGH_SHORT	Атака может поразить несколько врагов.
$FLAV_DESC_STUN	Враг не может двигаться  в течение <TIME><EXTRA_TIME> сек.
$FLAV_DESC_STUN_SHORT	Враг временно обездвижен.
$GAMEPAD_A	Кнопка A
$GAMEPAD_B	Кнопка B
$GAMEPAD_BACK	Кнопка Back
$GAMEPAD_BUTTON_SPACER	
$GAMEPAD_DPAD	Навигационная крестовина
$GAMEPAD_DPAD_DOWN	Крестовина вниз
$GAMEPAD_DPAD_LEFT	Крестовина влево
$GAMEPAD_DPAD_RIGHT	Крестовина вправо
$GAMEPAD_DPAD_UP	Крестовина вверх
$GAMEPAD_EMPTY	Пусто
$GAMEPAD_LEFT_ANALOG_STICK	Левый аналоговый стик
$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS	Левый аналоговый стик, ВЛЕВО
$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS	Левый аналоговый стик, ВПРАВО
$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS	Левый аналоговый стик, ВВЕРХ
$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS	Левый аналоговый стик, ВНИЗ
$GAMEPAD_LEFT_SHOULDER	Левый курок
$GAMEPAD_LEFT_STICK_CLICK	Левый аналоговый стик, НАЖАТЬ
$GAMEPAD_LEFT_TRIGGER	Левый аналоговый триггер
$GAMEPAD_NOTE	Select для перенастройки
$GAMEPAD_RIGHT_ANALOG_STICK	Правый аналоговый стик
$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS	Правый аналоговый стик, ВЛЕВО
$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS	Правый аналоговый стик, ВПРАВО
$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS	Правый аналоговый стик, ВВЕРХ
$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS	Правый аналоговый стик, ВНИЗ
$GAMEPAD_RIGHT_SHOULDER	Правый курок
$GAMEPAD_RIGHT_STICK_CLICK	Правый аналоговый стик, НАЖАТЬ
$GAMEPAD_RIGHT_TRIGGER	Правый аналоговый триггер
$GAMEPAD_START	Кнопка Start
$GAMEPAD_TEMP_SPACER	,,,,,,
$GAMEPAD_X	Кнопка X
$GAMEPAD_Y	Кнопка Y
$GETSCRAP1	Куча хлама, тряпок, сломанного инструмента и острые ржавые куски металла. Кому это все нужно?
$GETSCRAP2	Видимо, жители преисподней используют это барахло в качестве валюты.
$HERO_BLURB_BAKAL	Тихий старый монах, ищущий прощения за свои грехи...
$HERO_BLURB_KETTA	Кочевница-охотница, циничная и уставшая от жизни...
$HERO_BLURB_MARKOS	Гордый молодой рыцарь, стремящийся самореализоваться...
$HERO_BLURB_NIRU	Агрессивный и таинственный, этот дракон не делится своими секретами...
$HERO_BLURB_SLAK	Странный юный парень, храбрый и неуравновешенный одновременно...
$HERO_BLURB_WRENNA	Последняя принцесса Куэйда, наполненная жаждой мести за свое павшее королевство...
$LOGITECH_A	Кнопка 2 (перед)
$LOGITECH_B	Кнопка 3 (перед)
$LOGITECH_BACK	Кнопка 9 (зад)
$LOGITECH_DPAD	<RE>$GAMEPAD_DPAD
$LOGITECH_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$LOGITECH_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$LOGITECH_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$LOGITECH_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$LOGITECH_EMPTY	<RE>$GAMEPAD_EMPTY
$LOGITECH_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$LOGITECH_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$LOGITECH_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$LOGITECH_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$LOGITECH_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$LOGITECH_LEFT_SHOULDER	Кнопка 5 (левый курок)
$LOGITECH_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$LOGITECH_LEFT_TRIGGER	Триггер 7 (левый аналоговый)
$LOGITECH_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$LOGITECH_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$LOGITECH_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$LOGITECH_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$LOGITECH_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$LOGITECH_RIGHT_SHOULDER	Кнопка 6 (правое курок)
$LOGITECH_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$LOGITECH_RIGHT_TRIGGER	Триггер 8 (правый аналоговый)
$LOGITECH_START	Кнопка 10 (start)
$LOGITECH_X	Кнопка 1 (перед)
$LOGITECH_Y	Кнопка 4 (перед)
$LQ	“
$MAP_TEXT_HERMIT	Отшельник
$MAP_TEXT_LAIR	Логово
$MAP_TEXT_PRISON	Тюрьма
$MAP_TEXT_SHRINE	Храм
$MAP_TEXT_TREASURE	Пещера
$MAP_TEXT_UNKNOWN	???
$MCGUFFIN_LEARN_SPELL	<MCG> выучила новое заклинание!
$MISC_1_FOE	1 враг
$MISC_1_FRIEND	1 друг
$MISC_ABSORB_X	поглощение <X>
$MISC_ABSORB_X_RESIST_Y	поглощение <X>, сопротивление <Y>%
$MISC_ACCEPT	Принять
$MISC_ACCEPT_AND_CLOSE	Принять и закрыть
$MISC_ACHIEVEMENT!	Достижение!
$MISC_ADJUST_REWARDS	100% - это значение по умолчанию, отрегулируйте вверх или вниз, чтобы изменить размер своей награды.
$MISC_ADVANCED	сложно
$MISC_ADVANCED_NUMS	font:11,x_off:0,y_off:0
$MISC_ADVANCED_SHORT	сложно
$MISC_ALL_FOES	Все враги в радиусе
$MISC_ALL_FOES_IN	Все враги в <TILES> клетках
$MISC_ALL_FRIENDS	Все друзья в радиусе
$MISC_ALL_FRIENDS_IN	Все друзья в <TILES> клетках
$MISC_ALL_TARGETS	Цели в радиусе
$MISC_ALL_TARGETS_IN	Цели в <TILES> клетках
$MISC_AMOUNT	количество
$MISC_AMOUNT_SHORT	кол-во
$MISC_ANONYMOUS	аноним
$MISC_ARE_YOU_SURE	Вы уверены?
$MISC_ARMOR	броня
$MISC_ARMOR_PLURAL	<RE>$MISC_ARMOR
$MISC_ARMOR_SINGULAR	<RE>$MISC_ARMOR
$MISC_ARMOR_SHORT	БРОНЯ
$MISC_ASSIGN_POINTS	Распределить<N>очки
$MISC_ATTACK	атака
$MISC_ATTACK_SHORT	атака
$MISC_BACK	Назад
$MISC_BASE_ATTACK	базовая атака
$MISC_BATTLE	Битва
$MISC_BEGIN	Начать
$MISC_BONUS	Бонус
$MISC_BONUS_DEFENSE	базовая защита
$MISC_BOOST	повышение
$MISC_BOOST_X	повышение <X>
$MISC_BREAK_HERO_MODE_TEXT	Вы выбрали, игру в <LQ>Режиме Героя<RQ>, в котором запрещено нанимать персонажей.<N>Покинуть этот режим и нанять персонажа?
$MISC_BREAK_HERO_MODE_TITLE	Покинуть <LQ>Режим Героя<RQ>?
$MISC_BUY	купить
$MISC_CANCEL	Отмена
$MISC_CANT_AFFORD	Мало бабосов
$MISC_CANT_EQUIP!	Нельзя надеть
$MISC_CASUAL	легко
$MISC_CASUAL_NUMS	font:11,x_off:0,y_off:0
$MISC_CASUAL_SHORT	легко
$MISC_CHANCE	шанс
$MISC_CHANGE	Сменить
$MISC_CLICK_HERE	нажмите здесь
$MISC_CLOSE	Закрыть
$MISC_COMPLETE	пройдено
$MISC_COMPLETE!	пройдено!
$MISC_CONFIG_DIR	Системная папка
$MISC_CONFIRM	подтвердить
$MISC_CONFIRM_CHANGE	Подтвердить изменение
$MISC_CONFIRM_RECRUIT	Подтвердить наемника
$MISC_CONTINUE	Продолжить
$MISC_COST	цена
$MISC_COST:	цена:
$MISC_COUNTER	контрудар
$MISC_CREDITS	Создатели
$MISC_CURRENT_SAVE	Текущий файл сохранения:
$MISC_CUSTOM_SETTINGS	Настроить...
$MISC_DAMAGE	урон
$MISC_DAMAGE_RESIST	сопротивление УРОНУ
$MISC_DAMAGE_SHORT	УРОН
$MISC_DARK	темнота
$MISC_DARK_DESC	(уклоняется от 75% атак)
$MISC_DEATH_SPLASH	смертельные брызги
$MISC_DEF_SHORT	ЗАЩ
$MISC_DEFAULT	По умолчанию
$MISC_DEFAULT_SETTINGS	По умолчанию (рекомендуется для новичков)
$MISC_DEFEAT	Поражение
$MISC_DEFEND	защита
$MISC_DEFENDER	защитник
$MISC_DEFENDERS	защитники
$MISC_DEFENSE	защита
$MISC_DEFENSE_ABS	защита
$MISC_DEFENSE_SHORT	ЗАЩИТА
$MISC_DELETE_ACHIEVEMENT	Удалить достижение?
$MISC_DELETE_BOTH_GOG_ACHIEVEMENT	Удалить локальные и GOG достижения
$MISC_DELETE_BOTH_STEAM_ACHIEVEMENT	Удалить локальные и Steam достижения
$MISC_DELETE_LOCAL_ACHIEVEMENT	Удалить только локальные достижения
$MISC_DEMO_VERSION	Демо-версия
$MISC_DEMO_VERSION_DESC	Это публичная демо-версия игры Defender's Quest: Valley of the Forgotten, Deluxe Edition.<N><N>Она содержит около 20% всей игры и позволяет экспортировать файлы с сохранениями, так что вы не потеряете свой прогресс, если решите купить полную версию.
$MISC_DESCRIPTION	описание
$MISC_DEVICE_DISCONNECTED_TEXT	<NAME> в слоте <SLOT> был отключен!
$MISC_DEVICE_DISCONNECTED_TITLE	Устройство отключено!
$MISC_DISABLED	выкл.
$MISC_DOWNLOAD	скачать
$MISC_DQ_NEWS	Узнать НОВОСТИ!
$MISC_DQ_SITE	DefendersQuest.com
$MISC_EASIER	легко
$MISC_EASY	нормально
$MISC_EASY_NUMS	font:11,x_off:0,y_off:0
$MISC_EASY_SHORT	нормально
$MISC_EDIT	Редактировать
$MISC_EMPTY	Пусто
$MISC_ENABLED	вкл.
$MISC_ENEMY_LEVELS	Уровень врагов
$MISC_ENTER	войти
$MISC_ENTER_TEXT	Ввод текста:
$MISC_EQUIP	надеть
$SHOP_EQUIP	Экипировка	В городах
$EQUIP_THE_THING	Надеть	В группе
$GO_TO_EQUIP_MENU	Экипировка	В навыках
$MISC_ERROR	ошибка
$MISC_ERROR!	ошибка!
$MISC_ERROR_INVALID_MOD_NAME	Неправильное имя мода!
$MISC_ERROR_MOD_BAD	Этот мод несовместим с данной версией игры. Очень жаль!
$MISC_ERROR_MOD_EXISTS	Мод с таким названием уже существует!
$MISC_ERROR_UNKNOWN	Неизвестная ошибка. Очень жаль!
$MISC_ERROR_UNZIP	Невозможно распаковать мод. Измените путь к моду в настройках или проверьте место на жестком диске.
$MISC_EVADE	уклонение
$MISC_EVADE_SHORT	УКЛОН
$MISC_EVASION	уклонение
$MISC_EXIT	выход
$MISC_EXPERIENCE	Опыт
$MISC_EXTREME	экстрим
$MISC_EXTREME_NUMS	font:11,x_off:0,y_off:0
$MISC_EXTREME_SHORT	экстрим
$MISC_FAIL_TT_TEXT	Количество опыта и бабосов, которое удерживается при поражении в бою.<N>-50% - это значение по умолчанию, отрегулируйте вверх или вниз, чтобы изменить наказание.
$MISC_FAIL_TT_TITLE	<RE>$UI_ACCESS_FAILURE_PENALTY
$MISC_FAST	быстро
$MISC_FOE_PLURAL	врагов
$MISC_FOE_SINGULAR	враг
$MISC_FRIEND_PLURAL	друзья
$MISC_FRIEND_SINGULAR	друг
$MISC_GAIN	прибыль
$MISC_GAME_DATA	Игровые данные
$MISC_GOLD	Бабосы
$MISC_GOLD:	бабосы:
$MISC_GOLD_TT_TEXT	Количество бабосов (денег), которое вы получите после битвы.<N><RE>[$MISC_ADJUST_REWARDS]
$MISC_GOLD_TT_TITLE	Бабосы
$MISC_HARD	<RE>$MISC_EXTREME
$MISC_HARD_SHORT	<RE>$MISC_EXTREME_SHORT
$MISC_HARDER	сложно
$MISC_HEAL	исцеляет
$MISC_HERO_MODE	Режим Героя
$MISC_HERO_MODE_TEXT	Нанимать персонажей запрещено.<N>Категорически НЕ рекомендуется для первого прохождения!<N><N>Примечание:<N>Вы можете изменить свое решение позже, при попытке нанять персонажа вы увидите предупреждение.<N><N>Мы настоятельно рекомендуем увеличить количество получаемого опыта и бабосов до 300% при использовании <LQ>Режима Героя<RQ>.<N><N>И, наконец, этот параметр не влияет на получение достижения <LQ>Режим Героя<RQ>, - достаточно лишь отсутствия персонажей.
$MISC_HERO_MODE_TITLE	<RE>$MISC_HERO_MODE
$MISC_HIRE	НАНЯТЬ
$MISC_HIRE_Q	Нанять <NAME>  <CLASS> за<N><SCRAP> бабосов?
$MISC_HP	здоровье
$MISC_HP_SHORT	ЗД
$MISC_IMMUNE_TO	Иммунитет к <SOMETHING>
$MISC_INFO	информация
$MISC_INPUT_0	Ввод:
$MISC_INPUT_1	Ввод 1:
$MISC_INPUT_2	Ввод 2:
$MISC_INPUT_3	Ввод 3:
$MISC_INSPECT	проверка
$MISC_JOURNAL	Дневник
$MISC_LANGUAGES	Язык
$MISC_LEADER	Предводитель
$MISC_LEAVE	Выйти
$MISC_LEVEL	Уровень
$MISC_LEVEL_SHORT	Уровень
$MISC_LEVEL_SHORT_X	уровень <X>
$MISC_LEVEL_PARTY_GEM	Уровень	В группе
$MISC_LEVEL_WAVE_BLOCK	УРВ	В бою слева в списке волн
$MISC_LEVEL_SUPER_SHORT	Ур
$MISC_LEVEL_PARTY_GEM	Уровень	Appears on character blocks in the party screen
$MISC_LEVEL_WAVE_BLOCK	Уровень	Appears on enemy wave blocks in battle
$MISC_LEVEL_UP!	Уровень + 1!
$MISC_LEVEL_UPX	Уровней +
$MISC_LEVEL_X	Уровень <X>
$MISC_LOADING	Загрузка...
$MISC_LOADING_PERCENT	Загрузка...<PERCENT>%
$MISC_LOCKED	Закрыто
$MISC_LVLUP	Новый уровень
$MISC_MAKE_CHANGE	Принять изменения?
$MISC_MAX	МАКС
$MISC_MEDIUM	<RE>$MISC_ADVANCED
$MISC_MEDIUM_SHORT	<RE>$MISC_ADVANCED_SHORT
$MISC_MENU	меню
$MISC_MISS	мимо
$MISC_MODS	Моды
$MISC_MORE	еще...
$MISC_MOVIES	Ролики
$MISC_NEED_PSI	НЕТ<N>ПСИ
$MISC_NEW_GAME_SETTINGS	Настройки новой игры
$MISC_NEXT	Далее
$MISC_NO	Нет
$MISC_NO_AFFORD	Не хватает
$MISC_NO_CHANGE	без изменений
$MISC_NO_HARDWARE	Ваша система не поддерживает аппаратное ускорение. Игра будет работать, но вам, возможно, придется понизить некоторые настройки графики, чтобы игра не тормозила.
$MISC_NOBODY	Никто
$MISC_NOM!	НЯМ!
$MISC_NONE	Нет
$MISC_NONE_DEFAULT	Нет *
$MISC_NORMAL	нормально
$MISC_NORMAL_SHORT	нормально
$MISC_NOTHING	ничего
$MISC_NOTHING!	ничего!
$MISC_NOTHING_TO_EQUIP	Нечего надеть!
$MISC_OF_DAMAGE	УРОНА
$MISC_OK	ОК
$MISC_OKAY	ОК
$MISC_OPTIONS	Настройки
$MISC_OTHER	Другое
