flag	nick_name	flavor_name	flavor_text
$EN_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_W_FLAVOR_NAME	<RE>$EN_SPEEDY_W_FLAVOR_TEXT	
$EN_ARMORED SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT	
$EN_ARMORED_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_TEXT	
$EN_ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_FLAVOR_NAME	<RE>$EN_ATTACKER_FLAVOR_TEXT	
$EN_DARK ATTACKER_LOWXP	<RE>$EN_DARK ATTACKER_NICK_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_TEXT	
$EN_ATTACKER_W_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_W_FLAVOR_NAME	<RE>$EN_ATTACKER_W_FLAVOR_TEXT	
$EN_ARMORED ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT	
$EN_RAPID_ATTACKER_LOWXP	<RE>$EN_RAPID_ATTACKER_NICK_NAME		
$EN_APC_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT			
$EN_APC_W_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_W_FLAVOR_NAME	<RE>$EN_APC_W_FLAVOR_TEXT	
$EN_ARMORED APC_LOWXP	<RE>$EN_ARMORED APC_NICK_NAME	<RE>$EN_ARMORED APC_FLAVOR_NAME	<RE>$EN_ARMORED APC_FLAVOR_TEXT	
$EN_DOUBLE APC_LOWXP	<RE>$EN_DOUBLE APC_NICK_NAME	<RE>$EN_DOUBLE APC_FLAVOR_NAME	<RE>$EN_DOUBLE APC_FLAVOR_TEXT	
$EN_ARMORED RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_TEXT	
$EN_RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT	
$EN_RANGED ATTACKER_W_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT	
$EN_DARK_LOWXP	<RE>$EN_DARK_NICK_NAME	<RE>$EN_DARK_FLAVOR_NAME	<RE>$EN_DARK_FLAVOR_TEXT	
$EN_BRUTE_LOWXP	<RE>$EN_BRUTE_NICK_NAME	<RE>$EN_BRUTE_FLAVOR_NAME	<RE>$EN_BRUTE_FLAVOR_TEXT	
$EN_APC_NOATTACK_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT			
$EN_CULTIST_NOATTACK_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT	
$EN_ERROR	ERREUR	Erreur	Je suis une erreur|Si vous lisez ceci, cela signifie que quelqu'un a fait une faute de frappe dans les données des ennemis. Nous affichons cet ennemi lorsque celui qui était prévu ne peut pas être trouvé.
$EN_SHEEP	MOUTON	Mouton	Délicieux Mammifère|Les Dragons peuvent rester des années sans manger, mais lorsqu'ils se nourrissent, ils peuvent engloutir plusieurs fois leur propre poids en une seule journée. Ce fait représente une source d'inconfort majeure pour les bergers nomades et pour leurs troupeaux.
$EN_PSI SHEEP	<RE>$EN_SHEEP_NICK_NAME	<RE>$EN_SHEEP_FLAVOR_NAME	<RE>$EN_SHEEP_FLAVOR_TEXT	
$EN_SPEEDY SHEEP	MOUTON RAPIDE	Mouton Rapide	Délicieux Mammifère Rapide|Certains moutons ont su s'adapter aux conditions hostiles de la Fosse en développant des muscles hautement spécialisés à contraction rapide. Ils ne leur sont pas très utiles pour échapper aux Dragons, mais ils leur permettent au moins de distancer les autres moutons.
$EN_SUPER SHEEP	SUPER MOUTON	Super Mouton	Délicieux Mammifère Mythique|Les légendes des Dragons parlent à mi-mots et sur un ton très révérencieux de ce mouton très rare, l'Axxima Vatta Muttanaxxor, et les écrits sacrés des Dragons détaillent un rituel élaboré qui devra être exécuté lors de son arrivée. Les penseurs traditionnels ont tendance à ranger les écrits des Dragons aux côtés des textes religieux, mais de récentes recherches tendraient à suggérer qu'il faudrait les reclasser en compagnie des livres de cuisine...
$EN_OZIMAL	OZIMAL	Ozimal Kaz	Revenant Esclave|Les sorciers tels que Zelemir sont réputés pour être capables de transformer directement des créatures vivantes en bonne santé, en esclaves non-morts.<N>Le sort nécessite une longue préparation, car le sorcier doit introduire un poison particulier dans la nourriture du sujet pendant plusieurs jours.<N>Cette pratique est une sorte « d'assurance », au cas où les acolytes du sorcier chercheraient à se retourner contre lui.
$EN_TWIN	JUMEAU	Jumeau	Frère Revenant|BLARGH YAAAARGH GAR GAR HUR.
$EN_3_11_BOSS	BOSS
$EN_RIGHT_INDEX_FINGER	INDEX	Index	Doigt Monstrueux|Bien que tranché de sa main, ce doigt se déplace par sa propre volonté.
$EN_RIGHT_THUMB	POUCE	Pouce	Pouce Monstrueux|Bien que tranché de sa main, ce pouce se déplace par sa propre volonté.
$EN_RIGHT_MIDDLE_FINGER	MAJEUR	Majeur	Doigt Monstrueux|Ce doigt tranché semble faire un geste obscène. Quelle grossièreté !
$EN_RIGHT_RING_FINGER	ANNULAIRE	Annulaire	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT	
$EN_RIGHT_PINKY_FINGER	AURICULAIRE	Auriculaire	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT	
$EN_RIGHT_EYE	L'OEIL D'EZTLI	L'Oeil d'Eztli	Oeil Monstrueux|Cet œil malveillant brille d'un pouvoir maléfique et se déplace avec une rapidité surnaturelle.
$EN_RIGHT_HAND	LA MAIN D'EZTLI	La Main d'Eztli	Main Monstrueuse|Le chef des Sanguinaires a appelé ce monstre <LQ>La Main Droite d'Eztli-Tenoch<RQ>. Compte tenu du peu de choses connues à propos d'Eztli-Tenoch, il n'est pas évident d'affirmer qu'il s'agit vraiment de la main du terrible magicien, ou si ce n'est qu'une création de sa magie noire. Et après examen, il semblerait plutôt qu'il s'agisse d'une main GAUCHE... C'est vraiment sinistre.	
$EN_FINGER	LE DOIGT D'EZTLI
$EN_ZELEMIR-CITADEL	<RE>$EN_ZELEMIR_NICK_NAME	<RE>$EN_ZELEMIR_FLAVOR_NAME	<RE>$EN_ZELEMIR_FLAVOR_TEXT	
$EN_ZELEMIR	ZELEMIR	Zelemir	Sorcier Nécromancien|Une détermination résolue brille dans le regard de Zelemir.
$EN_HEALIE	SOIN-SOIN	Soin-Soin	Boss Secret|Description
$EN_MEANIE	VILAIN	Vilain	Boss Secret|Description
$EN_STEALY	AIGREFIN	Aigrefin	Boss Secret|Description
$EN_CRAZY	ZINZIN	Zinzin	Boss Secret|Description
$EN_EZTLI	EZTLI-TENOCH	Eztli-Tenoch	Antique Magicien Légendaire|Une force antique, depuis longtemps en sommeil, et à présent éveillée. Eztli-Tenoch régnait autrefois sur le monde en tant que Roi-Dieu autoproclamé. Son pouvoir et sa malveillance n'ont d'égal que sa patience à toute épreuve.	
$END	
$EN_CULTIST_ACCOUNT			Ces récits ont été rapportés par les survivants du massacre de la tribu Geka. Il y est souvent fait mention de Sanguinaires se transformant en Revenants à volonté.
$EN_CULTIST_BASIC			<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>On connaît peu de choses à propos de leur culte et de leurs croyances, en dehors du nom de leur divinité, <LQ>Eztli-Tenoch<RQ>, et de leur perpétuelle quête de nouvelles victimes.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_CULTIST_SECT			Le <LQ>Culte des Sanguinaires<RQ> n’était au départ qu’une secte de nomades connue pour ses cérémonies sanglantes.
$EN_RANGED ATTACKER_BASIC			Au fil des semaines, un étrange processus semble digérer et transformer le corps des Revenants.<N><N>Des témoins affirment avoir été attaqués par des <LQ>hommes-serpent<RQ> dépourvus d'yeux et crachant une bile nauséabonde.
