flag	content	comment
$TITLE_START_DEMO	Lancer la DÉMO
$PARTY_REDESIGN	Relooker
$PARTY_CONFIRM_CHANGES	Confirmer les modifications
$PARTY_FAILED	Niveau échoué !
$PARTY_FAILED_DESC	<MCG> a été tuée.	COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.
$PARTY_NO_NEW_ACHIEVE	Pas de nouveau succès.
$PARTY_WELL_DONE	BIEN JOUÉ !
$PARTY_ACHIEVE_SINGULAR	succès
$PARTY_ACHIEVE_PLURAL	succès
$PARTY_1_NEW_ACHIEVE	1 nouveau succès !
$PARTY_X_NEW_ACHIEVE	<NUM> nouveaux succès !
$PARTY_PERFECT_WORD	Parfait
$PARTY_PASSED_WORD	Réussi
$PARTY_FAIL_PENALTY	Pénalité d'échec
$PARTY_TOTAL	Total
$PARTY_PERFECT	PARFAIT !
$PARTY_PERFECT+	PARFAIT !+
$PARTY_PERFECT++	PARFAIT !++
$PARTY_PERFECT_DESC	<MCG> s'en est sortie indemne !
$PARTY_PERFECT++_DESC	<MCG> et <ALLY><N>sont indemnes !	COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.
$PARTY_PERFECT+_DESC	<MCG> est indemne ! <N><ALLY> a été blessé !
$PARTY_PERFECT_ALLY_DEAD_DESC	<MCG> est indemne, mais <ALLY> a péri...
$PARTY_PASSED	Niveau réussi !
$PARTY_PASSED+	Niveau réussi !+
$PARTY_PASSED++	Niveau réussi !++
$PARTY_PASSED_DESC	<MCG> a survécu à la bataille,<N>mais elle a été blessée.
$PARTY_PASSED_ALLY_DEAD_DESC	<ALLY> a été tué,<N>mais <MCG> a survécu.
$PARTY_PASSED+_DESC	<MCG> a été blessée !<N><ALLY> a survécu !
$PARTY_PASSED++_DESC	<MCG> a été blessée !<N><ALLY> s'en est sorti indemne !
$PARTY_DEFEATED_WAVE_X	A vaincu la vague <X>
$PARTY_REACHED_WAVE_X	A atteint la vague <X>
$PARTY_NO_POINTS	Aucun point de compétence à réaffecter !
$PARTY_NO_AFFORD	Vous ne pouvez pas vous payer ceci !<N>Coût : <COST><N>Camelote : <SCRAP>
$PARTY_RE_ASSIGN	Réaffecter tous les points de <NAME> ?<N>Coût : <COST><N>Camelote : <SCRAP>
$PARTY_CHANGE_NAME	Renommer
$PARTY_CONFIRM_POINTS_1_1	Affecter définitivement 1 point de compétence à 1 personnage ?	COMMENT: There are 4 variants here to handle the various pluralizations
$PARTY_CONFIRM_POINTS_1_X	Affecter définitivement 1 point de compétence à <CHARS> personnages ?
$PARTY_CONFIRM_POINTS_X_1	Affecter définitivement <POINTS> points de compétence à 1 personnage ?
$PARTY_CONFIRM_POINTS_X_X	Affecter définitivement <POINTS> points de compétence à <CHARS> personnages ?
$PARTY_POINT	point
$PARTY_POINTS	points
$PARTY_CHARACTER	personnage
$PARTY_CHARACTERS	personnages
$PARTY_CONFIRM_POINTS_TITLE	Confirmer les points
$PARTY_RENAME	Renommer
$PARTY_REDESIGN	Relooker
$UI_EQUIP_NAME	Nom
$UI_EQUIP_STAT	Stats
$UI_EQUIP_OWNER	Équipé par
$UI_EQUIP_SHOW_EQUIPPED	Montrer équipé
$UI_EQUIP_CLASS_CANT_W	Cette classe ne peut pas équiper d'arme !
$UI_EQUIP_CLASS_CANT_A	Cette classe ne peut pas équiper d'armure !
$UI_EQUIP_ALL_W_SWORD	Toutes les épées ont été équipées !
$UI_EQUIP_ALL_W_BOW	Tous les arcs ont été équipés !
$UI_EQUIP_ALL_W_STAFF	Tous les bâtons ont été équipés !
$UI_EQUIP_ALL_A_LIGHT	Toutes les armures légères ont été équipées !
$UI_EQUIP_ALL_A_HEAVY	Toutes les armures lourdes ont été équipées !
$UI_EQUIP_NO_W_SWORD	Vous ne possédez aucune épée !
$UI_EQUIP_NO_W_BOW	Vous ne possédez aucun arc !
$UI_EQUIP_NO_W_STAFF	Vous ne possédez aucun bâton !
$UI_EQUIP_NO_A_LIGHT	Vous ne possédez aucune armure légère !
$UI_EQUIP_NO_A_HEAVY	Vous ne possédez aucune armure lourde !
$UI_ACCEPT_NUMS	font:18,off_y:1,off_x:-3	COMMENT: Font size and x/y offsets for options menu button labels
$UI_BACK_NUMS	font:18,off_y:1,off_x:-3
$UI_AUDIO_NUMS	font:18,off_y:1,off_x:-2
$UI_VIDEO_NUMS	font:18,off_y:1,off_x:-2
$UI_MISC_NUMS	font:18,off_y:1,off_x:-2
$UI_ACCESS_NUMS	font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0	COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text
$UI_ACHIEVEMENTS_NUMS	font:18,off_y:0,pop_up_off_y:0
$UI_RESTART_NUMS	font:18,off_y:1,off_x:-2
$UI_QUIT_NUMS	font:18,off_y:1,off_x:-2
$UI_CONTROLS_NUMS	font:18,off_y:1,off_x:-2
$UI_OPTIONS_NUMS	font:18,off_y:1,off_x:-2
$UI_CONTROLS_TITLE	Commandes
$UI_VIDEO_TITLE	Vidéo
$UI_AUDIO_TITLE	Audio
$UI_ACCESS_TITLE	Accessibilité
$UI_MISC_TITLE	Divers
$UI_OPTIONS_TITLE	Options
$UI_OPTIONS_MENU	Menu options
$UI_OPTIONS_SPEED	Vitesse du jeu
$UI_ACHIEVEMENTS_TITLE	Succès
$UI_AWARDS_TITLE	Prix
$UI_ACHIEVEMENTS_BUTTON_NUMBERS	font : 18,offy:-2
$UI_SFX	Bruitages :
$UI_MUSIC	Musique :
$UI_ACCESS_REWARDS	RÉCOMPENSES
$UI_ACCESS_PENALTIES	PÉNALITÉS
$UI_ACCESS_DEFAULT	*Configuration par défaut
$UI_ACCESS_FAIL	ÉCHEC
$UI_ACCESS_ABSENCE	ABSENCE
$UI_ACCESS_FLASHING	Effets de flash
$UI_ACCESS_SPEED	Vitesse du jeu
$UI_BONUS_BONUS_LEVELS	Niveaux bonus
$UI_BONUS_STARS_LINE	<STAR_NUM> Étoiles <STAR_COLOR>
$UI_BONUS_GOLD_STARS_LINE	<STAR_NUM> Étoiles d'Or
$UI_BONUS_BLUE_STARS_LINE	<STAR_NUM> Étoiles Bleues
$UI_BONUS_NUMS	select_font:14,locked_font:11
$UI_MOVIE_SELECT_A_MOVIE	Sélectionnez un film
$UI_MOVIE_SCENE	scène
$UI_MOVIE_END	fin
$UI_MOVIE_QUEST	quête
$UI_TIPS_TITLE	Trucs & Astuces
$TIP_NUMS	font:13
$UI_UPDATER_CANCEL	<RE>$MISC_CANCEL
$UI_UPDATER_SECURED_WITH	Ce mécanisme de mise à jour est sécurisé via HTTPS,<N>ainsi que par une vérification d'empreinte de clé publique.
$UI_UPDATER_ASK_DOWNLOAD	Télécharger la mise à jour ?
$UI_UPDATER_SERVER_TIMEOUT	Délai d'attente du serveur dépassé !
$UI_UPDATER_NO_INFO	Infos de mise à jour introuvables sur le serveur.
$UI_UPDATER_NO_BIG_DEAL	Ce n'est pas grave, vous pourrez quand même jouer, mais le serveur de mise à jour n'est pas accessible pour l'instant.
$UI_UPDATER_DEB	Paquet DEB
$UI_UPDATER_RPM	Paquet RPM
$UI_UPDATER_TARGZ	Archive TAR.GZ
$UI_UPDATER_CHECKING	Vérification des mises à jour...
$UI_UPDATER_UPDATE_EXISTS	Mise à jour disponible !
$UI_UPDATER_CURRENT_VERSION	Version actuelle :<T>
$UI_UPDATER_NEWEST_VERSION	Version plus récente :<T>
$UI_UPDATER_NO_UPDATES	Aucune mise à jour n'est disponible
$UI_UPDATER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$UI_UPDATER_TRYING_30	Tentatives pendant 30 secondes
$UI_UPDATER_CONNECT_AGAIN	Reconnexion
$UI_UPDATER_ERROR!	ERREUR !
$UI_UPDATER_DETAILS	Détails :
$UI_UPDATER_NO_VERIFY	Impossible de vérifier le fichier de mise à jour.
$UI_UPDATER_NO_DOWNLOAD	Impossible de télécharger le fichier de mise à jour.
$UI_UPDATER_CHECKSUM_MISMATCH	Le somme de contrôle du fichier ne correspond pas à la valeur attendue.<N><N>Les causes possibles pourraient être un téléchargement incomplet (probable), un problème de sécurité (peu probable) ou le rayonnement cosmique (allez savoir !).<N><N>D'une manière ou d'une autre, la mise à jour a échoué.
$UI_UPDATER_GIVE_UP	Abandonner
$UI_UPDATER_TRY_AGAIN	Réessayer
$UI_UPDATER_CONNECTING	Connexion au serveur...
$UI_UPDATER_DOWNLOADING_FILE	Téléchargement du fichier de mise à jour...
$UI_UPDATER_DOWNLOADING_SIG	Téléchargement de la signature de la mise à jour...
$UI_UPDATER_CHECKSUM	Calcul de la somme de contrôle...
$UI_UPDATER_NAVIGATING	Navigation vers le fichier...
$UI_UPDATER_CLOSE_WINDOW	Vous devez fermer cette fenêtre avant d'installer la mise à jour.
$UI_UPDATER_FILE_IS_AT	Votre fichier de mise à jour se trouve ici :
$UI_UPDATER_IF_NO_WINDOW	Si une fenêtre de navigation ne s'ouvre pas, essayez de vous rendre à cet emplacement manuellement.
$UI_UPDATER_DOWNLOADED	Mise à jour téléchargée !
$UI_UPDATER_NAVIGATE_NOW	Naviguer vers le fichier maintenant ?
$UI_UPDATER_NOTE	Note :
$UI_UPDATER_SECURITY	Pour des raisons de sécurité, vous devez lancer l'installateur téléchargé manuellement.<N><N>Ce programme va naviguer jusqu'à l'emplacement du téléchargement de votre fichier.
$UI_UPDATER_INSTALLING	Installation de la mise à jour...
$UI_UPDATER_EXITING	Sortie de l'application...
$UI_DEFENDER_RECALL_LINE	RAPPEL :<N>+<PSI> Psi
$UI_DEFENDER_BOOST	BOOSTER : <PSI> Psi
$UI_DEFENDER_BOOST_NEED	<PSI> Psi requis
$UI_DEFENDER_BOOST_MAX	BOOST MAXIMUM
$UI_DEFENDER_BOOST_UNLOCK	Activé au NIV <LVL> DE BOOST
$UI_DEFENDER_CLICK_TO	(Cliquer pour activer/désactiver)
$UI_DEFENDER_CLICK_TO_CONSOLE	(Sélectionner pour activer/désactiver)
$UI_DEFENDER_TECHNIQUES	TECHNIQUES
$UI_DEFENDER_TECHNIQUE	Technique
$UI_DEFENDER_TRAITS	TRAITS
$UI_DEFENDER_TRAIT	Trait
$UI_DEFENDER_RECALL	Rappel
$UI_SKILLS_CLICK_TO_UPGRADE	Cliquez pour améliorer
$UI_SKILLS_MAX	MAXIMUM
$MISC_MAX	MAX
$UI_SKILLS_NO_POINTS	Aucun point disponible
$UI_SKILLS_REQ_1PT	REQUIS : Perso NIV <LVL>,<N><PT> point dans <SKILL>
$UI_SKILLS_REQ_XPT	REQUIS : Perso NIV <LVL>,<N><PT> points dans <SKILL>
$UI_SKILLS_NO_LEARN_SPELL	Vous n'avez pas encore appris ce sort.
$UI_SKILLS_MOUSE_OVER	Passez la souris pour plus d'infos.
$UI_EQUIP_OWNED	possédé
$UI_EQUIP_COMPARE	comparer
$UI_EQUIP_PRICE	prix
$UI_EQUIP_SHOW_EQUIPPED	Montrer équipé
$UI_EQUIP_EQUIP_AFTER	Équiper après l'achat
$UI_EQUIP_EQUIP_WHO	Qui va équiper ceci ?
$UI_EQUIP_EQUIPPED	Équipé
$UI_EQUIP_MAX_OWNED	MAXIMUM EN VOTRE POSSESSION
$UI_EQUIP_ALL_W_SWORD_EQUIPPED	Toutes les épées ont été équipées !
$UI_EQUIP_ALL_W_STAFF_EQUIPPED	Tous les bâtons ont été équipés !
$UI_EQUIP_ALL_W_BOW_EQUIPPED	Tous les arcs ont été équipés !
$UI_EQUIP_ALL_A_LIGHT_EQUIPPED	Toutes les armures légères ont été équipées !
$UI_EQUIP_ALL_A_HEAVY_EQUIPPED	Toutes les armures lourdes ont été équipées !
$UI_EQUIP_CANT_UPGRADE_W_SWORD	Vous ne pouvez améliorer aucune épée !
$UI_EQUIP_CANT_UPGRADE_W_BOW	Vous ne pouvez améliorer aucun arc !
$UI_EQUIP_CANT_UPGRADE_W_STAFF	Vous ne pouvez améliorer aucun bâton !
$UI_EQUIP_CANT_UPGRADE_A_LIGHT	Vous ne pouvez améliorer aucune armure légère !
$UI_EQUIP_CANT_UPGRADE_A_HEAVY	Vous ne pouvez améliorer aucune armure lourde !
$UI_EQUIP_NO_W_SWORD	Vous ne possédez aucune épée !
$UI_EQUIP_NO_W_STAFF	Vous ne possédez aucun bâton !
$UI_EQUIP_NO_W_BOW	Vous ne possédez aucun arc !
$UI_EQUIP_NO_A_LIGHT	Vous ne possédez aucune armure légère !
$UI_EQUIP_NO_A_HEAVY	Vous ne possédez aucune armure lourde !
$UI_EULA_TITLE	CONTRAT DE LICENCE UTILISATEUR FINAL
$UI_ACHIEVE_COMPLETION	Progression
$UI_ACHIEVE_CATEGORIES	Catégories
$UI_ACHIEVE_POP_UP	Notification
$UI_ACHIEVE_TRAINER	Entraînement
$UI_ACHIEVE_EASY	Facile
$UI_ACHIEVE_MEDIUM	Moyen
$UI_ACHIEVE_HARD	Difficile
$UI_ACHIEVE_IMPOSSIBLE	Impossible
$UI_CONTROLS_SPELL	Sort
$UI_CONTROLS_CLASS	Classe
$UI_CONTROLS_CHARACTER	Personnage
$UI_CONTROLS_TARGET	Cible
$UI_CONTROLS_PAUSE	Pause
$UI_CONTROLS_MINUS_SPEED	Vitesse -
$UI_CONTROLS_PLUS_SPEED	Vitesse +
$UI_CONTROLS_BOOST	Boost
$UI_CONTROLS_RECALL	Rappel
$UI_CONTROLS_BACK	Retour
$UI_CONTROLS_PRESETS	Configs
$UI_CONTROLS_TAB_NAV	Navigation<N>par onglets
$UI_CONTROLS_CYCLE	Défilement<N>défenseurs
$UI_CONTROLS_CYCLE_NUMS	off_x:-5,off_y : 0	COMMENT: moves the 'cycle defenders' text and associated buttons
$UI_CONTROLS_SCROLL	Défilement carte,<N>Placement défenseur
$UI_CONTROLS_MOVE_CURSOR	Déplacement pointeur
$UI_CONTROLS_VIRTUAL_MOUSE	Souris virtuelle
$UI_CONTROLS_CLICK	Clic
$UI_CONTROLS_SPEED	Vitesse
$UI_CONTROLS_ACCEL	Accélération
$UI_CONTROLS_SLOWEST	Plus lent
$UI_CONTROLS_SLOW	Lent
$UI_CONTROLS_NORMAL	Normal
$UI_CONTROLS_FAST	Rapide
$UI_CONTROLS_NONE	Aucune
$UI_CONTROLS_PRESET_QWERTY	Qwerty
$UI_CONTROLS_PRESET_LEFTY	Gaucher
$UI_CONTROLS_PRESET_AZERTY	Azerty
$UI_CONTROLS_PRESET_QWERTZ	Qwertz
$UI_CONTROLS_PRESET_DVORAK	Dvorak
$UI_CONTROLS_PRESET_CUSTOM	Personnalisé
$UI_DOWNLOAD_WARNING	DÉSACTIVEZ VOTRE<N>BLOQUEUR DE POP-UP !
$UI_DOWNLOAD_BODY	Cliquez sur un bouton pour télécharger<N>la version bureau du jeu.<N><N>Elle sera téléchargée dans une nouvelle fenêtre/onglet.<N>Il est possible qu'il y ait un léger délai d'attente,<N>alors attendez une minute et évitez de cliquer à répétition sur les boutons.
$UI_DOWNLOAD_LINUX	Linux
$UI_DOWNLOAD_WINDOWS	Windows
$UI_DOWNLOAD_MACINTOSH	Macintosh
$UI_DOWNLOAD_SOUNDTRACK	Bande originale
$UI_CONFLICT_TITLE	Conflit avec le Cloud !
$UI_CONFLICT_MSG	Impossible de déterminer la version qui devrait être placée dans l'emplacement <SLOT>.<N>Veuillez choisir celle que vous désirez conserver.
$UI_CONFLICT_CLOUD	CLOUD
$UI_CONFLICT_LOCAL	ORDINATEUR
$UI_CONFLICT_LOCAL	CONSOLE
$UI_CONFLICT_BETTER	Celle-ci semble la meilleure
$UI_CONFLICT_BUTTON	Utiliser celle-ci
$UI_CONFLICT_NGP	Nouvelle partie+
$UI_CONFLICT_BACKUP	Faire un backup du fichier non sélectionné vers :<N><LOC>
$UI_GAMEPLAY_MISCELLANEOUS	Divers
$UI_GAMEPLAY_CLOUD_SAVE	Sauvegardes dans le Cloud
$UI_GAMEPLAY_OFF	Activé
$UI_GAMEPLAY_ON	Désactivé
$UI_GAMEPLAY_TUTORIALS	Didacticiels
$UI_GAMEPLAY_DIALOGUE	Dialogue
$UI_GAMEPLAY_NEVER	Jamais
$UI_GAMEPLAY_ALWAYS	Toujours
$UI_GAMEPLAY_DEFAULT	Nouvelles batailles uniquement
$UI_GAMEPLAY_BATTLE_NUMBERS	Stats des batailles
$UI_GAMEPLAY_HIDE	Cacher
$UI_GAMEPLAY_SHOW	Montrer
$UI_GAMEPLAY_TRACKING	Données de tracking
$UI_GAMEPLAY_TRACK_YES	Nous envoyer des statistiques anonymes de jeu
$UI_GAMEPLAY_TRACK_NO	Oh que non, on ne me tracke pas, moi !
$UI_GAMEPLAY_AUTO_UPDATE	Mise à jour auto
$UI_GAMEPLAY_ENABLE_UPDATER	Vérifier les mises à jour au lancement du jeu
$UI_GAMEPLAY_DISABLE_UPDATER	Désactiver les mises à jour auto
$UI_GAMEPLAY_SLOW_FOOTNOTE	Ceci risque de ralentir le jeu
$UI_SAVE_PATH	Chemin des sauvegardes...
$UI_MOD_PATH	Chemin des Mods...
$TOOLTIP_CHANGE_PATH_1	NOTE :
$TOOLTIP_CHANGE_PATH_2	Vos anciens fichiers ne seront pas transférés automatiquement vers le nouvel emplacement.<N><N>Ils resteront dans le répertoire d'origine.
$UI_VIDEO_IF_DOESNT_WORK	Si la nouvelle résolution ne fonctionne pas,<N>l'affichage reviendra à l'ancienne au bout de quelques secondes.
$UI_VIDEO_RES_CHANGED	Résolution modifiée.<N>Ça vous plaît ?<N><N>Retour à la précédente dans <TIME> secondes.
$UI_VIDEO_SETTINGS	Configuration vidéo
$UI_VIDEO_WARNING	Les options vidéo sont désactivées en mode navigateur.
$UI_VIDEO_WARNING2	Votre configuration système ne supporte hélas pas la modification de résolution à la volée :(
$UI_VIDEO_WARNING3	En MODE COMPATIBILITÉ, le changement de résolution est désactivé.<N><N>Désolé !
$UI_VIDEO_MOUSE	Pointeur
$UI_VIDEO_MOUSE_DEFAULT	Par défaut
$UI_VIDEO_MOUSE_FANCY	Fantaisie
$UI_VIDEO_PARTICLES	Particules
$UI_VIDEO_SWIRL	Animation pré-combat
$UI_VIDEO_AOE	Surligner les<N>attaques de zone
$UI_VIDEO_CHANGE_RES	Changer de résolution
$UI_VIDEO_SCREEN_POS	Position de l'écran
$UI_VIDEO_CHANGE_RES_BUTTON	La modifier !
$UI_VIDEO_SHOW_ALL_RES	Montre toutes les résolutions
$UI_VIDEO_RECOMMENDED	Recommandé :
$UI_VIDEO_STANDARD_RATIO	(Ratio standard)
$UI_VIDEO_WIDESCREEN	(16:9)
$UI_VIDEO_PIXELS	Pixels
$UI_VIDEO_BIT_DEPTH	Profondeur
$UI_VIDEO_REFRESH	Rafraîchissement
$UI_VIDEO_SCALE	Échelle
$UI_VIDEO_CAN_SLOW_GAME	(Risque de ralentir le jeu)
$UI_VIDEO_WINDOWED	Fenêtré
$UI_VIDEO_FULLSCREEN	Plein écran
$UI_SAVE_ERROR_INCOMPAT	Incompatible !
$UI_SAVE_ERROR_INCOMPAT_TEXT	Erreur ! Vous jouez à la DÉMO<N>et ce fichier provient de la version COMPLÈTE.
$UI_SAVE_DEMO_IMPORT	Import depuis la démo
$UI_SAVE_DEMO_IMPORT_TEXT	Ce fichier provient de la DÉMO. Quelques ajustements vont devoir être effectués.<N>Cela ne vous dérange pas ?
$UI_SAVE_DEMO_NEWER	Ce fichier provient d'une version PLUS RÉCENTE du jeu,<N>il risque d'être incompatible.<N>Tenter tout de même l'importation ?
$UI_SAVE_DEMO_OLDER	Ce fichier provient d'une version PLUS ANCIENNE du jeu.<N>Quelques ajustements vont devoir être effectués.<N>Cela ne vous dérange pas ?
$UI_NORM_MOD_INCOMPAT_TEXT	<N>Ce fichier provient d'un Mod,<N>il risque d'être incompatible.<N><N>Tenter tout de même l'importation ?
$UI_MOD_NORM_INCOMPAT_TEXT	<N>Un Mod est actif, mais ce fichier<N>provient d'une partie normale<N>il risque d'être incompatible.<N>Tenter tout de même l'importation ?
$UI_MOD_MOD_INCOMPAT_TEXT	<N>Ce fichier provient d'un Mod différent,<N>il risque d'être incompatible.<N><N>Tenter tout de même l'importation ?
$UI_SAVE_DEMO_ATTENTION	Attention !
$UI_SAVE_MENU_LOADED	Chargement terminé !
$UI_SAVE_MENU_CHECK_GOG	Passez sur GOG pour recevoir des mises à jour gratuites !
$UI_SAVE_MENU_DOWNLOAD	Obtenir la version téléchargeable
$UI_SAVE_MENU_FULL_VERSION	Version complète
$UI_SAVE_MENU_KONG_XDEMO_LOGIN	Démo étendue - Connectez-vous sur Kongregate pour accéder au jeu complet !
$UI_SAVE_MENU_KONG_XDEMO	Version Démo Étendue
$UI_SAVE_MENU_KONG_DEMO_LOGIN_FULL	Démo - Connectez-vous sur Kongregate pour accéder au jeu complet !
$UI_SAVE_MENU_KONG_DEMO_LOGIN_XDEMO	Démo - Connectez-vous sur Kongregate pour accéder au contenu étendu !
$UI_SAVE_MENU_KONG_DEMO	<RE>$MISC_DEMO_VERSION
$UI_SAVE_CONFIRM_DELETE	Confirmer la suppression ?
$UI_SAVE_CONFIRM_DELETE_TEXT	Effacer DÉFINITIVEMENT<N>cet emplacement de sauvegarde ?
$SAVE_SLOT_PLAY	Jouer
$SAVE_SLOT_PLAY_PLUS	Jeu+
$SAVE_SLOT_NEW_GAME	Nouvelle partie
$SAVE_SLOT_NEW_GAME_PLUS	Nouvelle partie+
$SAVE_SLOT_EXPORT	Exporter
$SAVE_SLOT_IMPORT	Importer
$SAVE_SLOT_DELETE	Supprimer
$UI_DEMO_SAVES_DETECTED	Sauvegardes de la Démo détectées !
$UI_DEMO_IMPORT_SAVES	Importer les sauvegardes de la Démo ?
$UI_CLOUD_UNKNOWN	Sauvegardes dans le Cloud
$UI_CLOUD_UNKNOWN_TEXT	Activer les sauvegardes dans le Steam Cloud ?
$UI_CLOUD_UNKNOWN_TEXT_2	Vous pouvez modifier ce paramètre à tout moment dans<N><N>Options / Divers
$UI_MOD_TITLE	Modifications
$UI_MOD_LOAD_EXISTING	Charger un Mod existant
$UI_MOD_CREATE_NEW	Créer un nouveau Mod
$UI_MOD_BROWSE_QUEUE	Mes Mods
$UI_MOD_BROWSE_WORKSHOP	Steam Workshop
$UI_MOD_WEB_BROWSER	Navigateur
$UI_MOD_INSTALL_STANDALONE	Installer depuis un ZIP
$UI_MOD_INSTALL_ERROR	Le nom du répertoire de ce Mod existe déjà.<N>Tenter de l'installer avec un suffixe ?
$UI_MOD_INSTALL_ERROR2	Désolé, l'installation du Mod a échoué.
$UI_DEFQ_MODS	Mod
$UI_MOD_TITLE	Modifications
$UI_MOD_DATA_ONLY	Données uniquement (1M)
$UI_MOD_SPRITES	<PLUS>4M de Sprites
$UI_MOD_MOVIES	<PLUS>13M de Scènes Intermédiaires
$UI_MOD_BKGS	<PLUS>42M de Décors
$UI_MOD_TEMPLATE_SETTINGS	Paramètres du modèle de Mod
$UI_MOD_SELECT_DIR	Sélection du répertoire du Mod
$UI_SAVE_SELECT_DIR	Sélection du répertoire de sauvegarde
$UI_MOD_LOAD_MOD	Charger le Mod
$UI_MOD_EXISTS	Ce Mod existe.<N>Le charger ?
$UI_MOD_MISSING	Impossible de trouver settings.xml<N>Soit il n'y a pas de Mod ici,<N>soit ce Mod a un problème.
$UI_MOD_NOT_DIR	Hein ?<N>Ce n'est même pas un répertoire !<N>Réessayez.
$UI_MOD_LOADING	Chargement du Mod...
$UI_MOD_PLEASE_WAIT	Veuillez patienter pendant<N>le chargement de votre Mod.
$UI_MOD_PROGRESS	Tâche <TASK><N>Fichier <FILE><N>
$UI_MOD_LOAD_FINISH	Chargement terminé
$UI_MOD_LOAD_FINISH_TEXT	Le chargement du Mod a réussi.<N>Le jeu va redémarrer.
$UI_MOD_LOAD_FAIL	Échec du chargement !
$UI_MOD_LOAD_FAIL_TEXT	Erreur lors du chargement du Mod :
$UI_MOD_NAME	Entrez un nom pour ce Mod
$UI_MOD_EXPORTING	Exportation des données
$UI_MOD_EXPORT_FINISH	Exportation terminée !
$UI_MOD_EXPORT_FINISH_TEXT	Votre Mod se trouve ici :
$UI_MOD_EXPORT_CANCEL	Exportation annulée !
$UI_MOD_EXPORT_CANCEL_TEXT	Les fichiers se trouvent ici :
$UI_MOD_EXPORT_FAIL	Échec de l'exportation !
$UI_MOD_EXPORT_FAIL_TEXT	Une erreur s'est produite !
$UI_MOD_EXPORT_CHURN	Tâche <TASK_PROGRESS><N><N><TASK><N><PROGRESS>
$UI_MOD_DEFQ_SAVE	Fichiers de sauvegarde de Défender's Quest (*.dfq)
$UI_MOD_ALL_FILES	Tous les fichiers (*.*)
$UI_MOD_AUTHOR	Auteur
$UI_MOD_PLAY	Jouer
$UI_MOD_SHARE	Partager
$UI_MOD_UPDATE	Mise à jour
$UI_MOD_EDIT	Édition
$UI_MOD_WORKSHOP	Workshop
$UI_MOD_SHARE_TITLE	Partager le Mod
$UI_MOD_SHARE_TEXT_LOCAL	Ceci assemblera votre Mod en un seul fichier afin de faciliter sa distribution.
$UI_MOD_SHARE_TEXT_STEAM	Ceci assemblera votre Mod, puis le transmettra au Steam Workshop.
$UI_MOD_UPDATE_TEXT_STEAM	Ceci mettra à jour votre Mod sur le Steam Workshop.
$UI_MOD_ZIP_PROGRESS	Tâche <TASK><N>Fichier <FILE><N>
$UI_MOD_ZIP_FINISH	Assemblage terminé
$UI_MOD_ZIP_FINISH_TEXT	La création du ZIP du Mod a réussi.
