"flag","content","comment",
"$PARTY_PERFECT++","완벽합니다!++",,
"$PARTY_PERFECT_DESC","<MCG> 은(는) 멀쩡하게 살아남았습니다!",,
"$PARTY_PERFECT++_DESC","<MCG> 와(과) <ALLY><N>은(는) 멀쩡합니다!","COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.",
"$PARTY_PERFECT+_DESC","<MCG> 은(는) 멀쩡합니다!<N><ALLY> 은(는) 부상을 입었습니다!",,
"$PARTY_PERFECT_ALLY_DEAD_DESC","<MCG> 은(는) 멀쩡하지만, <ALLY> 은(는) 끔찍하게 살해당했습니다.",,
"$PARTY_PASSED","레벨 통과!",,
"$PARTY_PASSED+","레벨 통과!+",,
"$PARTY_PASSED++","레벨 통과!++",,
"$PARTY_PASSED_DESC","<MCG> 은(는) 전투에서 살아남았지만,<N>부상을 입었습니다.",,
"$PARTY_PASSED_ALLY_DEAD_DESC","<ALLY> 은(는) 살해당했으나,<N>다행히<MCG> 은(는) 살아남았습니다.",,
"$PARTY_PASSED+_DESC","<MCG> 이(가) 부상당했습니다!<N><ALLY> 은(는) 살아남았습니다!",,
"$PARTY_PASSED++_DESC","<MCG> 이(가) 부상당했습니다!<N><ALLY> 은(는) 멀쩡하게 살아남았습니다!",,
"$PARTY_DEFEATED_WAVE_X","<X>단계에서 실패했습니다.",,
"$PARTY_REACHED_WAVE_X","<X>단계에 도달했습니다.",,
"$PARTY_NO_POINTS","재분배할 스킬 포인트가 없습니다!",,
"$PARTY_NO_AFFORD","비용이 부족합니다!<N>비용:<T><COST><N><T>고철:<T><SCRAP>",,
"$PARTY_RE_ASSIGN","<NAME>의 스킬을 모두 초기화할까요?<N>비용:<T><COST><N>고철:<T><SCRAP>",,
"$PARTY_CHANGE_NAME","이름 변경",,
"$PARTY_CONFIRM_POINTS_1_1","1개의 스킬 포인트를 1명의 캐릭터에게 영구적으로 분배할까요?","COMMENT: There are 4 variants here to handle the various pluralizations",
"$PARTY_CONFIRM_POINTS_1_X","1개의 스킬 포인트를 <CHARS>명의 캐릭터에게 영구적으로 분배할까요?",,
"$PARTY_CONFIRM_POINTS_X_1","<POINTS>개의 스킬 포인트를 1명의 캐릭터에게 영구적으로 분배할까요?",,
"$PARTY_CONFIRM_POINTS_X_X","<POINTS>개의 스킬 포인트를 <CHARS>명의 캐릭터에게 영구적으로 분배할까요?",,
"$PARTY_POINT","포인트",,
"$PARTY_POINTS","포인트",,
"$PARTY_CHARACTER","캐릭터",,
"$PARTY_CHARACTERS","캐릭터",,
"$PARTY_CONFIRM_POINTS_TITLE","스킬 포인트 적용",,
"$PARTY_RENAME","이름 다시 짓기",,
"$PARTY_REDESIGN","디자인 다시 하기",,
"$PARTY_REDESIGN_NUMS","font:10,off_x:1,off_y:2,leading:0",
"$UI_EQUIP_NAME","이름",,
"$UI_EQUIP_STAT","능력치",,
"$UI_EQUIP_OWNER","소유자",,
"$UI_EQUIP_SHOW_EQUIPPED","장착된 장비 보기",,
"$UI_EQUIP_CLASS_CANT_W","이 클래스는 무기를 장착할 수 없습니다!",,
"$UI_EQUIP_CLASS_CANT_A","이 클래스는 방어구를 장착할 수 없습니다!",,
"$UI_EQUIP_ALL_W_SWORD","모든 칼을 착용했습니다!",,
"$UI_EQUIP_ALL_W_BOW","모든 활을 착용했습니다!",,
"$UI_EQUIP_ALL_W_STAFF","모든 지팡이를 착용했습니다!",,
"$UI_EQUIP_ALL_A_LIGHT","모든 경갑을 착용했습니다!",,
"$UI_EQUIP_ALL_A_HEAVY","모든 중갑을 착용했습니다!",,
"$UI_EQUIP_ALL_W_BOOK","모든 책을 착용했습니다!",,
"$UI_EQUIP_NO_W_SWORD","검을 가지고 있지 않습니다!",,
"$UI_EQUIP_NO_W_BOW","활을 가지고 있지 않습니다!",,
"$UI_EQUIP_NO_W_BOOK","책을 가지고 있지 않습니다!",,
"$UI_EQUIP_NO_W_STAFF","스태프를 가지고 있지 않습니다!",,
"$UI_EQUIP_NO_A_LIGHT","경갑을 가지고 있지 않습니다!",,
"$UI_EQUIP_NO_A_HEAVY","중갑을 가지고 있지 않습니다!",,
"$UI_ACCEPT_NUMS","font:18,off_y:1,off_x:-3","COMMENT: Font size and x/y offsets for options menu button labels",
"$UI_BACK_NUMS","font:18,off_y:1,off_x:-3",,
"$UI_AUDIO_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_VIDEO_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_MISC_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_ACCESS_NUMS","font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0","COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text",
"$UI_ACHIEVEMENTS_NUMS","font:18,off_y:0,pop_up_off_y:0",,
"$UI_RESTART_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_QUIT_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_CONTROLS_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_OPTIONS_NUMS","font:18,off_y:1,off_x:-2",,
"$UI_CONTROLS_TITLE","조작",,
"$UI_VIDEO_TITLE","비디오",,
"$UI_AUDIO_TITLE","오디오",,
"$UI_ACCESS_TITLE","접근성",,
"$UI_MISC_TITLE","기타",,
"$UI_OPTIONS_TITLE","옵션",,
"$UI_OPTIONS_MENU","옵션 메뉴",,
"$UI_OPTIONS_SPEED","게임 속도",,
"$UI_ACHIEVEMENTS_TITLE","도전과제",,
"$UI_ACHIEVEMENTS_BUTTON_NUMBERS","font:18,offy:-2",,
"$UI_SFX","효과음:",,
"$UI_MUSIC","배경음:",,
"$UI_ACCESS_REWARDS","보상",,
"$UI_ACCESS_PENALTIES","패널티",,
"$UI_ACCESS_DEFAULT","기본 설정",,
"$UI_ACCESS_FAIL","실패",,
"$UI_ACCESS_ABSENCE","부재",,
"$UI_ACCESS_FLASHING","반짝이는 효과",,
"$UI_ACCESS_SPEED","게임 속도",,
"$UI_BONUS_BONUS_LEVELS","추가 레벨",,
"$UI_BONUS_STARS_LINE","<STAR_NUM> <STAR_COLOR> 별들",,
"$UI_BONUS_GOLD_STARS_LINE","<STAR_NUM> 금색별",,
"$UI_BONUS_BLUE_STARS_LINE","<STAR_NUM> 파란 별",,
"$UI_MOVIE_NUMS","font:13,tabs:3",,
"$UI_MOVIE_SELECT_A_MOVIE","동영상을 선택하세요.",,
"$UI_MOVIE_SCENE","     장면",,
"$UI_MOVIE_END","         끝",,
"$UI_MOVIE_QUEST","  퀘스트",,
"$UI_TIPS_TITLE","팁과 요령",,
"$UI_UPDATER_CANCEL","<RE>$MISC_CANCEL",,
"$UI_UPDATER_SECURED_WITH","이 업데이트는 HTTPS로 보안되어 있으며,<N>게다가 지문 인증 절차도 쓰인답니다.",,
"$UI_UPDATER_ASK_DOWNLOAD","업데이트를 다운로드할까요?",,
"$UI_UPDATER_SERVER_TIMEOUT","서버 응답시간 초과!",,
"$UI_UPDATER_NO_INFO","서버에서 업데이트 정보를 찾을 수 없습니다.",,
"$UI_UPDATER_NO_BIG_DEAL","큰일은 아닙니다, 당장 게임은 즐기실 수 있지만 업데이트 서버에 접속하지 못할 뿐입니다.",,
"$UI_UPDATER_DEB","DEB 패키지",,
"$UI_UPDATER_RPM","RPM 패키지",,
"$UI_UPDATER_TARGZ","TAR.GZ 문서",,
"$UI_UPDATER_CHECKING","업데이트 확인 중...",,
"$UI_UPDATER_UPDATE_EXISTS","업데이트 가능!",,
"$UI_UPDATER_CURRENT_VERSION","현재 버전:<T>",,
"$UI_UPDATER_NEWEST_VERSION","신규 버전:<T>",,
"$UI_UPDATER_NO_UPDATES","업데이트할 것이 없습니다.",,
"$UI_UPDATER_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT",,
"$UI_UPDATER_TRYING_30","30초간 시도",,
"$UI_UPDATER_CONNECT_AGAIN","재접속 중",,
"$UI_UPDATER_ERROR!","에러!",,
"$UI_UPDATER_DETAILS","상세 정보:",,
"$UI_UPDATER_NO_VERIFY","업데이트 파일을 확인할 수 없습니다.",,
"$UI_UPDATER_NO_DOWNLOAD","업데이트 파일을 다운로드할 수 없습니다.",,
"$UI_UPDATER_CHECKSUM_MISMATCH","파일의 검사 합계가 우리가 기대했던 것과 일치하지 않습니다.<N><N> 다운로드가 완벽히 완료되지 않았거나, 보안 문제 일수도, 외계에서 쏜 광선(아무도 모르죠) 때문일 수도 있습니다.<N><N>어쨌든, 업데이트 실패.",,
"$UI_UPDATER_GIVE_UP","포기",,
"$UI_UPDATER_TRY_AGAIN","재시도",,
"$UI_UPDATER_CONNECTING","서버에 접속 중...",,
"$UI_UPDATER_DOWNLOADING_FILE","업데이트 파일을 다운로드하는 중...",,
"$UI_UPDATER_DOWNLOADING_SIG","업데이트 서명을 다운로드하는 중...",,
"$UI_UPDATER_CHECKSUM","체크섬(검사 합계)를 계산하는 중...",,
"$UI_UPDATER_NAVIGATING","파일 경로 찾는 중 ..",,
"$UI_UPDATER_CLOSE_WINDOW","업데이트를 설치하기 전에 이 창을 닫으셔야 합니다.",,
"$UI_UPDATER_FILE_IS_AT","당신의 업데이트 파일 경로 :",,
"$UI_UPDATER_IF_NO_WINDOW","만약에 설치 경로가 열리지 않을 시, 직접 들어가 보세요.",,
"$UI_UPDATER_DOWNLOADED","업데이트 다운로드 완료!",,
"$UI_UPDATER_NAVIGATE_NOW","파일을 지금 살펴볼까요?",,
"$UI_UPDATER_NOTE","참고:",,
"$UI_UPDATER_SECURITY","보안 문제로 인해 설치 파일을 직접 다운로드하셔야 합니다.<N><N>이 프로그램이 자동으로 다운로드 위치를 검색할 것입니다..",,
"$UI_UPDATER_INSTALLING","업데이트 설치 중...",,
"$UI_UPDATER_EXITING","프로그램 종료 중...",,
"$UI_DEFENDER_RECALL_LINE","귀환: +<PSI> 정신력",,
"$UI_DEFENDER_ORB_NUMS","font_space:0,off_y:1,space_add:-0.1",
"$UI_DEFENDER_BOOST","강화: <PSI> 정신력",,
"$UI_DEFENDER_BOOST_NEED","강화: <PSI>만큼의 정신력 필요",,
"$UI_DEFENDER_BOOST_MAX","최대 강화",,
"$UI_DEFENDER_BOOST_UNLOCK","레벨 <LVL>에 강화 가능",,
"$UI_DEFENDER_CLICK_TO","(적용/취소하려면 클릭)",,
"$UI_DEFENDER_TECHNIQUES","기술",,
"$UI_DEFENDER_TECHNIQUE","기술",,
"$UI_DEFENDER_TRAITS","특성",,
"$UI_DEFENDER_TRAIT","특성",,
"$UI_DEFENDER_RECALL","소환",,
"$UI_SKILLS_CLICK_TO_UPGRADE","업그레이드하시려면 클릭하세요.",,
"$UI_SKILLS_MAX","최대치",,
"$MISC_MAX","최대",,
"$UI_SKILLS_NO_POINTS","잔여 포인트가 없습니다.",,
"$UI_SKILLS_REQ_1PT","필요합니다: 캐릭터 레벨 <LVL>,<N><PT> 개의 포인트가 <SKILL>에 투자되어있어야 함.",,
"$UI_SKILLS_REQ_XPT","REQUIRES: 캐릭터 레벨 <LVL>,<N><PT> 개의 포인트가 <SKILL>에 투자되어있어야 함.",,
"$UI_SKILLS_NO_LEARN_SPELL","당신은 아직 이 스킬을 배우지 않았습니다.",,
"$UI_SKILLS_MOUSE_OVER","자세히 보려면 마우스를 올려놓으세요",,
"$UI_EQUIP_OWNED","소유한 장비",,
"$UI_EQUIP_COMPARE","비교하기",,
"$UI_EQUIP_PRICE","가격",,
"$UI_EQUIP_SHOW_EQUIPPED","착용한 장비들 표시하기",,
"$UI_EQUIP_EQUIP_AFTER","구매 후 장비하기",,
"$UI_EQUIP_EQUIP_WHO","누구에게 착용하시겠습니까?",,
"$UI_EQUIP_EQUIPPED","장비되었음",,
"$UI_EQUIP_MAX_OWNED","최대치 소유",,
"$UI_EQUIP_ALL_W_SWORD_EQUIPPED","모든 칼들이 착용되었습니다.",,
"$UI_EQUIP_ALL_W_STAFF_EQUIPPED","모든 지팡이들이 착용되었습니다.",,
"$UI_EQUIP_ALL_W_BOW_EQUIPPED","모든 활들이 착용되었습니다.",,
"$UI_EQUIP_ALL_A_LIGHT_EQUIPPED","모든 경갑이 착용되었습니다.",,
"$UI_EQUIP_ALL_A_HEAVY_EQUIPPED","모든 중갑이 착용되었습니다.",,
"$UI_EQUIP_CANT_UPGRADE_W_SWORD","성능을 높일 칼이 없습니다!",,
"$UI_EQUIP_CANT_UPGRADE_W_BOW","성능을 높일 활이 없습니다!",,
"$UI_EQUIP_CANT_UPGRADE_W_STAFF","성능을 높일 스태프가 없습니다!",,
"$UI_EQUIP_CANT_UPGRADE_A_LIGHT","성능을 높일 경갑이 없습니다!",,
"$UI_EQUIP_CANT_UPGRADE_A_HEAVY","성능을 높일 중갑이 없습니다!",,
"$UI_EQUIP_NO_W_SWORD","가지고 있는 검이 없습니다!",,
"$UI_EQUIP_NO_W_STAFF","가지고 있는 지팡이가 없습니다!",,
"$UI_EQUIP_NO_W_BOW","가지고 있는 활이 없습니다!",,
"$UI_EQUIP_NO_A_LIGHT","가지고 있는 경갑이 없습니다!",,
"$UI_EQUIP_NO_A_HEAVY","가지고 있는 중갑이 없습니다!",,
"$UI_EULA_TITLE","소프트웨어 사용권 동의",,
"$UI_ACHIEVE_COMPLETION","완료",,
"$UI_ACHIEVE_CATEGORIES","범주",,
"$UI_ACHIEVE_POP_UP","팝업 알림",,
"$UI_ACHIEVE_TRAINER","트레이너",,
"$UI_ACHIEVE_EASY","쉬움",,
"$UI_ACHIEVE_MEDIUM","보통",,
"$UI_ACHIEVE_HARD","어려움",,
"$UI_ACHIEVE_IMPOSSIBLE","불가능",,
"$UI_CONTROLS_SPELL","주문",,
"$UI_CONTROLS_CLASS","클래스",,
"$UI_CONTROLS_CHARACTER","캐릭터",,
"$UI_CONTROLS_TARGET","대상",,
"$UI_CONTROLS_PAUSE","일시정지",,
"$UI_CONTROLS_MINUS_SPEED","속도 증가",,
"$UI_CONTROLS_PLUS_SPEED","속도 감소",,
"$UI_CONTROLS_BOOST","강화",,
"$UI_CONTROLS_RECALL","귀환",,
"$UI_CONTROLS_BACK","뒤로",,
"$UI_CONTROLS_PRESETS","프리셋",,
"$UI_CONTROLS_TAB_NAV","탭<N>네비게이션",,
"$UI_CONTROLS_CYCLE","방어자들<N>회전",,
"$UI_CONTROLS_CYCLE_NUMS","off_x:-5,off_y:0","COMMENT: moves the 'cycle defenders' text and associated buttons",
"$UI_CONTROLS_SCROLL","지도 이동.<N> 디펜더즈 배치",,
"$UI_CONTROLS_MOVE_CURSOR","커서 이동",,
"$UI_CONTROLS_VIRTUAL_MOUSE","가상 마우스",,
"$UI_CONTROLS_CLICK","클릭",,
"$UI_CONTROLS_SPEED","속도",,
"$UI_CONTROLS_ACCEL","가속",,
"$UI_CONTROLS_SLOWEST","가장 느림",,
"$UI_CONTROLS_SLOW","느림",,
"$UI_CONTROLS_NORMAL","보통",,
"$UI_CONTROLS_FAST","빠름",,
"$UI_CONTROLS_NONE","없음",,
"$UI_CONTROLS_PRESET_QWERTY","QWERTY 자판",,
"$UI_CONTROLS_PRESET_LEFTY","왼손잡이 자판",,
"$UI_CONTROLS_PRESET_AZERTY","불어식 자판",,
"$UI_CONTROLS_PRESET_QWERTZ","독일식 자판",,
"$UI_CONTROLS_PRESET_DVORAK","DVORAK 자판",,
"$UI_CONTROLS_PRESET_CUSTOM","사용자 설정",,
"$UI_DOWNLOAD_WARNING","팝업창 차단을<N>해제해 주세요!",,
"$UI_DOWNLOAD_BODY","버튼을 클릭하여 PC버전<N>게임을 다운로드하세요.<N><N>새로운 창이나 탭에서 다운로드 될 것입니다.<N>약간의 지연이 있을 수 있습니다.<N>잠시 기다리시고 자꾸 버튼을 누르지 마세요.",,
"$UI_DOWNLOAD_LINUX","리눅스",,
"$UI_DOWNLOAD_WINDOWS","윈도우",,
"$UI_DOWNLOAD_MACINTOSH","매킨토시",,
"$UI_DOWNLOAD_SOUNDTRACK","사운드트랙",,
"$UI_CONFLICT_TITLE","스팀 클라우드 충돌!",,
"$UI_CONFLICT_MSG","어떤 것이 <SLOT>란에 가야 할지 결정할 수 없습니다. <N>원하는 것을 골라주세요.",,
"$UI_CONFLICT_CLOUD","클라우드",,
"$UI_CONFLICT_LOCAL","컴퓨터",,
"$UI_CONFLICT_BETTER","이것을 더 권장합니다.",,
"$UI_CONFLICT_BUTTON","사용하세요",,
"$UI_CONFLICT_BUTTON_NUMS","font:13,x_off:0,y_off:0",,
"$UI_CONFLICT_NGP","새 게임+",,
"$UI_CONFLICT_BACKUP","고르지 않은 파일을 백업<N><LOC>",,
"$UI_GAMEPLAY_MISCELLANEOUS","그 외",,
"$UI_GAMEPLAY_CLOUD_SAVE","클라우드 저장",,
"$UI_GAMEPLAY_OFF","오프",,
"$UI_GAMEPLAY_ON","온",,
"$UI_GAMEPLAY_TUTORIALS","튜토리얼",,
"$UI_GAMEPLAY_DIALOGUE","대화",,
"$UI_GAMEPLAY_NEVER","표시하지 않음",,
"$UI_GAMEPLAY_ALWAYS","항상 표시",,
"$UI_GAMEPLAY_DEFAULT","새로운 전투일 때만",,
"$UI_GAMEPLAY_BATTLE_NUMBERS","전투 횟수",,
"$UI_GAMEPLAY_HIDE","숨기기",,
"$UI_GAMEPLAY_SHOW","보이기",,
"$UI_GAMEPLAY_TRACKING","데이터 추적 중",,
"$UI_GAMEPLAY_TRACK_YES","익명 플레이 정보 추적을 허용",,
"$UI_GAMEPLAY_TRACK_NO","따라오지 마, 형씨!",,
"$UI_GAMEPLAY_AUTO_UPDATE","자동 업데이트",,
"$UI_GAMEPLAY_ENABLE_UPDATER","게임을 실행할 때 업데이트를 확인합니다.",,
"$UI_GAMEPLAY_DISABLE_UPDATER","자동 업데이트 끄기",,
"$UI_GAMEPLAY_SLOW_FOOTNOTE","게임 속도가 느려질 수 있습니다.",,
"$UI_SAVE_PATH","세이브 파일 경로...",,
"$UI_MOD_PATH","모드 파일 경로...",,
"$TOOLTIP_CHANGE_PATH_1","노트:",,
"$TOOLTIP_CHANGE_PATH_2","이전 파일들이 새 위치로 전송되지 않았습니다. 이전 파일이 기존에 남습니다.",,
"$UI_VIDEO_IF_DOESNT_WORK","해상도가 변경되지 않는다면 몇 초 후에 원래 해상도로 돌아갑니다.",,
"$UI_VIDEO_RES_CHANGED","해상도가 변경되었습니다.<N>이대로 괜찮습니까?<N><N>이전 설정으로 바뀝니다. <TIME>초",,
"$UI_VIDEO_SETTINGS","비디오",,
"$UI_VIDEO_WARNING","브라우저 모드에서는 비디오 옵션이 비활성화됩니다.",,
"$UI_VIDEO_WARNING2","시스템 설정이 게임 해상도 변경을 지원하지 않습니다. 안타깝군요 :(",,
"$UI_VIDEO_WARNING3","호환성 모드에서는 해상도 변경이 불가능합니다.<N><N>안타깝네요!",,
"$UI_VIDEO_MOUSE","마우스 커서",,
"$UI_VIDEO_MOUSE_DEFAULT","기본",,
"$UI_VIDEO_MOUSE_FANCY","팬시",,
"$UI_VIDEO_PARTICLES","입자",,
"$UI_VIDEO_SWIRL","전투 전 애니메이션",,
"$UI_VIDEO_AOE","강조된 지역 공격",,
"$UI_VIDEO_CHANGE_RES","해상도 변경",,
"$UI_VIDEO_SCREEN_POS","화면 위치",,
"$UI_VIDEO_CHANGE_RES_BUTTON","바꾸기!",,
"$UI_VIDEO_SHOW_ALL_RES","모든 해상도 보기",,
"$UI_VIDEO_RECOMMENDED","권장",,
"$UI_VIDEO_STANDARD_RATIO","(기본 비율)",,
"$UI_VIDEO_WIDESCREEN","(와이드 스크린)",,
"$UI_VIDEO_PIXELS","픽셀",,
"$UI_VIDEO_BIT_DEPTH","깊이",,
"$UI_VIDEO_REFRESH","새로 고침",,
"$UI_VIDEO_SCALE","비율",,
"$UI_VIDEO_CAN_SLOW_GAME","(느려질 수 있습니다.)",,
"$UI_VIDEO_WINDOWED","윈도우 화면",,
"$UI_VIDEO_FULLSCREEN","전체 화면",,
"$UI_SAVE_ERROR_INCOMPAT","지원하지 않습니다!",,
"$UI_SAVE_ERROR_INCOMPAT_TEXT","오류! 데모 버전을 플레이 중입니다. 그 파일은 정식 버전 파일입니다.",,
"$UI_SAVE_DEMO_IMPORT","데모 불러들임",,
"$UI_SAVE_DEMO_IMPORT_TEXT","그 파일은 데모 버전의 파일입니다. 약간의 조정이 있을 수 있습니다. <N>이대로 좋습니까?",,
"$UI_SAVE_DEMO_NEWER","파일이 더 이후 버전의 것입니다.<N>호환되지 않을 수 있습니다. <N>그대로 불러들입니까?",,
"$UI_SAVE_DEMO_OLDER","파일이 더 이전 버전의 것입니다.<N>약간의 조정이 있을 수 있습니다. <N>이대로 좋습니까?",,
"$UI_NORM_MOD_INCOMPAT_TEXT","<N>파일이 모드의 것입니다.<N>호환되지 않을 수 있습니다. <N>그대로 불러들입니까?",,
"$UI_MOD_NORM_INCOMPAT_TEXT","<N>모드가 작동 중이지만<N>파일은 일반 버전의 것입니다.<N>호환되지 않을 수 있습니다.,-.<N>그대로 불러들입니까?",,
"$UI_MOD_MOD_INCOMPAT_TEXT","<N>다른 모드의 파일입니다.<N>호환되지 않을 수 있습니다.<N><N>그대로 불러들입니까?",,
"$UI_SAVE_DEMO_ATTENTION","집중!",,
"$UI_SAVE_MENU_LOADED","불러오기 완료!",,
"$UI_SAVE_MENU_CHECK_GOG","무료 업데이트를 GOG에서 확인하세요!",,
"$UI_SAVE_MENU_DOWNLOAD","다운 가능한 버전 받기",,
"$UI_SAVE_MENU_FULL_VERSION","정식 버전",,
"$UI_SAVE_MENU_KONG_XDEMO_LOGIN","확장 데모 - kongregate에 로그인해서 정식 버전에 접속하세요!",,
"$UI_SAVE_MENU_KONG_XDEMO","확장 데모 버전",,
"$UI_SAVE_MENU_KONG_DEMO_LOGIN_FULL","데모 - kongregate에 로그인 해서 정식 버전에 접속하세요!",,
"$UI_SAVE_MENU_KONG_DEMO_LOGIN_XDEMO","데모 - kongregate에 로그인 해서 확장 콘텐츠에 접속하세요!",,
"$UI_SAVE_MENU_KONG_DEMO","데모 버전",,
"$UI_SAVE_CONFIRM_DELETE","삭제하겠습니까?",,
"$UI_SAVE_CONFIRM_DELETE_TEXT","세이브 슬롯을 영구적으로 삭제하겠습니까?",,
"$SAVE_SLOT_PLAY","플레이",,
"$SAVE_SLOT_PLAY_PLUS","플레이 +",,
"$SAVE_SLOT_NEW_GAME","새 게임",,
"$SAVE_SLOT_NEW_GAME_PLUS","새 게임 +",,
"$SAVE_SLOT_EXPORT","보내기",,
"$SAVE_SLOT_IMPORT","불러오기",,
"$SAVE_SLOT_DELETE","지우기",,
"$UI_DEMO_SAVES_DETECTED","데모 저장 데이터 찾음!",,
"$UI_DEMO_IMPORT_SAVES","데모 저장 데이터를 불러올까요?",,
"$UI_CLOUD_UNKNOWN","클라우드 저장",,
"$UI_CLOUD_UNKNOWN_TEXT","스팀 클라우드 저장을 활성화합니까?",,
"$UI_CLOUD_UNKNOWN_TEXT_2","이 설정은 언제든 바꿀 수 있습니다:<N><N>옵션:그 외",,
"$UI_MOD_TITLE","모드",,
"$UI_MOD_LOAD_EXISTING","모드 불러오기",,
"$UI_MOD_CREATE_NEW","새로운 모드 만들기",,
"$UI_MOD_BROWSE_QUEUE","내 모드들",,
"$UI_MOD_BROWSE_WORKSHOP","스팀 창작 마당",,
"$UI_MOD_WEB_BROWSER","웹 브라우저",,
"$UI_MOD_INSTALL_STANDALONE","ZIP 파일을 인스톨합니다.",,
"$UI_MOD_INSTALL_ERROR","모드 폴더가 이미 있습니다.<N>뒤에 이름을 붙여 다시 시도합니까?",,
"$UI_MOD_INSTALL_ERROR2","모드 설치를 실패하였습니다.",,
