flag	content	comment
$BASE_ATTACK	Base attack
$DEMO_OVER_EXPORT_HOW	Export your save file with this button.
$DEMO_OVER_FULL_GAME	Get the FULL GAME!
$DEMO_OVER_FULL_GAME_SHORT	FULL<N>GAME!
$DEMO_OVER_PLAY	Keep Playing!
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$DEMO_OVER_THANKS	Thanks for Playing!	COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.
$DEMO_OVER_USE_IT	Use it to continue from where you left off!
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> DMG
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> DMG
$EN_SPELL_FRENZY_DESC	<PLUS><PERCENT> speed for <SEC> sec
$EN_SPELL_HEAL_DESC	Heal: <PERCENT> HP
$END	end
$ERROR_CONTEXT	context
$ERROR_MESSAGE	message
$ERROR_NUMBER	Error #
$ERROR_STACK	stack trace
$ERROR_TITLE	An Error Has Happened!
$FB_HARD_SELL_NO	I said never!
$FB_HARD_SELL_TEXT	You sure about that?<N>Look! It's so shiny!
$FB_HARD_SELL_YES	Well... okay.
$FB_LIKE_US_NO	Hahaha. No.	COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.
$FB_LIKE_US_TEXT	Like us on Facebook and<N>get this FREE prize!
$FB_LIKE_US_YES	Okay!
$FB_PERSISTENT_OK	Victory is mine!
$FB_PERSISTENT_TEXT	Okay, you win!<N>You can have it anyway :)
$FB_REBEL_TEXT	That's right, stick it to the man!<N>Have this instead.
$FB_SECOND_PITCH	You can still get this<N>by liking us on Facebook!
$FB_SECOND_PITCH_NO	Never!
$FB_SECOND_PITCH_YES	Okay!
$FB_THANKS_OK	Okay
$FB_THANKS_SUCKS	Facebook Sucks
$FB_THANKS_TEXT	Thanks for liking us on Facebook!<N>You already got the prize!
$FB_THIS_ITEM_WILL_NOW	This item will now always appear in any player's inventory.
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	Destroys <AMT_2DIG><EXTRA> points of armor for every point of DMG in attack.
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	Destroys 1 point of armor for every <INV_AMOUNT><EXTRA> points of DMG in attack.
$FLAV_DESC_ARMOR_BREAK_DIRECT	Attack destroys <AMTDMG><EXTRA> points of armor.
$FLAV_DESC_ARMOR_BREAK_SHORT	Attack destroys several points of armor.	COMMENT: There are 4 variants here to handle the various pluralizations
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	Ignores <AMT_1DIG><EXTRA> points of armor for every point of DMG in attack.
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	Ignores 1 point of armor for every <INV_AMOUNT><EXTRA> points of DMG in attack.
$FLAV_DESC_ARMOR_PIERCE_DIRECT	Attack ignores <AMTDMG><EXTRA> points of armor.
$FLAV_DESC_ARMOR_PIERCE_SHORT	Attack ignores several points of armor.
$FLAV_DESC_AUTO_KILL	Foes below <PERCENT>%<EXTRA> HP automatically die.
$FLAV_DESC_AUTO_KILL_SHORT	Sufficiently weak foes automatically die.
$FLAV_DESC_BLEED	Foe takes <PERCENT>%<EXTRA> more damage from future hits for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_BLEED_SHORT	Foe temporarily takes more damage from future hits.
$FLAV_DESC_BLINDED	Enemy attacks miss <PERCENT>% <EXTRA>of the time for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_BLINDED_SHORT	Enemy attacks lose accuracy for a few seconds.
$FLAV_DESC_BURN	Foe takes <AMTDMG><EXTRA> dmg/sec for <TIME><EXTRA_TIME> sec. Cancelled by ice.
$FLAV_DESC_BURN_SHORT	Foe takes damage over a short time. Cancelled by ice.
$FLAV_DESC_CHILL	Foe is slowed by <PERCENT>%<EXTRA> for <TIME><EXTRA_TIME> sec. Cancelled by burn.
$FLAV_DESC_CHILL_SHORT	Foe is slowed down for a few seconds. Cancelled by burn.
$FLAV_DESC_CONFUSED	Foe walks backwards for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_CONFUSED_SHORT	Foe walks backwards for a few moments.
$FLAV_DESC_CRITICAL	Damage = <AMT_1DIG>x<EXTRA> normal.
$FLAV_DESC_CRITICAL_SHORT	Damage is greater than normal.
$FLAV_DESC_DISEASE	Foe's regeneration is reduced by <PERCENT>%<EXTRA>.
$FLAV_DESC_DISEASE_SHORT	Foe's regeneration is reduced.
$FLAV_DESC_FREEZE	Foe can't move for <TIME><EXTRA_TIME> sec. Cancelled by burn.
$FLAV_DESC_FREEZE_SHORT	Foe can't move temporarily. Cancelled by burn.
$FLAV_DESC_INSPIRE	Friends deal <M_MULT_PERCENT>%<EXTRA> more damage for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_INSPIRE_SHORT	Friends temporarily deal more damage.
$FLAV_DESC_KNOCK_BACK	Foe is pushed back <AMT_1DIG><EXTRA> tiles.
$FLAV_DESC_KNOCK_BACK_SHORT	Foe is pushed back a few tiles.
$FLAV_DESC_LIGHT	DARK foes take +<AMT_2DIG>x<EXTRA>DMG & are easier to hit for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_LIGHT_SHORT	DARK foes take extra damage, & are easier to hit.
$FLAV_DESC_POISON	Foe takes <PERCENT>%<EXTRA> of attack's dmg every second for <TIME><EXTRA_TIME> sec.	COMMENT: Font size and x/y offsets for options menu button labels
$FLAV_DESC_POISON_DIRECT	Foe takes <AMTDMG><EXTRA> dmg every second for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_POISON_SHORT	Foe takes damage over a short time.
$FLAV_DESC_SINGLE_STUN	Foe can't move for <TIME><EXTRA_TIME> sec. Can only be inflicted once.
$FLAV_DESC_SINGLE_STUN_SHORT	Foe can't move for a few seconds. Can only be inflicted once.
$FLAV_DESC_SLOW	Foe is slowed by <PERCENT>%<EXTRA> for <TIME><EXTRA_TIME> sec.	COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text
$FLAV_DESC_SLOW_SHORT	Foe is slowed temporarily.
$FLAV_DESC_STRIKE_THROUGH	Attack can hit up to <INTI><EXTRA> foes.
$FLAV_DESC_STRIKE_THROUGH_SHORT	Attack can hit multiple foes.
$FLAV_DESC_STUN	Foe can't move for <TIME><EXTRA_TIME> sec.
$FLAV_DESC_STUN_SHORT	Foe can't move temporarily.
$GETSCRAP1	A pile of junk, rags, broken tools, and sharp pieces of jagged, rusted metal.<N><N>Who could possibly want any of this?
$GETSCRAP2	Apparently, denizens of the pit use this junk as currency.
$HERO_BLURB_BAKAL	A soft-spoken old monk, seeking forgiveness for his sins...
$HERO_BLURB_KETTA	A nomad huntress, cynical and world-weary...
$HERO_BLURB_MARKOS	A battle-hardened knight, weary from the endless struggle...
$HERO_BLURB_NIRU	Violent and mysterious, this dragon shares no secrets...
$HERO_BLURB_SLAK	A strange young man, both brave and unstable...
$HERO_BLURB_WRENNA	The last princess of Quaid, hungry to avenge her fallen kingdom...
$LQ	“
$MAP_TEXT_HERMIT	Hermit
$MAP_TEXT_LAIR	Lair
$MAP_TEXT_PRISON	Prison
$MAP_TEXT_SHRINE	Shrine
$MAP_TEXT_TREASURE	Cave
$MAP_TEXT_UNKNOWN	???
$MCGUFFIN_LEARN_SPELL	<MCG> learned a new spell!
$MISC_1_FOE	1 foe
$MISC_1_FRIEND	1 friend
$MISC_ABSORB_X	absorb <X>
$MISC_ABSORB_X_RESIST_Y	absorb <X>, resist <Y>%
$MISC_ACCEPT	accept
$MISC_ACCEPT_AND_CLOSE	Accept & close
$MISC_ACHIEVEMENT!	Achievement!
$MISC_AWARD!	Award
$MISC_ADJUST_REWARDS	100% is the default amount, adjust up or down to change your rewards.
$MISC_ADVANCED	advanced
$MISC_ADVANCED_SHORT	adv.
$MISC_ALL_FOES	All foes in range
$MISC_ALL_FOES_IN	All foes in <TILES> tiles
$MISC_ALL_FRIENDS	All friends in range
$MISC_ALL_FRIENDS_IN	All friends in <TILES> tiles
$MISC_ALL_TARGETS	Targets in range
$MISC_ALL_TARGETS_IN	Targets in <TILES> tiles
$MISC_AMOUNT	amount
$MISC_AMOUNT_SHORT	amount
$MISC_ANONYMOUS	anonymous
$MISC_ARE_YOU_SURE	Are you sure?
$MISC_ARMOR	armor
$MISC_ARMOR_PLURAL	<RE>$MISC_ARMOR
$MISC_ARMOR_SINGULAR	<RE>$MISC_ARMOR
$MISC_ARMOR_SHORT	ARMR
$MISC_ASSIGN_POINTS	Assign<N>Points
$MISC_ATTACK	attack
$MISC_ATTACK_SHORT	ATK
$MISC_BACK	back
$MISC_BASE_ATTACK	base attack
$MISC_BATTLE	Battle
$MISC_BEGIN	begin
$MISC_BONUS	Bonus
$MISC_BONUS_DEFENSE	base defense
$MISC_BOOST	boost
$MISC_BOOST_X	boost <X>
$MISC_BREAK_HERO_MODE_TEXT	You've chosen to play in <LQ>Hero Mode<RQ>, which forbids recruiting generic characters. Leave this mode and recruit a character anyway?
$MISC_BREAK_HERO_MODE_TITLE	Leave Hero Mode?
$MISC_BUY	buy
$MISC_CANCEL	cancel
$MISC_IGNORE	Ignore
$MISC_CANT_AFFORD	Can't Afford
$MISC_CANT_EQUIP!	Can't Equip
$MISC_CASUAL	casual
$MISC_CASUAL_SHORT	casual
$MISC_CHANCE	chance
$MISC_CHANGE	Change
$MISC_CLICK_HERE	click here
$MISC_CLOSE	close
$MISC_COMPLETE	complete
$MISC_COMPLETE!	complete!
$MISC_CONFIG_DIR	Config. folder
$MISC_CONFIRM	confirm
$MISC_CONFIRM_CHANGE	Confirm Change
$MISC_CONFIRM_RECRUIT	Confirm Recruit
$MISC_CONTINUE	continue
$MISC_COST	cost
$MISC_COST:	cost:
$MISC_COUNTER	counter
$MISC_CREDITS	Credits
$MISC_CURRENT_SAVE	Current Save File:
$MISC_CUSTOM_SETTINGS	Customize...
$MISC_DAMAGE	damage
$MISC_DAMAGE_RESIST	DMG resist
$MISC_DAMAGE_SHORT	DMG
$MISC_DARK	dark
$MISC_DARK_DESC	(evades 75% of attacks)
$MISC_DEATH_SPLASH	death splash
$MISC_DEF_SHORT	DEF
$MISC_DEFAULT	Default
$MISC_DEFAULT_SETTINGS	Default (recommended for new players)
$MISC_DEFEAT	Defeat
$MISC_DEFEND	defend
$MISC_DEFENDER	defender
$MISC_DEFENDERS	defenders
$MISC_DEFENSE	defense
$MISC_DEFENSE_ABS	defense
$MISC_DEFENSE_SHORT	DEF
$MISC_DELETE_ACHIEVEMENT	Delete Achievement?
$MISC_DELETE_BOTH_GOG_ACHIEVEMENT	Delete local & GOG achievements
$MISC_DELETE_BOTH_STEAM_ACHIEVEMENT	Delete local & Steam achievements
$MISC_DELETE_LOCAL_ACHIEVEMENT	Delete local achievement only
$MISC_DEMO_VERSION	Demo Version
$MISC_DEMO_VERSION_DESC	This is the public demo of Defender's Quest: Valley of the Forgotten, Deluxe Edition.<N><N>It contains about 20% of the entire game, and lets you export your save files should you choose to buy the full version, so that you don't lose any progress.
$MISC_DESCRIPTION	description
$MISC_DISABLED	disabled
$MISC_DOWNLOAD	download
$MISC_UPLOAD	upload
$MISC_DQ_NEWS	Get NEWS!
$MISC_DQ_SITE	DefendersQuest.com
$MISC_EASIER	easier
$MISC_EASY	normal
$MISC_EASY_SHORT	normal
$MISC_EMPTY	Empty
$MISC_ENABLED	enabled
$MISC_ENEMY_LEVELS	Enemy levels
$MISC_ENTER	enter
$MISC_ENTER_TEXT	Enter Text:
$MISC_EQUIP	equip
$SHOP_EQUIP	<RE>$MISC_EQUIP	The word 'equip' that appears on the button in the shopping screen in towns
$EQUIP_THE_THING	<RE>$MISC_EQUIP	The word 'equip' that appears on the button in the equip menu in the party screen, to actually put the item on your character
$GO_TO_EQUIP_MENU	<RE>$MISC_EQUIP	The word 'equip' that appears on the button in the skills menu in the party screen, to switch to the equip menu
$MISC_SLOT	slot
$MISC_ERROR	error
$MISC_ERROR_INVALID_MOD_NAME	Invalid mod name!
$MISC_ERROR_MOD_BAD	That mod is incompatible with this version of the game. Sorry!
$MISC_ERROR_MOD_EXISTS	A mod with that name already exists!
$MISC_ERROR_UNKNOWN	Unknown error. Sorry!
$MISC_ERROR_UNZIP	Couldn't unzip the mod. Change your mod path in the options menu, or check your hard drive space.
$MISC_ERROR!	error!
$MISC_EVADE	evade
$MISC_EVADE_SHORT	EVA
$MISC_EVASION	evasion
$MISC_EXIT	exit
$MISC_EXPERIENCE	experience
$MISC_EXTREME	extreme
$MISC_EXTREME_SHORT	extr.
$MISC_FAIL_TT_TEXT	How much experience and scrap is withheld from your rewards if you fail a battle.<N>-50% is the default amount, adjust up or down to change the penalty.
$MISC_FAIL_TT_TITLE	<RE>$UI_ACCESS_FAILURE_PENALTY
$MISC_FAST	fast
$MISC_FOE_PLURAL	foes
$MISC_FOE_SINGULAR	foe
$MISC_FRIEND_PLURAL	friends
$MISC_FRIEND_SINGULAR	friend
$MISC_GAIN	gain
$MISC_GAME_DATA	Game Data
$MISC_GOLD	scrap
$MISC_GOLD_TT_TEXT	Scrap (money) you get after a battle.<N><RE>[$MISC_ADJUST_REWARDS]
$MISC_GOLD_TT_TITLE	Scrap
$MISC_GOLD:	scrap:
$MISC_HARD	<RE>$MISC_EXTREME
$MISC_HARD_SHORT	<RE>$MISC_EXTREME_SHORT
$MISC_HARDER	harder
$MISC_HEAL	heal
$MISC_HERO_MODE	Hero Mode
$MISC_HERO_MODE_TEXT	Recruiting generic characters is forbidden.<N>Absolutely NOT recommended for first playthroughs!<N><N>NOTES:<N>You can change your mind later by trying to recruit a character and dismissing the warning that pops up.<N><N>We strongly recommend setting XP and Scrap gain to 300% when using hero mode.<N><N>Finally, this setting isn't required for "Hero Mode" achievements -- the absence of generic characters is enough.
$MISC_HERO_MODE_TEXT_SONY	Recruiting generic characters is forbidden.<N>Absolutely NOT recommended for first playthroughs!<N><N>NOTES:<N>You can change your mind later by trying to recruit a character and dismissing the warning that pops up.<N><N>We strongly recommend setting XP and Scrap gain to 300% when using hero mode.<N><N>Finally, this setting isn't required for "Hero Mode" awards -- the absence of generic characters is enough.
$MISC_HERO_MODE_TITLE	<RE>$MISC_HERO_MODE
$MISC_HIRE	HIRE!
$MISC_HIRE_Q	Hire <NAME> the <CLASS> for<N><SCRAP> scrap?
$MISC_HP	hit points
$MISC_HP_SHORT	HP
$MISC_IMMUNE_TO	Immune to <SOMETHING>
$MISC_INFO	info
$MISC_JOURNAL	Journal
$MISC_LANGUAGES	Languages
$MISC_LEADER	leader
$MISC_LEAVE	leave
$MISC_LEVEL	level
$MISC_LEVEL_SHORT	LVL
$MISC_LEVEL_SHORT_X	LVL <X>
$MISC_LEVEL_PARTY_GEM	Level	Appears on character blocks in the party screen
$MISC_LEVEL_WAVE_BLOCK	Level	Appears on enemy wave blocks in battle
$MISC_LEVEL_SUPER_SHORT	L
$MISC_LEVEL_UP!	LEVEL UP!
$MISC_LEVEL_UPX	LEVEL UPx
$MISC_LEVEL_X	Level <X>
$MISC_LOADING	Loading...
$MISC_LOADING_PERCENT	Loading...<PERCENT>%
$MISC_LOCKED	locked
$MISC_LVLUP	LVLUP
$MISC_MAKE_CHANGE	Make these changes?
$MISC_MAX	MAX
$MISC_MEDIUM	<RE>$MISC_ADVANCED
$MISC_MEDIUM_SHORT	<RE>$MISC_ADVANCED_SHORT
$MISC_MENU	menu
$MISC_PAUSE	pause
$MISC_MISS	miss
$MISC_MODS	Mods
$MISC_MORE	more...	COMMENT: moves the 'cycle defenders' text and associated buttons
$MISC_MOVIES	Movies
$MISC_NEED_PSI	NEED<N>PSI
$MISC_NEW_GAME_SETTINGS	New Game Settings
$MISC_NEXT	next
$MISC_NO	no
$MISC_NO_AFFORD	CAN'T AFFORD
$MISC_NO_CHANGE	no change
$MISC_NO_HARDWARE	Your system does not support hardware acceleration. The game will still run, but you might want to turn down the graphics settings if it seems slow.
$MISC_NOBODY	Nobody
$MISC_NOM!	NOM!
$MISC_NONE	none
$MISC_NONE_DEFAULT	None *
$MISC_NORMAL	normal
$MISC_NORMAL_SHORT	normal
$MISC_NOTHING	nothing
$MISC_NOTHING_TO_EQUIP	Nothing to equip!
$MISC_NOTHING!	nothing!
$MISC_OF_DAMAGE	of DMG
$MISC_OK	ok
$MISC_OKAY	okay
$MISC_OPTIONS	Options
$MISC_OTHER	Other
$MISC_PARTY	Party
$MISC_PASS	pass
$MISC_PERFECT	perfect
$MISC_PERFECT_BONUS	Perfect Bonus:
$MISC_PERFECT!	perfect!
$MISC_PHASES	phases
$MISC_PLEASE_ENTER_A_NAME!	Please enter a name!
$MISC_PLEASE_WAIT	Please Wait...
$MISC_PLUS_X_STAT	<PLUS><X> <STAT>
$MISC_PLUS_X_TO_ARMOR_ABS	<PLUS_OR_MINUS><X> to ARMOR
$MISC_PLUS_X_TO_ATTACK	<PLUS_OR_MINUS><X> to ATTACK
$MISC_PLUS_X_TO_ATTACK_SPEED	<PLUS_OR_MINUS><X> to SPEED
$MISC_PLUS_X_TO_DEFENSE_ABS	<PLUS_OR_MINUS><X> to DEFENSE
$MISC_PLUS_X_TO_HP	<PLUS_OR_MINUS><X> to HP
$MISC_PLUS_X_TO_RANGE	<PLUS_OR_MINUS><X> to RANGE
$MISC_PLUS_X_TO_REGEN_ABS	<PLUS_OR_MINUS><X> to REGENERATION
$MISC_PLUS_X%_TO_ARMOR_MULT	<PLUS_OR_MINUS><X> to ARMOR_MULT
$MISC_PLUS_X%_TO_DEFENSE_MULT	<PLUS_OR_MINUS><X>% to DEFENSE
$MISC_PLUS_X%_TO_DODGE	<PLUS_OR_MINUS><X> to EVASION
$MISC_PLUS_X%_TO_EVADE	<RE>$MISC_PLUS_X%_TO_DODGE
$MISC_PLUS_X%_TO_REGEN_MULT	<PLUS_OR_MINUS><X>% to REGENERATION
$MISC_PORCUPINE	thorns
$MISC_PREV	prev
$MISC_PREVIOUS	previous
$MISC_PROBLEM?	problem?
$MISC_PSI	psi
$MISC_PSI_SHORT	psi
$MISC_CHANGE_USER	Change User
$MISC_WRONG_USER	Something is wrong with the current signed in user.
$MISC_SIGN_IN	Sign in
$MISC_QUIT	quit
$MISC_QUIT	quit
$MISC_QUIT_BATTLE	quit battle
$MISC_RANDOM	random
$MISC_RANGE	range
$MISC_RANGE_SHORT	RNG
$MISC_RECRUIT	recruit
$MISC_REFUSE	refuse
$MISC_REGEN	regen
$MISC_REGEN_LONG	regeneration
$MISC_REGEN_SHORT	REG
$MISC_RESET	Reset
$MISC_RESIST	resist <SOMETHING>
$MISC_RESIST_X	resist <X>%
$MISC_RESTART	restart
$MISC_RESTART?	Restart?
$MISC_RESTORE_DEFAULTS	Restore Defaults
$MISC_RESTORE_DEFAULTS_2	<RE>$MISC_RESTORE_DEFAULTS
$MISC_REWARD	Reward:
$MISC_SAVE_DATA	Save Data
$MISC_SAVE_ERROR_TEXT	Autosave just failed, check your file permissions?<N>We'll try again later.
$MISC_SAVE_ERROR_TITLE	Autosave Error!
$MISC_SAVE_FIXED_TEXT	Autosave succeeded, looks like you fixed whatever was wrong.<N>We'll shut up now.
$MISC_SAVE_FIXED_TITLE	Autosave Working!
$MISC_SAVED	saved
$MISC_SAVED!	Saved!
$MISC_SCRAP	scrap
$MISC_SECOND	second
$MISC_SECOND_SHORT	sec
$MISC_X_SECOND_SHORT	<X> sec
$MISC_SECONDS	seconds
$MISC_SECONDS_SHORT	secs
$MISC_SELECT	Select
$MISC_SELECT_CHALLENGE	Select Challenge:
$MISC_SELL	sell
$MISC_SEND_NEXT	Send NEXT
$MISC_SKILL	skill
$MISC_SKILLS	skills
$MISC_INSPECT	inspect
$MISC_SKIP	skip
$UI_GAMEPLAY_SKIP	<RE>$MISC_SKIP
$MISC_SLOW	slow
$MISC_SPAWNS	spawns
$MISC_SPECIAL	special
$MISC_SPEED	speed
$MISC_SPEED_SHORT	SPD
$MISC_SPELL	spell
$MISC_SPLASH_DAMAGE	Splash
$MISC_SPLASH_LINE	<AMT> dmg, <TILES> tiles
$MISC_SPLASH_TILES	tiles
$MISC_STATS	stats
$MISC_STATUS	status
$MISC_STRANGER	stranger
$MISC_STRENGTHS	strengths
$MISC_SWIMS	swims
$MISC_TALK	talk
$MISC_THORNS	thorns
$MISC_THRESHOLD	threshold
$MISC_TIPS	Tips
$MISC_TO	to
$MISC_TOWN	Town
$MISC_TRY_AGAIN	Try Again
$MISC_TYPES	Types
$MISC_UNDO	undo
$MISC_UNDO_ALL	undo all
$MISC_UNEQUIP	unequip
$MISC_UNIQUE	unique
$MISC_UNKNOWN	unknown
$MISC_UNSAVED	unsaved
$MISC_UP_TO_X_FOES	Up to <NUM> <FOE>
$MISC_UP_TO_X_FRIENDS	Up to <NUM> <FRIEND>
$MISC_UPGRADE	upgrade
$MISC_VERSUS	versus
$MISC_VICTORY	Victory
$MISC_VS	vs
$MISC_WAIT	WAIT
$MISC_WALKS_ON	walks on
$MISC_WARNING	Warning!
$MISC_WAVE_X	Wave <X>
$MISC_WAVES	Waves
$MISC_WEAKNESSES	weaknesses
$MISC_WEAPON_SINGULAR	weapon
$MISC_WEAPON	<RE>$MISC_WEAPONS
$MISC_WEAPONS	weapons
$MISC_WEAPON_PLURAL	<RE>$MISC_WEAPONS
$MISC_ACCESSORY_SINGULAR	<RE>$MISC_ACCESSORY
$MISC_ACCESSORY	accessory
$MISC_ACCESSORIES	accessories
$MISC_ACCESSORY_PLURAL	<RE>$MISC_ACCESSORIES
$MISC_X_FOES	<NUM> foes
$MISC_X_FRIENDS	<NUM> friends
$MISC_X_HITS_FOE	<NUM> per foe
$MISC_X_HITS_FRIEND	<NUM> per friend
$MISC_X_HITS_TARGET	<NUM> per target
$MISC_X_HITS_TOTAL	<NUM> total
$MISC_X_MORE	<X> more...
$MISC_X_PSI	<X> PSI
$MISC_XP	xp
$MISC_XP_TT_TEXT	Experience points you get after a battle.<N><RE>[$MISC_ADJUST_REWARDS]
$MISC_XP_TT_TITLE	Experience
$MISC_YES	yes
$MISC_YOU_SURE	Are you sure?
$NEW_GAME_PLUS_NOTE	Go to the save screen and select NEW GAME+ on your old save slot.
$PARTY_1_NEW_ACHIEVE	1 new achievement!
$PARTY_ACHIEVE_PLURAL	achievements
$PARTY_ACHIEVE_SINGULAR	achievement
$PARTY_ATTACK	Attack:<T>
$PARTY_CANT_ARMOR	Can't<N>use<N>ARMOR
$PARTY_CANT_WEAPON	Can't<N>use<N>WEAPONS
$PARTY_CHANGE_NAME	Rename
$PARTY_CHARACTER	character
$PARTY_CHARACTERS	characters
$PARTY_CONFIRM_CHANGES	Confirm Changes
$PARTY_CONFIRM_POINTS_1_1	Permanently assign 1 skill point to 1 character?
$PARTY_CONFIRM_POINTS_1_X	Permanently assign 1 skill point to <CHARS> characters?
$PARTY_CONFIRM_POINTS_TITLE	Confirm Skill Points
$PARTY_CONFIRM_POINTS_X_1	Permanently assign <POINTS> skill points to 1 character?
$PARTY_CONFIRM_POINTS_X_X	Permanently assign <POINTS> skill points to <CHARS> characters?
$PARTY_DEFEATED_WAVE_X	Defeated wave <X>
$PARTY_DEFEND	Defend:<T>
$PARTY_EVADE	Evade:<T>
$PARTY_FAIL_PENALTY	Fail penalty
$PARTY_FAILED	Level Failed!
$PARTY_FAILED_DESC	<MCG> was slain.
$PARTY_FROM_BATTLE	From battle
