"flag","nick_name","flavor_name","flavor_text",
"$EN_ARMORED APC_LOWXP_PLUS","CUIRASSÉ DIVISEUR+","Bête Cuirassée+","Hôte d'Engeance Cuirassé|Une carapace géante protège cette monstrueuse masse de chair digérée. On la soupçonne d'être totalement dépourvue d'os.",
"$EN_DOUBLE APC_LOWXP_PLUS","DOUBLE DIVISEUR+","Abomination+","Hôte d'Engeance Diviseur|Ce monstre étrange est à la fois décoloré et bouffi. Que cela peut-il signifier ?",
"$EN_ARMORED RANGED ATTACKER_LOWXP_PLUS","À DISTANCE+","Chevalier Vipère+","Revenant Cracheur|Au fil des semaines, un étrange processus semble digérer et transformer le corps des Revenants.
Des témoins affirment avoir été attaqués par des « hommes-serpent » dépourvus d'yeux et crachant une bile nauséabonde.",
"$EN_RANGED ATTACKER_LOWXP_PLUS","À DISTANCE+","Goule Vipère+","Revenant Cracheur|Au fil des semaines, un étrange processus semble digérer et transformer le corps des Revenants.
Des témoins affirment avoir été attaqués par des « hommes-serpent » dépourvus d'yeux et crachant une bile nauséabonde.",
"$EN_RANGED ATTACKER_W_LOWXP_PLUS","À DISTANCE+","Goule Serpent+","Revenant Cracheur Aquatique|Au fil des semaines, un étrange processus semble digérer et transformer le corps des Revenants.
Des témoins affirment avoir été attaqués par des « hommes-serpent » dépourvus d'yeux et crachant une bile nauséabonde.",
"$EN_DARK_LOWXP_PLUS","OBSCUR+","Ver des Ombres+","Engeance Noire Rapide|Ces vers sont enveloppés dans une épaisse brume noire qui les rend quasiment impossibles à toucher.",
"$EN_BRUTE_LOWXP_PLUS","CORIACE+","Ver de la Mort+","Engeance Coriace de Revenant|Ces créatures pâles apparentées à des vers se déplacent lentement, et sont dotées d'une peau cuireuse robuste à la place de l'habituelle membrane extérieure fragile.
Bien que faciles à distancer, elles triomphent en général de leurs proies en les poursuivant sans relâche, jusqu'à l'épuisement.",
"$EN_CULTIST_NOATTACK_LOWXP_PLUS","PRÉDICATEUR+","Prédicateur+","Sanguinaire Transmuté|Le Culte des Sanguinaires a pris naissance au sein d'une secte nomade réputée pour ses cérémonies sanglantes.
Lorsque cette religion a évolué vers la vénération hénothéiste de la divinité Eztli-Tenoch, ses disciples se sont mis à attaquer les autres tribus.
Le plus gros de ce que l'on sait d'eux nous a été transmis par les survivants du massacre de la tribu Geka. Il est souvent fait mention de leur capacité à se transformer en Revenants à volonté.",
"$EN_APC_NOATTACK_LOWXP_PLUS","DIVISEUR+","Monstruosité+","Hôte d'Engeance|Ces cadavres bouffis peuvent à peine se déplacer et semblent prêts à éclater à tout instant.
Plusieurs bouches garnies de crocs émergent de leurs flancs. Ils sont également trop gros pour être repoussés ou dévorés.",
"$EN_SHEEP_LOWXP_PLUS","MOUTON+","Mouton+","Délicieux Mammifère|Les Dragons peuvent rester des années sans manger, mais lorsqu'ils se nourrissent, ils peuvent engloutir plusieurs fois leur propre poids en une seule journée. Ce fait représente une source d'inconfort majeure pour les bergers nomades et pour leurs troupeaux.",
"$EN_PSI SHEEP_LOWXP_PLUS","MOUTON+","Mouton+","Délicieux Mammifère|Les Dragons peuvent rester des années sans manger, mais lorsqu'ils se nourrissent, ils peuvent engloutir plusieurs fois leur propre poids en une seule journée. Ce fait représente une source d'inconfort majeure pour les bergers nomades et pour leurs troupeaux.",
"$EN_SPEEDY SHEEP_LOWXP_PLUS","MOUTON RAPIDE+","Mouton Rapide+","Délicieux Mammifère Rapide|Certains moutons ont su s'adapter aux conditions hostiles de la Fosse en développant des muscles hautement spécialisés à contraction rapide. Ils ne leur sont pas très utiles pour échapper aux Dragons, mais ils leur permettent au moins de distancer les autres moutons.",
"$EN_NORMAL_SQ7_PLUS","NORMAL+","Revenant++","Cadavre réanimé|Dans la Fosse, les cadavres se relèvent souvent plusieurs jours après leur mort.
Ces monstres sont appelés des « Revenants ».",
"$EN_SPEEDY_SQ7_PLUS","RAPIDE+","Ver++","Engeance Rapide de Revenant|Ces sortes de vers très rapides sont dotés de plusieurs rangées de crocs acérés.
De nombreux témoins prétendent les avoir vus surgir du corps de gros Revenants enflés, après des semaines de putréfaction.",
"$EN_ARMORED_SQ7_PLUS","CUIRASSÉ+","Chevalier Déchu++","Revenant Cuirassé|Ces Revenants sont d'anciens Chevaliers ayant péri au combat.
Bien qu'ils n'aient rien conservé de l'intelligence et des compétences dont ils bénéficiaient de leur vivant, ils ont toujours leur armure.",
"$EN_ATTACKER_W_SQ7_PLUS","COMBATTANT+","Goule des Rivières++","Revenant Combattant Aquatique|Les récits de cadavres puants surgissant des eaux pour attaquer les villageois assoiffés abondent dans la Fosse.
Personne ne part jamais chercher de l'eau tout seul, et seuls les fous s'aventurent à piquer une tête...",
"$EN_APC_SQ7_PLUS","DIVISEUR+","Monstruosité++","Hôte d'Engeance|Ces cadavres bouffis peuvent à peine se déplacer et semblent prêts à éclater à tout instant.
Plusieurs bouches garnies de crocs émergent de leurs flancs. Ils sont également trop gros pour être repoussés ou dévorés.",
"$EN_ARMORED ATTACKER_SQ7_PLUS","COMBATTANT+","Chevalier Fou++","Revenant Combattant Cuirassé|Ces Chevaliers déchus sont aussi forts que vicieux.
Leurs hurlements inhumains résonnent à travers les catacombes et vont se perdre dans le désert.",
"$EN_DARK_SQ7_PLUS","OBSCUR+","Ver des Ombres++","Engeance Noire Rapide|Ces vers sont enveloppés dans une épaisse brume noire qui les rend quasiment impossibles à toucher.",
"$EN_ARMORED SPEEDY_SQ7_PLUS","RAPIDE+","Ver Cuirassé++","Engeance Rapide Cuirassée|Ces vers ont développé une épaisse carapace. Une théorie voudrait que cette cuirasse soit composée des os digérés du cadavre originel.",
"$EN_RANGED ATTACKER_W_SQ7_PLUS","À DISTANCE+","Goule Serpent++","Revenant Cracheur Aquatique|Au fil des semaines, un étrange processus semble digérer et transformer le corps des Revenants.
Des témoins affirment avoir été attaqués par des « hommes-serpent » dépourvus d'yeux et crachant une bile nauséabonde.",
"$EN_BRUTE_SQ7_PLUS","CORIACE+","Ver de la Mort++","Engeance Coriace de Revenant|Ces créatures pâles apparentées à des vers se déplacent lentement, et sont dotées d'une peau cuireuse robuste à la place de l'habituelle membrane extérieure fragile.
Bien que faciles à distancer, elles triomphent en général de leurs proies en les poursuivant sans relâche, jusqu'à l'épuisement.",
"$EN_CULTIST_SQ7_PLUS","PRÊTRE+","Prédicateur++","Prêtre Sanguinaire|Le Culte des Sanguinaires a pris naissance au sein d'une secte nomade réputée pour ses cérémonies sanglantes.
Lorsque cette religion a évolué vers la vénération hénothéiste de la divinité Eztli-Tenoch, ses disciples se sont mis à attaquer les autres tribus.
Le plus gros de ce que l'on sait d'eux nous a été transmis par les survivants du massacre de la tribu Geka. Il est souvent fait mention de leur capacité à se transformer en Revenants à volonté.",
"$EN_SHEEP_SQ7_PLUS","MOUTON+","Mouton++","Délicieux Mammifère|Les Dragons peuvent rester des années sans manger, mais lorsqu'ils se nourrissent, ils peuvent engloutir plusieurs fois leur propre poids en une seule journée. Ce fait représente une source d'inconfort majeure pour les bergers nomades et pour leurs troupeaux.",
"$END","",""
