flag	name	description
$ITM_A_HEAVY_11	Zbroj Lorda Wardena	Insignie na této kvalitní plátove zbroji značí, že jejím majitelem byl Lord Warden, ashský úředník pověřený dohledem nad Jámou. Jak se mohlo stát, že se ztratil ve vlastním vězení, to se neví, ale krvavé skvrny na vnitřních popruzích dávají tušit, že to nebylo nic hezkého.
$ITM_A_HEAVY_12	Ocelová zbroj	Složitě tvarované ocelové pláty připevněné na kožené zbroji nabízejí výbornou ochranu a přitom neomezují v pohybu. Oblíbená zbroj ashských rytířů.
$ITM_A_HEAVY_13	Čistota Plamene	Tato příkladně vyleštěná plátová zbroj odráží světlo s až pekelnou intenzitou. Sotva znatelné rytiny jsou quaidské nápisy, ale v tak prastarém nářečí, že pochopit lze pouze ''ten, jenž pohlcuje''.  Tenhle hrudní plát byl pravděpodobně již mnohokrát repasován - zbytek zbroje je zjevně mnohem modernější. Kryptické piktogramy snad naznačují nějakou roli v Císařském Rituálu Ohně.
$ITM_A_HEAVY_14	Strážce Fontány	Tahle mistrně zpracovaná plátová zbroj získala modřením téměř černou barvu. Zlatem vykládaná přední strana ukazuje Fontánu z ashského Chrámu, takže tohle úžasné brnění nejspíše patřilo některému ze členů elitní chrámové stráže. Těžko vysvětlit, jak se takovýhle cenný kousek vůbec dostal do Jámy.
$ITM_A_HEAVY_15	Sláva Válce+	Tohle speciální quaidské brnění je opravdu stylové a luxusní. Každý kroužek je nabarvený na modro a poslední řada je pozlacená. Přidané pláty jsou zdobené zlacenými motivy císařské rodiny. Do brnění je vyškrábán nápis v quaidštině ''jak pozdě je na tyto věci myslet''.  Další slova jsou naškrábána v rozích, ale pravděpodobně byla ryta ve spěchu a jsou nečitelná.
$ITM_A_HEAVY_16	Jezdecká lamelová zbroj+	Tahle dobře ušitá lamelová zbroj má zvětšenou ochranu ramen a stehenní pláty prodloužené až přes kolena, takže byla zjevně používána těžkou jízdou. Zlatem vykládaná předloktí a hedvábný kabátec svědčí o tom, že předchozí majitel oplýval bohatstvím stejně jako vkusem. Některé pláty jsou zdobeny rytými nápisy v jakémsi cizím jazyce. Podle jejich umístění poblíž srdce se pravděpodobně jedná o ochranná zaříkadla, ale jistě to nikdo nemůže říct.
$ITM_A_HEAVY_17	Zrádcova zbroj+	Vykládané nárameníky na tomto plátovém brnění z Ashe značí, že jeho majitelem byl vysoký důstojník. Brnění je zachovalé, ale ashské slovo pro ''zrádce'' bylo do látky vyryto tak silně, že je pořád vidět. I přes červené barvivo jsou vidět velké krvavé skrvny, ačkoliv brnění nenese žádné stopy po velkém poškození.
$ITM_A_HEAVY_18	Wocolanova Síla+	Tato zbroj kombinuje zelený samet s velikými naleštěnými nárameníky, typickými pro quaidskou těžkou pěchotu. Zlatem vykládáný znak zobrazuje quaidského hrdinu Wocolana, kterak holýma rukama drtí medvědovi hlavu, a jeho děti Wastana a Wacellu, které pijí krev proudící z medvědova krku, aby přežily dlouhý a náročný pochod do vyhnanství.
$ITM_A_HEAVY_19	Zbroj Lorda Wardena+	Insignie na této kvalitní plátove zbroji značí, že jejím majitelem byl Lord Warden, ashský úředník pověřený dohledem nad Jámou. Jak se mohlo stát, že se ztratil ve vlastním vězení, to se neví, ale krvavé skvrny na vnitřních popruzích dávají tušit, že to nebylo nic hezkého.
$ITM_A_HEAVY_20	Čistota Plamene+	Tato příkladně vyleštěná plátová zbroj odráží světlo s až pekelnou intenzitou. Sotva znatelné rytiny jsou quaidské nápisy, ale v tak prastarém nářečí, že pochopit lze pouze ''ten, jenž pohlcuje''.  Tenhle hrudní plát byl pravděpodobně již mnohokrát repasován - zbytek zbroje je zjevně mnohem modernější. Kryptické piktogramy snad naznačují nějakou roli v Císařském Rituálu Ohně.
$ITM_A_HEAVY_21	Strážce Fontány+	Tahle mistrně zpracovaná plátová zbroj získala modřením téměř černou barvu. Zlatem vykládaná přední strana ukazuje Fontánu z ashského Chrámu, takže tohle úžasné brnění nejspíše patřilo některému ze členů elitní chrámové stráže. Těžko vysvětlit, jak se takovýhle cenný kousek vůbec dostal do Jámy.
$ITM_A_HEAVY_22	Kabátec s plechy+	Lehký kabátec vylepšený spojenými železnými díly na ochranu paží z vnější strany.
$ITM_A_HEAVY_23	Kroužková košile+	Košile ze stovek vzájemně propletených železných kroužků, každý zvlášť snýtovaný.
$ITM_A_HEAVY_24	Obrněná košile+	Kroužková košile doplněná o železné pláty pro vyšší ochranu těla. Standardní brnění quaidské pěchoty během války.
$ITM_A_HEAVY_25	Lamelová zbroj+	Spousty malých železných plátků spojených pevnými hedvábnými provazy.
$ITM_A_HEAVY_26	Plátovaný kabátec+	Výborná ochrana těla je dosažena použitím velkých a těžkých železných plátů, které jsou přinýtovány zevnitř ke kabátu z velmi pevného plátna.
$ITM_A_HEAVY_27	Plátová zbroj+	Stovky železných plátků přinýtovaných zevnitř ke kombinaci plátna, hedvábí a sametu tvoří ochranu dobře padnoucí na tělo.
$ITM_A_HEAVY_28	Ocelová zbroj+	Složitě tvarované ocelové pláty připevněné na kožené zbroji nabízejí výbornou ochranu a přitom neomezují v pohybu. Oblíbená zbroj ashských rytířů.
$ITM_A_SKULL_1	Kamenná lebka	Vyleštěná lebka z kamene. Dle některých je to magický talisman, který si navrátilci berou do boje. Mezi odborníky panuje shoda, že to půjde vyměnit za něco opravdu super.
$ITM_A_SKULL_2	Bronzová lebka	Odlitá z bronzu, pravděpodobně používaná při speciálních zaříkadlech a obřadech. Rozhodně je cennější než kamenná.
$ITM_A_SKULL_3	Obsidiánová lebka	Pracně vyřezaná z obsidiánu, až děsive dokonalá do posledního detailu. Velmi vzácná a poptávaná sběrateli.
$ITM_A_SKULL_4	Stříbrná lebka	Tahle lebka je z ryzího stříbra. K čemu může být dobrá?
$ITM_A_SKULL_5	Zlatá lebka	Tahle lebka je z ryzího zlata. K čemu může být dobrá?
$ITM_A_SKULL_6	Lebka z nezískatia	Jak název napovídá, nezískatium je nezískatelné. Nosíš to ssebou vlastně už od začátku, ale až teď to víš.
$ITM_W_SWORD_1	Kamenná kudla	Ostrý kus kamene s dřevěnou rukojetí. Lepší než nic.
$ITM_W_SWORD_2	Železná kudla	Čepel ze železného odpadu. Primitivní, ale efektivní.
$ITM_W_SWORD_3	Rezavý meč	Rezavý, omlácený meč. Takovýchle odhozených zbraní seženete v Jámě spousty skoro za hubičku.
$ITM_W_SWORD_4	Pohár krevní msty	Tenhle nomádský bojový nůž je vyzdoben symboly kmene Gasta a další, neznámé, rodové skupiny, se kterou kdysi Gastové vedli nesmiřitelný boj. Na kostěném držadle je 17 zářezů.
$ITM_W_SWORD_5	Železný meč	Jednoduchý železný meč. Není dobře vyvážený, z nekvalitního železa, ale v dobrém stavu.
$ITM_W_SWORD_6	Čestná pomsta	Zdobená jantarová rukojeť budí falešné zdání, že tenhle quaidský soubojový meč je jen na parádu. Rytina na spodku čepele říká: ''Msta čestných. Plamen ve mně plane.''.  Nejspíše byl tenhle meč vyrobený pro konkrétní duel, který rozhodoval spor o čest mezi dvěma šlechtici.
$ITM_W_SWORD_7	Vojenský meč	Armádní zbraň, za války vyráběná v obrovském množství. Efektivní a odolná.
$ITM_W_SWORD_8	Ostří Řádu	Tahle čepel z Ashe má po celé délce vyrytý prastarý nápis: ''Jsem Ostří Ŕádu. Odděluji správné od špatného, temnotu od světla. Vedu paži, která mne drží, do ... ''. Generace leštění a bojů učinily zbytek textu nečitelným.
$ITM_W_SWORD_9	Důstojnický meč	Další památka na válku, jednoruční meč pro důstojníka.
$ITM_W_SWORD_10	Velitel Legií	Elegantní a přitom jednoduchá konstrukce z Ashe naznačuje, že tahle zbraň byla vyrobena pro skromného šlechtice. Na jedné straně rukojeti je vyryto 'Velitel Legií' a na druhé 'Sluha Nehnutého Hybatele'. Oválný jílec je z jedné strany zdoben sférami nebeského stroje a z druhé rytinou poutníka pijícího z Fontány Chrámu v Ashi.
$ITM_W_SWORD_11	Mistrův meč	Perfektně vyvážený, dokonale ukovaný, tomuhle meči se nic nevyrovná.
$ITM_W_SWORD_12	Plamenné oko	Tenhle bezkonkurenční meč má ve žlábku vyrytý starý quaidský nápis. Díky starému dialektu a opotřebování se toho už moc nedá přečíst: ''Pohleďte... Plamenné oko...Sláva...prchněte, ostudní...královská věc...'' Na hlavici se skví dva obrovské rubíny, jež se zdají jakoby hořet zevnítř. Litý jílec zobrazuje Zeď vzpomínek, kde jsou vyznačena jména všech čestných quaidských císařů. Tahle pozoruhodná zbraň téměř jistě patřila členovi královské rodiny.
$ITM_W_SWORD_13	Evni	Sen každého berserka. Na světě existuje pouze jediný - a cena tomu odpovídá.
$ITM_W_SWORD_14	Pohár krevní msty+	Tenhle nomádský bojový nůž je vyzdoben symboly kmene Gasta a další, neznámé, rodové skupiny, se kterou kdysi Gastové vedli nesmiřitelný boj. Na kostěném držadle je 17 zářezů.
$ITM_W_SWORD_15	Čestná pomsta+	Zdobená jantarová rukojeť budí falešné zdání, že tenhle quaidský soubojový meč je jen na parádu. Rytina na spodku čepele říká: ''Msta čestných. Plamen ve mně plane.''.  Nejspíše byl tenhle meč vyrobený pro konkrétní duel, který rozhodoval spor o čest mezi dvěma šlechtici.
$ITM_W_SWORD_16	Ostří Řádu+	Tahle čepel z Ashe má po celé délce vyrytý prastarý nápis: ''Jsem Ostří Ŕádu. Odděluji správné od špatného, temnotu od světla. Vedu paži, která mne drží, do ... ''. Generace leštění a bojů učinily zbytek textu nečitelným.
$ITM_W_SWORD_17	Velitel Legií+	Elegantní a přitom jednoduchá konstrukce z Ashe naznačuje, že tahle zbraň byla vyrobena pro skromného šlechtice. Na jedné straně rukojeti je vyryto 'Velitel Legií' a na druhé 'Sluha Nehnutého Hybatele'. Oválný jílec je z jedné strany zdoben sférami nebeského stroje a z druhé rytinou poutníka pijícího z Fontány Chrámu v Ashi.
$ITM_W_SWORD_18	Plamenné oko+	Tenhle bezkonkurenční meč má ve žlábku vyrytý starý quaidský nápis. Díky starému dialektu a opotřebování se toho už moc nedá přečíst: ''Pohleďte... Plamenné oko...Sláva...prchněte, ostudní...královská věc...'' Na hlavici se skví dva obrovské rubíny, jež se zdají jakoby hořet zevnítř. Litý jílec zobrazuje Zeď vzpomínek, kde jsou vyznačena jména všech čestných quaidských císařů. Tahle pozoruhodná zbraň téměř jistě patřila členovi královské rodiny.
$ITM_W_SWORD_19	Evni+	Sen každého berserka. Na světě existuje pouze jediný - a cena tomu odpovídá.
$ITM_W_SWORD_20	Kamenná kudla+	Ostrý kus kamene s dřevěnou rukojetí. Lepší než nic.
$ITM_W_SWORD_21	Železná kudla+	Čepel ze železného odpadu. Primitivní, ale efektivní.
$ITM_W_SWORD_22	Rezavý meč+	Rezavý, omlácený meč. Takovýchle odhozených zbraní seženete v Jámě spousty skoro za hubičku.
$ITM_W_SWORD_23	Železný meč+	Jednoduchý železný meč. Není dobře vyvážený, z nekvalitního železa, ale v dobrém stavu.
$ITM_W_SWORD_24	Vojenský meč+	Armádní zbraň, za války vyráběná v obrovském množství. Efektivní a odolná.
$ITM_W_SWORD_25	Důstojnický meč+	Další památka na válku, jednoruční meč pro důstojníka.
$ITM_W_SWORD_26	Mistrův meč+	Perfektně vyvážený, dokonale ukovaný, tomuhle meči se nic nevyrovná.
$ITM_W_BOW_1	Zelený luk	Jednoduchý luk z mladého dřeva, s dřevěnými šípy.
$ITM_W_BOW_2	Dřevěný luk	Luk ze dřeva, se šípy s kamennou špičkou.
$ITM_W_BOW_3	Lovec Válečník	Tenhle nomádský lovecký luk zjevně odvedl kus práce i ve válce. Přes nomádský symbol pro 'dobrý lov' byl namalován symbol pro 'smrt'. Na vnitřní straně luku je vyobrazen rodinný bůh Sdeka držící useknutou hlavu. Červené pruhy na koncích luku symbolizující vítězství jsou důkazem, že luk posloužil v nějakém dávno zapomenutém konfliktu.
$ITM_W_BOW_4	Lovecký luk	Silný luk z tisového dřeva, se šípy s kamennou špičkou.
$ITM_W_BOW_5	Relikvie Severu	Tenhle krásný lovecký luk je vyroben ze dřeva bílé břízy. Modré kožené držadlo je omotáno zlatým drátem a na koncích luku se vlní prapodivné nápisy, možná některý ze zapomenutých jazyků Severních městských států. Nomádský znak rodiny Kedů na boku luku vysvětluje, jak se zbraň dostala daleko na jih.
$ITM_W_BOW_6	Rohový luk	Silný luk vyřezaný z jeleního paroží.
$ITM_W_BOW_7	Kapitánův válečný luk	Tenhle válečný luk z Ashe je tvořen několika lepenými vrstvami vzácných dřev. Na držadle je kresba ozubeného kola a zlatý nápis ''Kapitán Zantimon, obránce cesty, vůdce jedné z mnohých patrol, které chránily poutníky na cestě do Chrámu v Ashi před bandity a nomádskými nájezdníky.
$ITM_W_BOW_8	Velký rohový luk	Prastarý luk vyřezaný z obřího jeleního paroží.
$ITM_W_BOW_9	Vojevůdcův triumf	Tento perfektně vyrobený reflexní luk je vyzdoben zlatými prstenci a jasně barevnou kůží. Vyřezávané držadlo zobrazuje vítězného vojevůdce stojícího na hromadě zabitých nepřátel. Božstva zobrazená nad ním mu žehnají. Tahle zbraň zjevně patřila bohatému a úspěšnému nomádskému náčelníkovi.
$ITM_W_BOW_10	Kompozitní válečný luk	Tenhle kompozitní luk z několika různých dřev nejspíše patřil nějakému důstojníkovi.
$ITM_W_BOW_11	Pozlacená smrt	Tento válečný luk s konci vyřezanými z rohoviny je vyzdoben spoustou zlatých prstenců. Kožené držadlo nese prastarý quaidský nápis: ''Lucawane, ty, který jsi zavraždil čest pro trochu lesklého zlata, zři ve zlatě této zbraně svoji smrt. Můj šíp si tě najde a tvoje zrádcovské tělo promění v potravu pro psy a červy.'' Pod tímto nápisem je v kůži ručně vyryto ''a tak se stalo.''
$ITM_W_BOW_12	Zesílený dlouhý luk	Vyroben ze silného dubu, tenhle luk vyžaduje velkou sílu, ale jeho zásahy jsou smrtící.
$ITM_W_BOW_13	Lovec Válečník+	Tenhle nomádský lovecký luk zjevně odvedl kus práce i ve válce. Přes nomádský symbol pro ''dobrý lov'' byl namalován symbol pro ''smrt''. Na vnitřní straně luku je vyobrazen rodinný bůh Sdeka držící useknutou hlavu. Červené pruhy na koncích luku symbolizující vítězství jsou důkazem, že luk posloužil v nějakém dávno zapomenutém konfliktu.
$ITM_W_BOW_14	Relikvie Severu+	Tenhle krásný lovecký luk je vyroben ze dřeva bílé břízy. Modré kožené držadlo je omotáno zlatým drátem a na koncích luku se vlní prapodivné nápisy, možná některý ze zapomenutých jazyků Severních městských států. Nomádský znak rodiny Kedů na boku luku vysvětluje, jak se zbraň dostala daleko na jih.
$ITM_W_BOW_15	Kapitánův válečný luk+	Tenhle válečný luk z Ashe je tvořen několika lepenými vrstvami vzácných dřev. Na držadle je kresba ozubeného kola a zlatý nápis ''Kapitán Zantimon, obránce cesty, vůdce jedné z mnohých patrol, které chránily poutníky na cestě do Chrámu v Ashi před bandity a nomádskými nájezdníky.
$ITM_W_BOW_16	Vojevůdcův triumf+	Tento perfektně vyrobený reflexní luk je vyzdoben zlatými prstenci a jasně barevnou kůží. Vyřezávané držadlo zobrazuje vítězného vojevůdce stojícího na hromadě zabitých nepřátel. Božstva zobrazená nad ním mu žehnají. Tahle zbraň zjevně patřila bohatému a úspěšnému nomádskému náčelníkovi.
$ITM_W_BOW_17	Pozlacená smrt+	Tento válečný luk s konci vyřezanými z rohoviny je vyzdoben spoustou zlatých prstenců. Kožené držadlo nese prastarý quaidský nápis: ''Lucawane, ty, který jsi zavraždil čest pro trochu lesklého zlata, zři ve zlatě této zbraně svoji smrt. Můj šíp si tě najde a tvoje zrádcovské tělo promění v potravu pro psy a červy.'' Pod tímto nápisem je v kůži ručně vyryto ''a tak se stalo.''
$ITM_W_BOW_18	Zelený luk+	Jednoduchý luk z mladého dřeva, s dřevěnými šípy.
$ITM_W_BOW_19	Dřevěný luk+	Luk ze dřeva, se šípy s kamennou špičkou.
$ITM_W_BOW_20	Lovecký luk+	Silný luk z tisového dřeva, se šípy s kamennou špičkou.
$ITM_W_BOW_21	Rohový luk+	Silný luk vyřezaný z jeleního paroží.
$ITM_W_BOW_22	Velký rohový luk+	Prastarý luk vyřezaný z obřího jeleního paroží.
$ITM_W_BOW_23	Kompozitní válečný luk+	Tenhle kompozitní luk z několika různých dřev nejspíše patřil nějakému důstojníkovi.
$ITM_W_BOW_24	Zesílený dlouhý luk+	Vyroben ze silného dubu, tenhle luk vyžaduje velkou sílu, ale jeho zásahy jsou smrtící.
$ITM_W_STAFF_1	Vycházková hůl	Pevná, těžká hůl.
$ITM_W_STAFF_2	Pastevecká hůl	Obyčejná ovčácká hůl.
$ITM_W_STAFF_3	Šarlatánská hůl	Tuhle ozdobně vyřezávanou tyč zdobí prapodivný text. Při bližším ohledání jsou to jen žvatlaniny beze smyslu, sloužící k oblbnutí hlupáků. V koncích tyče je několik skrytých dutin obsahujících chemikálie pro vyvolání barevného kouře - a v jedné je něco, co nejspíše kdysi bylo živý kanárek.
$ITM_W_STAFF_4	Dubová tyč	Jemně vyřezávaná dubová berla s masivním koženým držadlem.
$ITM_W_STAFF_5	Hůl Nejvyššího pastevce	Tahle masivní berla je pokryta zaklínadly v mnoha dialektech v quaidštině, ashštině, nomádském jazyce a dalších, které už nikdo nezná. Na horní části je quaidsky ''Pán ovcí, ochránce zásob''. Znak Klenotu pouště je hned pod tím nápisem, takže je jasné, že nebohý majitel téhle berle měl na starosti stádo brutálních vzteklých ovcí pod městem. Spodní konec berle je pokryt stovkami stop po zubech - a několika zaseknutými zuby.
$ITM_W_STAFF_6	Obušek	Pevná dubová hůl s jedním koncem vydlabaným a vyplněným olovem.
$ITM_W_STAFF_7	Zbraň Bestie	Tahle hůl je vyřezána z jednoho kusu slonoviny. Co to muselo být za monstrum, že mělo tak obrovské kly? Vyřezávané nápisy po celé délce vyprávějí příběh nějakého zapomenutého hrdiny. Neobjevují se tam žádné motivy z Ashe, Quaidu nebo od nomádů, ani žádná jména, takže identita autora i monstra, z jehož klu byla zbraň vyrobena, zůstávají záhadou.
$ITM_W_STAFF_8	Hůl z železodřeva	Perfektní hůl z nejvzácnějšího z dřev.
$ITM_W_STAFF_9	Katův obuch	Tahle těžká hůl je pobitá železem a ještě má jeden konec vydlabaný a vyplněný olovem, takže když švihne, praskají kosti. Železné plochy zdobí rytiny v neznámém jazyce, nejspíše nějakem ze Severních městských států. Zkřížené klíče pod smrtihlavem symbolizují nějakou oficiální pozici - žalářníka, kata či jiný post nehodný meče. Stopy krve na tom těžším konci ukazují, že nezahálela.
$ITM_W_STAFF_10	Zocelená hůl	Pevná hůl z tvrdého dřeva, která byla vyztužena ocelovými pásy.
$ITM_W_STAFF_11	Strážce plamene	Tahle stříbrem plátovaná hůl je ošoupaná dlouhými léty používání. Místy jsou ještě vidět nápisy ve staré quaidštině. Většina se díky tmavnutí stříbra nedá rozluštit. Několikrát se objevuje fráze ''ti, kdo drží plamen'' a, ''extáze... sžírá''. Na obou koncích je hůl téměř černá, nejspíše byla používána v quaidském Císařském Rituálu Ohně.
$ITM_W_STAFF_12	Poutníkova hůl	Jedna z mnoha, které mniši Selini dávají poutníkům na cesty. Je vyztužená ocelovými pásy a dřevo zdobí vyryté modlitby.
