flag	nick_name	flavor_name	flavor_text
$EN_RANGED ATTACKER	RANGED	Ghoul Serpente	Revenant Sputatore|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_ARMORED RANGED ATTACKER	<RE>$EN_RANGED ATTACKER_NICK_NAME	Ghoul Serpente	Revenant Sputatore Corazzato|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_RANGED ATTACKER_W	<RE>$EN_RANGED ATTACKER_NICK_NAME	Ghoul Serpente di Fiume	Revenant Sputatore Anfibio|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_DARK	TENEBROSO	Verme Oscuro	Prole Oscura Veloce|Questi vermi sono ammantati da una fitta cappa di nebbia scura che li rende quasi impossibili da colpire.
$EN_BRUTE	RESISTENTE	Verme della Morte	Massiccia Prole di Revenant|Queste pallide creature simili a vermi si muovono lentamente, e sono dotati di una pelle dura simile al cuoio, invece che di una fragile membrana esterna.<N><N>Anche se è facile seminarli, sono implacabili, e spesso raggiungono comunque la loro preda dopo un interminabile inseguimento.
$EN_ERROR	ERRORE	Errore	Sono un errore|Se stai leggendo questo, significa che probabilmente c'è un errore nei dati dei nemici. Questo è il nemico che appare quando il gioco non riesce a trovare quello giusto.
$EN_SHEEP	PECORA	Pecora	Delizioso Mammifero|I Draghi possono stare anni senza mangiare, ma quando si nutrono possono consumare in una sola giornata una quantità di cibo parecchie volte superiore al loro peso corporeo.  Questo fatto è fonte di grande inquietudine per i pastori nomadi e il loro gregge.
$EN_SPEEDY SHEEP	PECORA VELOCE	Pecora da corsa	Delizioso Mammifero Veloce|Alcune pecore si sono adattate alle ostili condizioni di vita della valle, sviluppando dei muscoli estremamente scattanti.  Questo non basta per seminare i draghi, ma almeno gli consente di correre più veloce delle altre pecore.
$EN_SUPER SHEEP	SUPER PECORA	Superpecora	Mammifero Incredibilmente Succulento|Leggende draconiche raccontano di questa rara pecora, l'Axxima Vatta Muttanaxxor, in toni sommessi e reverenti, e le sacre scritture dei Draghi descrivono un elaborato rituale da preparare prima della sua venuta.  Il sapere tradizionale associa le scritture Draconiche con altri testi religiosi, ma nuove ricerche suggeriscono che dovrebbero essere riclassificate come libro di cucina.
$EN_OZIMAL	OZIMAL	Ozimal Kaz	Schiavo Revenant|Una volta il grande Signore della Guerra della Valle, ora niente più che un altro degli schiavi senza cervello di Zelemir.<N>La sua tunica rimane ancora piuttosto sgargiante, comunque.
$EN_TWIN	GEMELLO	Gemello	Fratello Revenant|BLARGH YAAAARGH GAR GAR HUR.
$EN_RIGHT_INDEX_FINGER	INDEX1 FINGER	Dito Indice	Dito Mostruoso|Anche se non è più attaccato alla mano, questo dito si muove di sua volontà.
$EN_RIGHT_THUMB	THUMB	Pollice	Dito Mostruoso|Anche se non è più attaccato alla mano, questo dito si muove di sua volontà.
$EN_RIGHT_MIDDLE_FINGER	MIDDLE FINGER	Dito Medio	Dito Mostruoso|Questo dito mozzato sembra fare un gesto osceno. Che maleducato!
$EN_RIGHT_RING_FINGER	RING FINGER	Anulare	Dito Mostruoso|Anche se non è più attaccato alla mano, questo dito si muove di sua volontà.
$EN_RIGHT_PINKY_FINGER	PINKY FINGER	Mignolo	Dito Mostruoso|Anche se non è più attaccato alla mano, questo dito si muove di sua volontà.
$EN_RIGHT_EYE	EZTLI'S EYE	Occhio di Eztli	Occhio Mostruoso|Quest'occhio malevolo risplende di poteri proibiti e si muove con velocità innaturale.
$EN_RIGHT_HAND	EZTLI'S HAND	Mano di Eztli	Mano Mostruosa|Il capo dei cultisti ha chiamato questo mostro <LQ>La Mano Destra di Eztli-Tenoch.<RQ> Dato quanto poco è conosciuto di Eztli-Tenoch, è difficile dire se questa sia la mano dello stesso Stregone, o soltanto una creazione dei suoi malvagi poteri. A un esame più attento, sembra che in realtà non sia affatto una mano DESTRA. Che storia, uhm, 'sinistra'...
$EN_ZELEMIR	ZELEMIR	Zelemir	Stregone Negromante|Gli occhi di Zelemir scintillano di risoluta determinazione.
$EN_EZTLI	EZTLI-TENOCH	Eztli-Tenoch	Antichissimo e Leggendario Stregone|Un antico potere, a lungo dormiente, ora di nuovo sveglio. Eztli-Tenoch una volta regnava sul mondo conosciuto, autoproclamandosi il Re-Dio. Il suo potere e la sua malvagità sono superati solo dalla sua incommensurabile pazienza.
$EN_ZELEMIR-CITADEL	<RE>$EN_ZELEMIR_NICK_NAME	<RE>$EN_ZELEMIR_FLAVOR_NAME	<RE>$EN_ZELEMIR_FLAVOR_TEXT
$EN_NORMAL_NOMONEY	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP_PSI	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_CULTIST_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
$EN_ARMORED CULTIST_LOWXP	<RE>$EN_ARMORED CULTIST_NICK_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_TEXT
$EN_NORMAL_W_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_W_FLAVOR_NAME	<RE>$EN_NORMAL_W_FLAVOR_TEXT
$EN_ARMORED_LOWXP	<RE>$EN_ARMORED_NICK_NAME	<RE>$EN_ARMORED_FLAVOR_NAME	<RE>$EN_ARMORED_FLAVOR_TEXT
$EN_SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_FLAVOR_NAME	<RE>$EN_SPEEDY_FLAVOR_TEXT
$EN_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_W_FLAVOR_NAME	<RE>$EN_SPEEDY_W_FLAVOR_TEXT
$EN_ARMORED SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT
$EN_ARMORED_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_TEXT
$EN_ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_FLAVOR_NAME	<RE>$EN_ATTACKER_FLAVOR_TEXT
$EN_DARK ATTACKER_LOWXP	<RE>$EN_DARK ATTACKER_NICK_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_TEXT
$EN_ATTACKER_W_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_W_FLAVOR_NAME	<RE>$EN_ATTACKER_W_FLAVOR_TEXT
$EN_ARMORED ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT
$EN_RAPID_ATTACKER_LOWXP	<RE>$EN_RAPID_ATTACKER_NICK_NAME	<RE>$EN_RAPID_ATTACKER_FLAVOR_NAME	<RE>$EN_RAPID_ATTACKER_FLAVOR_TEXT
$EN_APC_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_APC_W_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_W_FLAVOR_NAME	<RE>$EN_APC_W_FLAVOR_TEXT
$EN_ARMORED APC_LOWXP	<RE>$EN_ARMORED APC_NICK_NAME	<RE>$EN_ARMORED APC_FLAVOR_NAME	<RE>$EN_ARMORED APC_FLAVOR_TEXT
$EN_DOUBLE APC_LOWXP	<RE>$EN_DOUBLE APC_NICK_NAME	<RE>$EN_DOUBLE APC_FLAVOR_NAME	<RE>$EN_DOUBLE APC_FLAVOR_TEXT
$EN_ARMORED RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_TEXT
$EN_RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT
$EN_RANGED ATTACKER_W_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT
$EN_DARK_LOWXP	<RE>$EN_DARK_NICK_NAME	<RE>$EN_DARK_FLAVOR_NAME	<RE>$EN_DARK_FLAVOR_TEXT
$EN_BRUTE_LOWXP	<RE>$EN_BRUTE_NICK_NAME	<RE>$EN_BRUTE_FLAVOR_NAME	<RE>$EN_BRUTE_FLAVOR_TEXT
$EN_APC_NOATTACK_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_CULTIST_NOATTACK_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
$EN_PSI SHEEP	<RE>$EN_SHEEP_NICK_NAME	<RE>$EN_SHEEP_FLAVOR_NAME	<RE>$EN_SHEEP_FLAVOR_TEXT
$EN_3_11_BOSS	BOSS
$EN_FINGER	DITO DI EZTLI
$EN_HEALIE	HEALIE	Dottò	Boss Segreto|Descrizione
$EN_MEANIE	MEANIE	Bullo	Boss Segreto|Descrizione
$EN_STEALY	STEALY	Clepto	Boss Segreto|Descrizione
$EN_CRAZY	CRAZY	Pazzo	Boss Segreto|Descrizione
