flag	content	comment
$TITLE_START_DEMO	体験版開始
$UI_UPDATER_NEWEST_VERSION	最新のバージョン：<T>
$UI_UPDATER_NO_UPDATES	手に入るアップデートはありません
$UI_UPDATER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$UI_UPDATER_TRYING_30	30秒間、試してみます
$UI_UPDATER_CONNECT_AGAIN	もう一度接続しています
$UI_UPDATER_ERROR!	エラーです！
$UI_UPDATER_DETAILS	詳細：
$UI_UPDATER_NO_VERIFY	アップデートファイルを照合できませんでした。
$UI_UPDATER_NO_DOWNLOAD	アップデートファイルをダウンロードできませんでした。
$UI_UPDATER_CHECKSUM_MISMATCH	このファイルのチェックサムは、私たちの予想と合致しませんでした。<N><N>考えられる原因は、不完全なダウンロードかもしれないし、セキュリティーの問題じゃないかもしれないし、宇宙線だったら確かめようもないですが<N><N>いずれにせよ、アップデートは失敗しました。
$UI_UPDATER_GIVE_UP	諦める
$UI_UPDATER_TRY_AGAIN	りトライ
$UI_UPDATER_CONNECTING	サーバーに接続しています・・・
$UI_UPDATER_DOWNLOADING_FILE	アップデートファイルをダウンロードしています・・・
$UI_UPDATER_DOWNLOADING_SIG	アップデートの署名をダウンロードしています・・・
$UI_UPDATER_CHECKSUM	チェックサムを計算しています・・・
$UI_UPDATER_NAVIGATING	ファイルまで案内します・・・
$UI_UPDATER_CLOSE_WINDOW	このウィンドウを閉じて、アップデートをインストールしてください。
$UI_UPDATER_FILE_IS_AT	あなたのアップデートファイルは、ここにあります：
$UI_UPDATER_IF_NO_WINDOW	もしナビゲーションフォルダーが開かなければ、手動で試してください。
$UI_UPDATER_DOWNLOADED	アップデートをダウンロードしました！
$UI_UPDATER_NAVIGATE_NOW	現在のファイルまで案内しますか？
$UI_UPDATER_NOTE	注意：
$UI_UPDATER_SECURITY	セキュリティー上の理由から、ダウンロードしたインストーラーを手動で操作しなければいけません。<N><N>このプログラムは、あなたのファイルがダウンロードされた場所まで案内します。
$UI_UPDATER_INSTALLING	アップデートをインストールしています・・・
$UI_UPDATER_EXITING	アプリを終了します・・・
$UI_DEFENDER_RECALL_LINE	帰還：<N>+<PSI>Psi
$UI_DEFENDER_BOOST	ブースト：<PSI>Psi
$UI_DEFENDER_BOOST_NEED	ブースト：<PSI>Psi必要
$UI_DEFENDER_BOOST_MAX	ブーストMAX
$UI_DEFENDER_BOOST_UNLOCK	ブースト<LVL>でアンロック
$UI_DEFENDER_CLICK_TO	（有効 / 無効）
$UI_DEFENDER_TECHNIQUES	テクニック
$UI_DEFENDER_TECHNIQUE	テクニック
$UI_DEFENDER_TRAITS	特徴
$UI_DEFENDER_TRAIT	特徴
$UI_DEFENDER_RECALL	帰還
$UI_SKILLS_CLICK_TO_UPGRADE	強化する！
$UI_SKILLS_MAX	MAX
$MISC_MAX	MAX
$UI_SKILLS_NO_POINTS	ポイントがありません。
$UI_SKILLS_REQ_1PT	条件：レベル<LVL><N><SKILL><PT>ポイント
$UI_SKILLS_REQ_XPT	条件：レベル<LVL><N><SKILL><PT>ポイント
$UI_SKILLS_NO_LEARN_SPELL	まだこの呪文を習得していません。
$UI_SKILLS_MOUSE_OVER	詳細はマウスオーバーで確認できます。
$UI_EQUIP_OWNED	所有数
$UI_EQUIP_COMPARE	比較
$UI_EQUIP_PRICE	価格
$UI_EQUIP_SHOW_EQUIPPED	持っている武器を見せる
$UI_EQUIP_EQUIP_AFTER	購入後、装備する
$UI_EQUIP_EQUIP_WHO	誰が装備しますか？
$UI_EQUIP_EQUIPPED	装備者
$UI_EQUIP_MAX_OWNED	最善の装備をしています
$UI_EQUIP_ALL_W_SWORD_EQUIPPED	すべての剣を装備しています！
$UI_EQUIP_ALL_W_STAFF_EQUIPPED	すべての杖を装備しています！
$UI_EQUIP_ALL_W_BOW_EQUIPPED	すべての弓を装備しています！
$UI_EQUIP_ALL_A_LIGHT_EQUIPPED	すべての軽鎧を装備しています！
$UI_EQUIP_ALL_A_HEAVY_EQUIPPED	すべての重鎧を装備しています！
$UI_EQUIP_CANT_UPGRADE_W_SWORD	剣の強化はできません。
$UI_EQUIP_CANT_UPGRADE_W_BOW	弓の強化はできません。
$UI_EQUIP_CANT_UPGRADE_W_STAFF	杖の強化はできません。
$UI_EQUIP_CANT_UPGRADE_A_LIGHT	軽鎧の強化はできません。
$UI_EQUIP_CANT_UPGRADE_A_HEAVY	重鎧の強化はできません。
$UI_EQUIP_NO_W_SWORD	剣を持っていません。
$UI_EQUIP_NO_W_STAFF	杖を持っていません。
$UI_EQUIP_NO_W_BOW	弓を持っていません。
$UI_EQUIP_NO_A_LIGHT	軽鎧を持っていません。
$UI_EQUIP_NO_A_HEAVY	重鎧を持っていません。
$UI_EULA_TITLE	最終ユーザーライセンス契約
$UI_ACHIEVE_COMPLETION	獲得
$UI_ACHIEVE_CATEGORIES	ランク
$UI_ACHIEVE_POP_UP	ポップアップ通知
$UI_ACHIEVE_TRAINER	肩ならし
$UI_ACHIEVE_EASY	イージー
$UI_ACHIEVE_MEDIUM	ノーマル
$UI_ACHIEVE_HARD	ハード
$UI_ACHIEVE_IMPOSSIBLE	インポッシブル
$UI_CONTROLS_SPELL	呪文
$UI_CONTROLS_CLASS	クラス
$UI_CONTROLS_CHARACTER	キャラクター
$UI_CONTROLS_TARGET	ターゲット
$UI_CONTROLS_PAUSE	ポーズ
$UI_CONTROLS_MINUS_SPEED	スピード-
$UI_CONTROLS_PLUS_SPEED	スピード＋
$UI_CONTROLS_BOOST	ブースト
$UI_CONTROLS_RECALL	帰還
$UI_CONTROLS_RECALL_NUMS	btn_off_x:-8
$UI_CONTROLS_BACK_NUMS	btn_off_x:-8
$UI_CONTROLS_BACK	戻る
$UI_CONTROLS_PRESETS	初期設定
$UI_CONTROLS_TAB_NAV	タブキー<N>操作
$UI_CONTROLS_CYCLE	サイクル<N>ディフェンダー
$UI_CONTROLS_CYCLE_NUMS	off_x:-5,off_y:0	COMMENT: moves the 'cycle defenders' text and associated buttons
$UI_CONTROLS_SCROLL	マップスクロール<N>ディフェンダーの配置
$UI_CONTROLS_SCROLL_NUMS	off_x:-10
$UI_CONTROLS_MOVE_CURSOR	カーソル移動
$UI_CONTROLS_VIRTUAL_MOUSE	仮想マウス
$UI_CONTROLS_CLICK	クリック
$UI_CONTROLS_SPEED	スピード
$UI_CONTROLS_ACCEL	アクセル
$UI_CONTROLS_SLOWEST	最も遅い
$UI_CONTROLS_SLOW	遅い
$UI_CONTROLS_NORMAL	普通
$UI_CONTROLS_FAST	早い
$UI_CONTROLS_NONE	無し
$UI_CONTROLS_PRESET_QWERTY	標準キーボード
$UI_CONTROLS_PRESET_LEFTY	左利き
$UI_CONTROLS_PRESET_AZERTY	アザーティ
$UI_CONTROLS_PRESET_QWERTZ	クワーツ
$UI_CONTROLS_PRESET_DVORAK	ドボラック
$UI_CONTROLS_PRESET_CUSTOM	カスタム
$UI_DOWNLOAD_WARNING	ポップアップのブロックを無効にしてください！
$UI_DOWNLOAD_BODY	デスクトップバージョンのゲームをダウンロードするためには、ボタンをクリックしてください。<N><N>新しいウィンドウまたはタブでダウンロードします。少々遅れが生じるかもしれませんので、<N>辛抱強く待ってください。くれぐれもスパムメールを送らないように。
$UI_DOWNLOAD_LINUX	Linux
$UI_DOWNLOAD_WINDOWS	Windows
$UI_DOWNLOAD_MACINTOSH	Macintosh
$UI_DOWNLOAD_SOUNDTRACK	サウンドトラック
$UI_CONFLICT_TITLE	クラウドの衝突！
$UI_CONFLICT_MSG	どちらのスロットに行くべきか、不明です<SLOT>。<N>好きな方を選んでください。
$UI_CONFLICT_CLOUD	クラウド
$UI_CONFLICT_LOCAL	コンピューター
$UI_CONFLICT_CONSOLE	ゲーム機
$UI_CONFLICT_BETTER	こちらの方がいいと思います
$UI_CONFLICT_BUTTON	これを使う
$UI_CONFLICT_NGP	ニューゲーム+
$UI_CONFLICT_BACKUP	選んでいないファイルのバックアップを取る：<N><LOC>
$UI_GAMEPLAY_MISCELLANEOUS	その他
$UI_GAMEPLAY_CLOUD_SAVE	クラウドに保存する
$UI_GAMEPLAY_OFF	オフ
$UI_GAMEPLAY_ON	オン
$UI_GAMEPLAY_TUTORIALS	チュートリアル
$UI_GAMEPLAY_DIALOGUE	会話文の表示
$UI_GAMEPLAY_NEVER	なし
$UI_GAMEPLAY_ALWAYS	いつも
$UI_GAMEPLAY_DEFAULT	新しいバトルのみ
$UI_GAMEPLAY_BATTLE_NUMBERS	バトルの数字
$UI_GAMEPLAY_HIDE	表示する
$UI_GAMEPLAY_SHOW	表示しない
$UI_GAMEPLAY_TRACKING	データトラックする
$UI_GAMEPLAY_TRACK_YES	名前が無いプレイスタッツを追跡します
$UI_GAMEPLAY_TRACK_NO	私をトラックしないでよ！
$UI_GAMEPLAY_AUTO_UPDATE	自動アップデート
$UI_GAMEPLAY_ENABLE_UPDATER	ゲーム開始時にアップデートをチェック
$UI_GAMEPLAY_DISABLE_UPDATER	自動アップデートを無効にする
$UI_GAMEPLAY_SLOW_FOOTNOTE	ゲームスピードが落ちるかもしれません
$UI_SAVE_PATH	セーブファイルパス
$UI_MOD_PATH	MODファイルパス
$TOOLTIP_CHANGE_PATH_1	メモ：
$TOOLTIP_CHANGE_PATH_2	古いファイルは自動的に新しい場所には転送されません。元のディレクトリに存在したままです。
$UI_VIDEO_IF_DOESNT_WORK	もし新しい解像度が上手く機能しなければ、<N>数秒後に前の設定に戻ります。
$UI_VIDEO_RES_CHANGED	解像度を変更しました。<N>これでよろしいですか？<N><N><TIME>秒後に前の設定に戻ります。
$UI_VIDEO_SETTINGS	ビデオモード
$UI_VIDEO_WARNING	ブラウザモードでは、ビデオオプションは無効です。
$UI_VIDEO_WARNING2	あなたのシステム設定では、ゲーム内の解像度の切り替えをサポートしていません。ごめんなさい：（
$UI_VIDEO_WARNING3	互換モードでは、解像度の切り替えは無効です。<N><N>ごめんね！
$UI_VIDEO_MOUSE	マウスカーソル
$UI_VIDEO_MOUSE_DEFAULT	デフォルト
$UI_VIDEO_MOUSE_FANCY	ファンシー
$UI_VIDEO_PARTICLES	パーティクル
$UI_VIDEO_SWIRL	戦闘前アニメーション
$UI_VIDEO_AOE	攻撃エリアをハイライト
$UI_VIDEO_CHANGE_RES	解像度を変える
$UI_VIDEO_SCREEN_POS	スクリーンポジション
$UI_VIDEO_CHANGE_RES_BUTTON	変更する
$UI_VIDEO_SHOW_ALL_RES	すべての解像度
$UI_VIDEO_RECOMMENDED	おすすめ：
$UI_VIDEO_STANDARD_RATIO	（標準比率）
$UI_VIDEO_WIDESCREEN	（ワイドスクリーン）
$UI_VIDEO_PIXELS	ピクセル
$UI_VIDEO_BIT_DEPTH	深度
$UI_VIDEO_REFRESH	リフレッシュ
$UI_VIDEO_SCALE	スケール
$UI_VIDEO_CAN_SLOW_GAME	（ゲームを遅くできます）
$UI_VIDEO_WINDOWED	ウィンドウ
$UI_VIDEO_FULLSCREEN	フルスクリーン
$UI_SAVE_ERROR_INCOMPAT	互換性がありません！
$UI_SAVE_ERROR_INCOMPAT_TEXT	エラーです！あなたがプレイしているデモ<N>は、フルバージョンです
$UI_SAVE_DEMO_IMPORT	デモのインポート
$UI_SAVE_DEMO_IMPORT_TEXT	そのファイルはデモにあります。引き継ぐことができるかもしれません。<N>スゴくない？
$UI_SAVE_DEMO_NEWER	ファイルは、新しいバージョンのゲームにあります。<N>互換性がない可能性があります。<N>インポートしますか？
$UI_SAVE_DEMO_OLDER	ファイルは、古いバージョンのゲームにあります。<N>何らかの調整が行われた可能性があります。<N>かっこよくない？
$UI_NORM_MOD_INCOMPAT_TEXT	<N>MODからのファイルは、<N>互換性のない場合があります。<N><N>インポートしてみますか？
$UI_MOD_NORM_INCOMPAT_TEXT	<N>MODはアクティビティですが、<N>ファイルは普通のゲームからです。互換性のない場合があります。<N><N>インポートしてみますか？
$UI_MOD_MOD_INCOMPAT_TEXT	<N>ファイルは違うMODからです。<N>互換性のない場合があります。<N><N>インポートしてみますか？
$UI_SAVE_DEMO_ATTENTION	注意！
$UI_SAVE_MENU_LOADED	読み込みが完了しました！
$UI_SAVE_MENU_CHECK_GOG	GOGで無料アップデートをチェックしてください！
$UI_SAVE_MENU_DOWNLOAD	ダウンロードできるバージョンをゲットする
$UI_SAVE_MENU_FULL_VERSION	フルバージョン
$UI_SAVE_MENU_KONG_XDEMO_LOGIN	拡張デモ―フルゲームにアクセスするためには、kongregateにログインしてください！
$UI_SAVE_MENU_KONG_XDEMO	拡張デモバージョン
$UI_SAVE_MENU_KONG_DEMO_LOGIN_FULL	デモ - kongregateにログインして、フルゲームにアクセスしてください！
$UI_SAVE_MENU_KONG_DEMO_LOGIN_XDEMO	デモ - kongregateにログインして、拡張したコンテンツにアクセスしてください！
$UI_SAVE_MENU_KONG_DEMO	<RE>$MISC_DEMO_VERSION
$UI_SAVE_CONFIRM_DELETE	消去の確認
$UI_SAVE_CONFIRM_DELETE_TEXT	このセーブスロットを、<N>完全に消去しますか？
$SAVE_SLOT_PLAY	プレイ
$SAVE_SLOT_PLAY_PLUS	プレイ+
$SAVE_SLOT_NEW_GAME	ニューゲーム
$SAVE_SLOT_NEW_GAME_PLUS	ニューゲーム+
$SAVE_SLOT_EXPORT	エクスポート
$SAVE_SLOT_IMPORT	インポート
$SAVE_SLOT_DELETE	消去
$UI_DEMO_SAVES_DETECTED	デモのセーブデータを検知しました！
$UI_DEMO_IMPORT_SAVES	デモのセーブデータをインポートしますか？
$UI_CLOUD_UNKNOWN	クラウドに保存する
$UI_CLOUD_UNKNOWN_TEXT	STEAMクラウドの保存を無効にしますか？
$UI_CLOUD_UNKNOWN_TEXT_2	こちらで、いつでも設定を変えられます：<N><N>オプション：その他
$UI_MOD_TITLE	MOD
$UI_MOD_LOAD_EXISTING	既存のMODをロードする
$UI_MOD_CREATE_NEW	新しいMODをロードする
$UI_MOD_BROWSE_QUEUE	ローカルキューをブラウズする
$UI_MOD_BROWSE_WORKSHOP	スチームのワークショップをブラウズする
$UI_MOD_WEB_BROWSER	Webブラウザ
$UI_MOD_INSTALL_STANDALONE	ZIPからインストール
$UI_MOD_INSTALL_ERROR	同じ名前のMODフォルダがあります。<N>名前を変えてインストールしますか？
$UI_MOD_INSTALL_ERROR2	すみませんが、MODをインストールできません。
$UI_DEFQ_MODS	MOD
$UI_MOD_TITLE	MOD
$UI_MOD_DATA_ONLY	データのみ（1M）
$UI_MOD_SPRITES	スプライトを+4M
$UI_MOD_MOVIES	ムービーアートを+13M
$UI_MOD_BKGS	背景アートを+42M
$UI_MOD_TEMPLATE_SETTINGS	MODテンプレートの設定
$UI_MOD_SELECT_DIR	MODディレクトリーの選択
$UI_SAVE_SELECT_DIR	MODをロードする
$UI_MOD_LOAD_MOD	MODが存在します。<N>ロードしますか？
$UI_MOD_EXISTS	設定を見つけられませんでした。<N>MODは存在しないか、<N>壊れている可能性があります。
$UI_MOD_MISSING	うわっ！<N>ディレクトリーすらありません！<N>再試行してください。
$UI_MOD_NOT_DIR	うわっ！<N>ディレクトリーすらありません！<N>再試行してください。
$UI_MOD_LOADING	MODをロードしています・・・
$UI_MOD_PLEASE_WAIT	少々お待ちください<N>あなたのMODをロードしています
$UI_MOD_PROGRESS	タスク<TASK><N>ファイル<FILE><N>
$UI_MOD_LOAD_FINISH	ロードが完了しました
$UI_MOD_LOAD_FINISH_TEXT	MODのロードに成功しました。<N>ゲームを再起動します。
$UI_MOD_LOAD_FAIL	ロードに失敗しました！
$UI_MOD_LOAD_FAIL_TEXT	MODのロードに失敗しました：
$UI_MOD_NAME	このMODに名前をつけてください
$UI_MOD_EXPORTING	データのエクスポート
$UI_MOD_EXPORT_FINISH	エクスポートが完了しました！
$UI_MOD_EXPORT_FINISH_TEXT	あなたのMODはここにあります：
$UI_MOD_EXPORT_CANCEL	エクスポートはキャンセルされました！
$UI_MOD_EXPORT_CANCEL_TEXT	ファイルはここにあります：
$UI_MOD_EXPORT_FAIL	エクスポートは失敗しました！
$UI_MOD_EXPORT_FAIL_TEXT	エラーが発生しました！
$UI_MOD_EXPORT_CHURN	Task <TASK_PROGRESS><N><N><TASK><N><PROGRESS>
$UI_MOD_DEFQ_SAVE	Defender's Quest Save Files (*.dfq)
$UI_MOD_ALL_FILES	All Files (*.*)
$UI_MOD_AUTHOR	作者
$UI_MOD_PLAY	プレイ
$UI_MOD_SHARE	シェア
$UI_MOD_UPDATE	アップデート
$UI_MOD_EDIT	エディット
$UI_MOD_WORKSHOP	Workshop
$UI_MOD_SHARE_TITLE	MODシェア
$UI_MOD_SHARE_TEXT_LOCAL	カンタンに配布するために、MODを単一ファイルにパッケージします。
$UI_MOD_SHARE_TEXT_STEAM	パッケージにしてSteam WorkshopにMODをアップロードします。
$UI_MOD_UPDATE_TEXT_STEAM	Steam WorkshopにMODが更新されます。
$UI_MOD_ZIP_PROGRESS	Task <TASK><N>File <FILE><N>
$UI_MOD_ZIP_FINISH	パッケージ完成
$UI_MOD_ZIP_FINISH_TEXT	Mod Zip完成
$UI_MOD_ZIP_FAIL	パッケージできません！
$UI_MOD_ZIP_FAIL_TEXT	ファイル圧縮中にエラーが発生しました。
$UI_MOD_STEAM_UPLOAD	Steamにアップロード
$UI_MOD_STEAM_WAIT	Steamから応答待ちです・・・<N>(短時間の可能性があります。)
$UI_MOD_STEAM_SEND	Steamに送っています・・・
$UI_MOD_SHARED	シェア
$UI_MOD_SUBSCRIBED	発行
$UI_MOD_ZIP_STEAM_FAIL	アップロード失敗！
$UI_MOD_ZIP_STEAM_FAIL_TEXT	Steam Workshopに<N>アップロードできません。
$UI_MOD_ZIP_STEAM_FINISH	アップロード完成
$UI_MOD_ZIP_STEAM_FINISH_TEXT	Steam Workshop<N>Modアップロード成功
$UI_MOD_UPDATE_STEAM_FINISH	アップデート完成
$UI_MOD_UPDATE_STEAM_FINISH_TEXT	Steam Workshopに<N>Modアップデータ成功
$UI_MOD_ZIPPING	Mod Filesパッケージ
$UI_MOD_MISSING_SUBSCRIBE	発行ファイル
$UI_MOD_MISSING_SUBSCRIBE_TEXT	ダウンロードしますか？:<N><NUM> 発行workshop file(s)?
$UI_MOD_DOWNLOAD	Modダウンロード中
$UI_MOD_DOWNLOAD_TEXT	
$UI_MOD_LATER	後で
$UI_EQUIP_WHO_WILL	装備するキャラクター：
