flag	nick_name	flavor_name	flavor_text
$EN_NORMAL_LOWXP_PLUS	<RE>$EN_NORMAL_LOWXP_NICK_NAME	<RE>[$EN_NORMAL_LOWXP_FLAVOR_NAME]+	<RE>$EN_NORMAL_LOWXP_FLAVOR_TEXT	
$EN_CULTIST_LOWXP_PLUS	<RE>$EN_CULTIST_LOWXP_NICK_NAME	<RE>[$EN_CULTIST_LOWXP_FLAVOR_NAME]+	<RE>$EN_CULTIST_LOWXP_FLAVOR_TEXT	
$EN_ARMORED CULTIST_LOWXP_PLUS	<RE>$EN_ARMORED CULTIST_LOWXP_NICK_NAME	<RE>[$EN_ARMORED CULTIST_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED CULTIST_LOWXP_FLAVOR_TEXT	
$EN_NORMAL_W_LOWXP_PLUS	<RE>$EN_NORMAL_W_LOWXP_NICK_NAME	<RE>[$EN_NORMAL_W_LOWXP_FLAVOR_NAME]+	<RE>$EN_NORMAL_W_LOWXP_FLAVOR_TEXT	
$EN_ARMORED_LOWXP_PLUS	<RE>$EN_ARMORED_LOWXP_NICK_NAME	<RE>[$EN_ARMORED_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED_LOWXP_FLAVOR_TEXT	
$EN_SPEEDY_LOWXP_PLUS	<RE>$EN_SPEEDY_LOWXP_NICK_NAME	<RE>[$EN_SPEEDY_LOWXP_FLAVOR_NAME]+	<RE>$EN_SPEEDY_LOWXP_FLAVOR_TEXT	
$EN_SPEEDY_W_LOWXP_PLUS	<RE>$EN_SPEEDY_W_LOWXP_NICK_NAME	<RE>[$EN_SPEEDY_W_LOWXP_FLAVOR_NAME]+	<RE>$EN_SPEEDY_W_LOWXP_FLAVOR_TEXT	
$EN_ARMORED SPEEDY_LOWXP_PLUS	<RE>$EN_ARMORED SPEEDY_LOWXP_NICK_NAME	<RE>[$EN_ARMORED SPEEDY_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED SPEEDY_LOWXP_FLAVOR_TEXT	
$EN_ARMORED_SPEEDY_W_LOWXP_PLUS	<RE>$EN_ARMORED_SPEEDY_W_LOWXP_NICK_NAME	<RE>[$EN_ARMORED_SPEEDY_W_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED_SPEEDY_W_LOWXP_FLAVOR_TEXT	
$EN_ATTACKER_LOWXP_PLUS	<RE>$EN_ATTACKER_LOWXP_NICK_NAME	<RE>[$EN_ATTACKER_LOWXP_FLAVOR_NAME]+	<RE>$EN_ATTACKER_LOWXP_FLAVOR_TEXT	
$EN_DARK ATTACKER_LOWXP_PLUS	<RE>$EN_DARK ATTACKER_LOWXP_NICK_NAME	<RE>[$EN_DARK ATTACKER_LOWXP_FLAVOR_NAME]+	<RE>$EN_DARK ATTACKER_LOWXP_FLAVOR_TEXT	
$EN_ATTACKER_W_LOWXP_PLUS	<RE>$EN_ATTACKER_W_LOWXP_NICK_NAME	<RE>[$EN_ATTACKER_W_LOWXP_FLAVOR_NAME]+	<RE>$EN_ATTACKER_W_LOWXP_FLAVOR_TEXT	
$EN_ARMORED ATTACKER_LOWXP_PLUS	<RE>$EN_ARMORED ATTACKER_LOWXP_NICK_NAME	<RE>[$EN_ARMORED ATTACKER_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED ATTACKER_LOWXP_FLAVOR_TEXT	
$EN_APC_LOWXP_PLUS	<RE>$EN_APC_LOWXP_NICK_NAME	<RE>[$EN_APC_LOWXP_FLAVOR_NAME]+	<RE>$EN_APC_LOWXP_FLAVOR_TEXT			
$EN_APC_W_LOWXP_PLUS	<RE>$EN_APC_W_LOWXP_NICK_NAME	<RE>[$EN_APC_W_LOWXP_FLAVOR_NAME]+	<RE>$EN_APC_W_LOWXP_FLAVOR_TEXT	
$EN_ARMORED APC_LOWXP_PLUS	<RE>$EN_ARMORED APC_LOWXP_NICK_NAME	<RE>[$EN_ARMORED APC_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED APC_LOWXP_FLAVOR_TEXT	
$EN_DOUBLE APC_LOWXP_PLUS	<RE>$EN_DOUBLE APC_LOWXP_NICK_NAME	<RE>[$EN_DOUBLE APC_LOWXP_FLAVOR_NAME]+	<RE>$EN_DOUBLE APC_LOWXP_FLAVOR_TEXT	
$EN_ARMORED RANGED ATTACKER_LOWXP_PLUS	<RE>$EN_ARMORED RANGED ATTACKER_LOWXP_NICK_NAME	<RE>[$EN_ARMORED RANGED ATTACKER_LOWXP_FLAVOR_NAME]+	<RE>$EN_ARMORED RANGED ATTACKER_LOWXP_FLAVOR_TEXT	
$EN_RANGED ATTACKER_LOWXP_PLUS	<RE>$EN_RANGED ATTACKER_LOWXP_NICK_NAME	<RE>[$EN_RANGED ATTACKER_LOWXP_FLAVOR_NAME]+	<RE>$EN_RANGED ATTACKER_LOWXP_FLAVOR_TEXT	
$EN_RANGED ATTACKER_W_LOWXP_PLUS	<RE>$EN_RANGED ATTACKER_W_LOWXP_NICK_NAME	<RE>[$EN_RANGED ATTACKER_W_LOWXP_FLAVOR_NAME]+	<RE>$EN_RANGED ATTACKER_W_LOWXP_FLAVOR_TEXT	
$EN_DARK_LOWXP_PLUS	<RE>$EN_DARK_LOWXP_NICK_NAME	<RE>[$EN_DARK_LOWXP_FLAVOR_NAME]+	<RE>$EN_DARK_LOWXP_FLAVOR_TEXT	
$EN_BRUTE_LOWXP_PLUS	<RE>$EN_BRUTE_LOWXP_NICK_NAME	<RE>[$EN_BRUTE_LOWXP_FLAVOR_NAME]+	<RE>$EN_BRUTE_LOWXP_FLAVOR_TEXT	
$EN_CULTIST_NOATTACK_LOWXP_PLUS	<RE>$EN_CULTIST_NOATTACK_LOWXP_NICK_NAME	<RE>[$EN_CULTIST_NOATTACK_LOWXP_FLAVOR_NAME]+	<RE>$EN_CULTIST_NOATTACK_LOWXP_FLAVOR_TEXT	
$EN_APC_NOATTACK_LOWXP_PLUS	<RE>$EN_APC_NOATTACK_LOWXP_NICK_NAME	<RE>[$EN_APC_NOATTACK_LOWXP_FLAVOR_NAME]+	<RE>$EN_APC_NOATTACK_LOWXP_FLAVOR_TEXT			
$EN_NORMAL_SQ7_PLUS	<RE>$EN_NORMAL_NAME	<RE>[$EN_NORMAL_FLAVOR_NAME]+	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_SPEEDY_SQ7_PLUS	<RE>$EN_SPEEDY_NAME	<RE>[$EN_SPEEDY_FLAVOR_NAME]+	<RE>$EN_SPEEDY_FLAVOR_TEXT	
$EN_ARMORED_SQ7_PLUS	<RE>$EN_ARMORED_NAME	<RE>[$EN_ARMORED_FLAVOR_NAME]+	<RE>$EN_ARMORED_FLAVOR_TEXT	
$EN_ATTACKER_W_SQ7_PLUS	GUERRERO+	Gul de río++	Zombi guerrero acuático|En el foso existen muchas historias sobre cadáveres malolientes que emergen de las aguas y atacan a los aldeanos sedientos.<N>Nadie sale a buscar agua sin compañía, y solo los locos se atreven a nadar.
$EN_APC_SQ7_PLUS	<RE>$EN_APC_NAME	<RE>[$EN_APC_FLAVOR_NAME]+	<RE>$EN_APC_FLAVOR_TEXT			
$EN_ARMORED ATTACKER_SQ7_PLUS	<RE>$EN_ARMORED ATTACKER_NAME	<RE>[$EN_ARMORED ATTACKER_FLAVOR_NAME]+	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT	
$EN_DARK_SQ7_PLUS	<RE>$EN_DARK_NAME	<RE>[$EN_DARK_FLAVOR_NAME]+	<RE>$EN_DARK_FLAVOR_TEXT	
$EN_ARMORED SPEEDY_SQ7_PLUS	<RE>$EN_ARMORED SPEEDY_NAME	<RE>[$EN_ARMORED SPEEDY_FLAVOR_NAME]+	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT	
$EN_RANGED ATTACKER_W_SQ7_PLUS	<RE>$EN_RANGED ATTACKER_W_NAME	<RE>[$EN_RANGED ATTACKER_W_FLAVOR_NAME]+	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT	
$EN_BRUTE_SQ7_PLUS	<RE>$EN_BRUTE_NAME	<RE>[$EN_BRUTE_FLAVOR_NAME]+	<RE>$EN_BRUTE_FLAVOR_TEXT	
$EN_CULTIST_SQ7_PLUS	<RE>$EN_CULTIST_NAME	<RE>[$EN_CULTIST_FLAVOR_NAME]+	<RE>$EN_CULTIST_FLAVOR_TEXT	
$EN_SHEEP_SQ7_PLUS	<RE>$EN_SHEEP_NAME	<RE>[$EN_SHEEP_FLAVOR_NAME]+	<RE>$EN_SHEEP_FLAVOR_TEXT	
$EN_3_11_BOSS_PLUS	<RE>$EN_3_11_BOSS_NICK_NAME	<RE>[$EN_3_11_BOSS_FLAVOR_NAME]+	<RE>$EN_3_11_BOSS_FLAVOR_TEXT
$EN_CRAZY_PLUS	<RE>$EN_CRAZY_NICK_NAME	<RE>[$EN_CRAZY_FLAVOR_NAME]+	<RE>$EN_CRAZY_FLAVOR_TEXT
$EN_CULTIST_BASIC_PLUS	<RE>$EN_CULTIST_BASIC_NICK_NAME	<RE>[$EN_CULTIST_BASIC_FLAVOR_NAME]+	<RE>$EN_CULTIST_BASIC_FLAVOR_TEXT
$EN_ERROR_PLUS	<RE>$EN_ERROR_NICK_NAME	<RE>[$EN_ERROR_FLAVOR_NAME]+	<RE>$EN_ERROR_FLAVOR_TEXT
$EN_HEALIE_PLUS	<RE>$EN_HEALIE_NICK_NAME	<RE>[$EN_HEALIE_FLAVOR_NAME]+	<RE>$EN_HEALIE_FLAVOR_TEXT
$EN_MEANIE_PLUS	<RE>$EN_MEANIE_NICK_NAME	<RE>[$EN_MEANIE_FLAVOR_NAME]+	<RE>$EN_MEANIE_FLAVOR_TEXT
$EN_RANGED ATTACKER_BASIC_PLUS	<RE>$N_RANGED ATTACKER_BASIC_NICK_NAME	<RE>[$N_RANGED ATTACKER_BASIC_FLAVOR_NAME]+	<RE>$N_RANGED ATTACKER_BASIC_FLAVOR_TEXT
$EN_RAPID_ATTACKER_LOWXP_PLUS	<RE>$EN_RAPID_ATTACKER_LOWXP_NICK_NAME	<RE>[$EN_RAPID_ATTACKER_LOWXP_FLAVOR_NAME]+	<RE>$EN_RAPID_ATTACKER_LOWXP_FLAVOR_TEXT
$EN_RAPID_ATTACKER_PLUS	<RE>$EN_RAPID_ATTACKER_NICK_NAME	<RE>[$EN_RAPID_ATTACKER_FLAVOR_NAME]+	<RE>$EN_RAPID_ATTACKER_FLAVOR_TEXT
$EN_SLUGWORM_PLUS	<RE>$EN_SLUGWORM_NICK_NAME	<RE>[$EN_SLUGWORM_FLAVOR_NAME]+	<RE>$EN_SLUGWORM_FLAVOR_TEXT
$EN_STEALY_PLUS	<RE>$EN_STEALY_NICK_NAME	<RE>[$EN_STEALY_FLAVOR_NAME]+	<RE>$EN_STEALY_FLAVOR_TEXT
